Name,Code,Data Collection Number,Data Collection Date,Assessor,Breed,Sex,Litter,Source,PR Sup,DOB,DOA,End Date,Status,Familiarisation-Start Time (MM:SS),Familiarisation-Response [Oriented to Handler],Familiarisation-Response [Exploration],Familiarisation-Response [Waiting],Call Back-Start Time (MM:SS) ,Call Back-Response,Walking-Start Time (MM:SS),Walking-Distractibility,Walking-Pull on leash,Walking-Pull strength,Walking-Initiative,Standing-Start Time (MM:SS) ,Standing-Attempts ,Standing-Response,Sitting-Start Time (MM:SS) ,Sitting-Attempts,Sitting-Response,Lying-Start Time (MM:SS) ,Lying-Attempts,Lying-Response,Lying-Settled,Lying-Finish Time (MM:SS),Body check-Start Time (MM:SS),Body check-Response,Body check-General [Mouths],Body check-General [Licks],Body check-Finish Time (MM:SS) ,Tea Towel-Start Time (MM:SS),Tea Towel-First Response [Indifferent],Tea Towel-First Response [Turns head],Tea Towel-First Response [Attempts to/Removes towel by moving],Tea Towel-First Response [Attempts to/Removes towel with mouth],Tea Towel-First Response [Plays],Tea towel-Second Response [Indifferent],Tea towel-Second Response [Turns head],Tea towel-Second Response [Attempts to/Removes towel by moving],Tea towel-Second Response [Attempts to/Removes towel with mouth],Tea towel-Second Response [Plays],Tea Towel-Finish Time (MM:SS),Distractions-Start Time (MM:SS),Distractions-First Response [Object],Distractions-First Response [Human],Distractions-First Response [Car],Distractions-First Response [Food],Distractions-Second Response [Object],Distractions-Second Response [Human],Distractions-Second Response [Car],Distractions-Second Response [Food],Distractions-Pull on leash,Distractions-Pull strength,Distractions-Finish Time (MM:SS) ,Kong-Concentration-Start Time (MM:SS) ,Kong-Concentration-Response ,Kong-Retrieve-Start Time (MM:SS) ,Kong-Retrieve-Lateralisation,Kong-Retrieve-Response to stimulus,Kong-Retrieve-Response to assessor,Kong-Retrieve-Back,Kong-Retrieve-Finish Time (MM:SS),Dog-Start Time (MM:SS) ,Dog-Response,Dog-Call Back Response,Dog-Finish Time (MM:SS) ,Crate-Start Time (MM:SS) ,Crate-Entering,Crate-Behaviours [Relaxing],Crate-Behaviours [Sniffing/Exploring],Crate-Behaviours [Attention Seeking],Crate-Behaviours [Digging],Crate-Behaviours [Licking/Mouthing],Crate-Behaviours [Whining],Crate-Behaviours [Barking],Crate-Response,Crate-Urinating,Crate-Finish Time (MM:SS),Petting-Start Time (MM:SS),Petting-Stimulus,Petting-Holding dog,Petting-Finish Time (MM:SS),Isolation-Start Time (MM:SS),Isolation-Response [Time oriented],Isolation-Response [Exploration],Isolation-Response [Unsettled/Locomotion],Isolation-Response [Whining],Isolation-Response [Barking],Isolation-Urinating,Isolation-Finish Time (MM:SS) ,Noise-Time (MM:SS),Jumps,Shakes,Stretches,Whines,Short Barks,Continuous Barks,Growls,Scratches,Grooms,Yawns,Short Barks Count,Continuous Barks Duration,Continuous Barks Count,Whines Duration,Whines Count,Shakes Count,Jumps Count
Eliza,05-22-LE,1,18/06/2019,B,LRx,F,E,IGDB,Catherine,12/03/2019,28/05/2019,12/11/2019,W,00:11,4.0,1.0,4.0,01:13,,01:19,1,1,1,2,02:30,2,3,03:36,2,3,04:19,1,4,4.0,05:23,05:33,3,No,No,06:04,06:18,Yes,Yes,Yes,No,No,Yes,No,No,No,No,06:51,07:20,1,2,2,1,2,3,1,2,2,2,08:01,08:20,2,09:11,Right,3,1,2,09:34,09:56,3,0,10:32,10:40,1,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1,No,12:11,12:13,1,1.0,12:32,12:40,4,1,1,1,1,No,13:45,14:23,,06:15,na,na,na,na,na,na,na,na,,,,,,1.0,
Herbie,07-02-LH,1,29/07/2019,B,LRxGR,M,H,IGDB,Graham,11/05/2018,02/07/2019,,GD,00:25,4.0,1.0,4.0,01:19,,01:23,2,1,2,2,02:28,1,4,03:13,2,3,04:05,3,2,3.0,05:15,05:25,2,No,No,05:57,06:17,Yes,Yes,No,No,No,Yes,No,No,No,No,07:05,07:47,1,3,2,4,4,2,1,6,3,3,08:16,08:44,3,09:08,Both,3,1,2,09:51,10:10,3,0,10:35,10:58,1,3.0,4.0,1.0,1.0,1.0,2.0,1.0,2,No,12:02,12:14,1,2.0,12:44,12:53,3,3,1,1,1,No,13:58,14:28,,01:40,,00:42; 00:55; 01:01-01:11; 05:46; 11:37,,,05:50,,,,,,,14.0,5.0,1.0,
Evie,07-03-LE,1,29/07/2020,B,LRxGR,F,E,IGDB,Rose,03/12/2018,02/07/2019,02/02/2020,GD,00:15,1.0,4.0,2.0,01:12,2.0,01:20,1,1,1,2,02:26,2,3,03:27,4,1,04:38,1,4,3.0,05:24,05:34,3,No,No,06:07,06:23,Yes,No,No,No,No,Yes,No,No,No,No,06:49,07:20,3,3,2,4,1,1,1,1,2,2,07:55,08:14,3,08:59,Right,3,2,2,09:53,10:07,4,1,10:48,10:57,1,2.0,3.0,1.0,2.0,1.0,1.0,1.0,1,No,12:05,12:11,1,1.0,12:29,12:36,4,1,1,1,1,No,13:55,14:28,,00:36,,13:40,13:49,,,,,,1.0,,,1.0,1.0,1.0,
Goober,07-01-LG,1,29/07/2019,A,LRxGR,M,G,IGDB,Graham,15/04/2018,02/07/2019,03/02/2020,GD,00:18,1.0,4.0,1.0,1:12,2.0,1:27,2,1,1,2,6:54,1,4,3:56,1,4,4:47,7,1,1.0,7:38,7:45,4,No,No,8:15,8:31,No,Yes,No,Yes,No,No,Yes,No,Yes,Yes,8:59,9:37,5,5,3,5,4,3,2,5,4,3,10:32,10:59,3,11:40,Left,3,1,2,12:05,12:29,5,1,12:50,13:12,1,1.0,2.0,3.0,1.0,1.0,3.0,1.0,3,No,14:21,14:34,2,1.0,14:49,14:55,3,2,1,2,1,No,16:00,16:38,,00:21; 12:56; 13:00,,13:28-13:30; 13:53-13:55; 14:10; 15:10,11:35,,,,,,1.0,,,6.0,4.0,3.0,
July,10-03-LJ,1,30/10/2019,A,LR,F,J,IGDB,Graham,03/07/2018,17/10/2019,08/06/2020,AD,00:00,1.0,4.0,1.0,1:11,2.0,1:23,1,2,1,2,2:33,3,2,3:27,1,4,4:33,1,4,3.0,5:35,5:43,3,No,No,6:07,6:21,Yes,No,No,No,No,Yes,No,No,No,No,6:44,7:23,3,3,1,3,2,3,1,3,2,4,7:49,8:11,4,8:40,,3,2,2,9:00,9:20,4,1,9:59,10:07,1,1.0,1.0,4.0,1.0,2.0,4.0,1.0,3,No,11:02,11:07,3,2.0,11:14,11:25,3,2,2,3,1,No,12:21,12:55,1:11; 8:21; 8:34,00:59,,10:15-10:20; 10:21-10:29; 10:34; 10:37-10:43; 10:46-10:50; 11:48-11:49; 11:57-11:59; 12:41,,,,,,,,,,28.0,8.0,1.0,3.0
Zac,07-04-LZ,1,29/07/2019,B,LR,M,Z,Private breeder,Rose,04/06/2018,02/07/2019,25/10/2019,W,00:29,2.0,4.0,1.0,01:40,3.0,02:00,2,2,1,2,05:24,1,4,03:16,1,4,03:55,5,1,2.0,06:01,06:18,4,No,No,07:08,07:38,Yes,Yes,No,No,No,Yes,No,No,No,No,08:29,09:08,5,3,3,3,2,2,2,4,2,2,09:43,10:08,4,10:54,Right,3,1,3,11:26,12:05,2,0,12:29,12:49,1,2.0,3.0,1.0,3.0,1.0,1.0,1.0,2,No,14:08,14:21,1,1.0,15:15,15:27,3,3,2,2,1,No,17:03,17:42,15:42,14:48,,15:48,,,,,,,,,,1.0,1.0,1.0,1.0
Gilli,07-15-LG,1,21/08/2019,B,LRxGR,F,G,IGDB,Frances,15/04/2018,29/07/2019,01/10/2019,W,00:11,1.0,3.0,3.0,01:16,1.0,01:22,1,2,2,2,02:21,1,4,03:16,5,1,04:20,1,4,2.0,05:35,05:45,3,No,No,06:05,06:17,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,06:40,07:09,4,2,2,5,1,2,2,5,2,3,07:40,07:56,3,08:41,Left,3,2,2,09:07,09:24,4,1,09:49,09:55,1,2.0,2.0,4.0,2.0,1.0,4.0,4.0,3,No,10:34,10:36,1,1.0,10:50,10:54,4,2,3,3,3,No,11:43,12:21,,Na,,10:34; 11:11; 11:18; 11:33,,10:18-10:34; 11:36,,,,,,17.0,2.0,4.0,4.0,,
Jira,08-11-LJ,1,23/09/2019,B,LR,F,J,IGDB,Frances,07/03/2018,28/08/2019,03/02/2020,GD,00:17,2.0,4.0,1.0,00:54,1.0,01:13,1,2,2,3,02:49,1,4,03:14,1,4,03:49,1,4,3.0,04:40,05:10,3,No,No,05:45,06:00,No,Yes,No,Yes,Yes,Yes,No,No,No,No,06:39,07:07,1,3,4,5,1,3,2,4,2,3,07:44,08:02,2,08:35,,2,2,1,09:18,09:43,3,0,10:08,10:20,1,1.0,2.0,4.0,2.0,1.0,2.0,4.0,3,No,11:20,11:25,3,1.0,11:39,11:51,4,1,1,2,4,No,13:02,13:39,,01:35,,10:45,10:46,10:55-11:05; 11:08-11:19; 11:51-12:10; 12:15-12:30; 12:35; 12:45-12:53,,,,,1.0,64.0,6.0,1.0,1.0,1.0,
Hayley,08-12-LH,1,23/09/2019,B,LRxGR,F,H,IGDB,Frances,11/05/2018,28/08/2019,04/12/2019,W,00:08,3.0,3.0,3.0,01:11,1.0,01:20,3,2,2,2,03:13,4,1,04:12,4,1,05:34,1,4,3.0,06:30,06:36,3,No,No,07:06,07:23,No,Yes,Yes,No,No,No,Yes,Yes,Yes,No,07:39,08:16,3,2,2,4,2,2,3,3,2,2,08:54,09:26,4,09:56,Left,3,1,2,10:39,11:07,6,2,12:07,,4,,,,,,,,3,No,,,2,,,14:30,4,1,2,3,4,No,15:20,15:50,07:31; 11:29,,,na,11:31,14:36; 14:40-14:53,,,,,1.0,14.0,2.0,,,,2.0
Jojo,08-13-LJ,1,23/09/2019,B,LR,F,J,IGDB,Frances,07/03/2018,28/08/2019,29/11/2019,AD,00:06,1.0,4.0,1.0,00:59,2.0,01:05,1,2,2,1,01:45,1,4,02:39,1,4,03:28 ,2,3,4.0,04:41,04:55,3,No,No,05:32,05:49,No,No,Yes,No,No,Yes,No,No,No,No,06:10,06:57,2,3,2,2,2,2,2,2,2,2,07:18,07:42,3,08:08,Right,3,1,1,08:37,09:10,3,0,09:31,09:40,1,2.0,1.0,3.0,1.0,1.0,3.0,3.0,3,No,10:51,,2,,na,11:06,3,4,1,1,1,No,13:33,13:59,,05:55; 11:41,,07:58; 10:20; 10:35; 10:43,10:26,,,,,,1.0,,,4.0,4.0,2.0,
Hollie,10-02-LH,1,24/10/2019,B,LRxGR,F,H,IGDB,Graham,11/05/2018,02/10/2019,26/11/2019,W,00:21,2.0,4.0,1.0,01:17,1.0,01:26,1,1,1,2,02:33,1,4,03:21,1,4,04:11,2,3,4.0,01:05 (vid 2),01:47 ,3,No,No,02:14,02:33,Yes,No,No,No,No,Yes,Yes,No,No,No,03:09,03:56,2,2,2,4,2,2,2,4,2,3,04:33,04:54,4,05:31,Right,3,1,2,05:47,07:07,7,2,07:38,,4,,,,,,,,1,No,,08:51,2,1.0,09:11,09:19,4,1,2,3,3,No,10:20,10:50,07:29; 09:36,00:15,,09:35; 09:41; 10:08,09:42; 09:47; 09:50; 09:54; 09:59; 10:03; 10:10,,,,,,7.0,,,3.0,3.0,1.0,2.0
Jane,10-04-LJ,1,24/10/2019,B,LR,F,J,IGDB,Graham,03/07/2018,02/10/2019,14/02/2020,AD,00:14,1.0,4.0,1.0,01:15,1.0,01:19,1,1,1,2,02:14,3,2,03:08,2,3,04:13,1,4,3.0,05:08,05:18,3,No,No,05:40,05:55,Yes,No,No,No,No,Yes,No,No,No,No,06:32,07:14,3,2,2,5,2,2,2,4,2,2,07:49,08:06,3,08:42,None,3,1,2,09:04,09:30,3,0,09:48,09:56,1,2.0,3.0,3.0,1.0,1.0,3.0,1.0,2,No,10:57,11:10,2,2.0,11:19,11:29,3,4,2,1,1,No,12:31,13:12,,00:35; 01:52; 12:14,,10:28-10:31,,,,,,,,,,3.0,1.0,3.0,
Diva,04-01-LD,1,20/05/2019,A,LRx,F,D,IGDB,Catherine,11/02/2018,24/04/2019,13/12/2019,GD,1:11,1.0,4.0,1.0,1:58 ,1.0,2:02,1,1,1,2,3:11,2,3,3:59,2,3,4:44,1,4,3.0,5:24,5:35,4,No,No,6:11,6:32,No,Yes,No,Yes,No,No,Yes,Yes,Yes,No,6:53,7:37,5,3,4,5,4,3,3,2,2,3,8:27,8:45,3,9:15 ,None,3,1,2,9:28,9:52,6,1,10:15,11:02,3,1.0,1.0,4.0,1.0,2.0,3.0,2.0,3,No,11:49,12:06,2,1.0,12:24, 12:33,3,2,1,2,1,No,13:41,14:20,10:26,01:44; 06:56; 10:27; 10:34,6:43; 6:50,11:14-11:16; 11:18-11:22; 11:30-11:34; 11:39; 12:55-12:58; 13:16,10:25; 11:23,11:25-11:26,,,,03:24,2.0,1.0,1.0,15.0,6.0,4.0,1.0
Mac,11-01-LM,1,18/12/2019,B,LRx,M,M,IGDB,DSM,25/08/2018,04/11/2019,03/01/2020,W,00:05,1.0,3.0,1.0,01:04,2.0,01:19,2,1,1,3,2:14,1,4,03:24,1,4,04:18,1,4,4.0,05:04,05:39,3,No,No,06:21,06:39,Yes,No,No,No,No,Yes,No,No,No,No,07:02,07:29,4,4,3,5,2,3,3,5,2,3,08:27,08:47,3,09:17,Left,3,1,2,09:28,09:43,6,1,10:08,10:12,1,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1,No,11:40,11:50,1,1.0,12:08,12;15,3,3,1,1,1,No,13:26,14:16,,02:28; 06:49; 11:52,,na,,,,04:08; 11:23,,,,,,,,3.0,
Fergus,10-01-LF,1,24/10/2019,B,LR,M,F,IGDB,Graham,16/03/2018,02/10/2019,28/01/2020,AD,00:07,2.0,4.0,1.0,00:55,1.0,01:00,1,1,1,3,01:51,1,4,02:48,4,1,03:42,1,4,3.0,04:31,05:01,3,No,No,05:23,05:36,Yes,No,Yes,No,No,Yes,No,No,No,No,06:02,06:32,2,2,2,4,1,2,2,2,2,2,07:01,07:17,3,07:50,Right,3,1,2,08:09,08:28,4,1,08:50,08:57,1,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1,No,10:02,10:05,3,1.0,10:22,10:25,4,3,3,1,1,No,11:46,12:22,,05:40,,11:15; 11:34,,,,,,,,,,2.0,2.0,1.0,
Eldin,05-05-LE,1,29/05/2019,B,LRx,M,E,Home bred,Rose,12/03/2018,01/05/2019,13/12/2019,GD,00:31,1.0,4.0,1.0,01:12,1.0,02:15,2,1,1,2,03:40,1,4,04:23,1,4,04:59,1,4,4.0,05:46,06:03,2,No,No,06:48,07:12,No,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,07:32,08;18,5,4,3,1,2,1,1,4,2,2,09:25,09:51,2,10:45,Both,3,1,2,11:22,11:44,4,1,12:13,12:24,1,4.0,1.0,1.0,2.0,1.0,1.0,1.0,1,No,13:36,13:37,3,1.0,14:03,14:10,4,1,3,1,1,No,15:18,15:50,,,,na,,,,,,,,,,,,,
Gav,07-12-LG,1,21/08/2019,B,LRxGR,M,G,Home bred,Rose,15/04/2018,16/06/2019,28/01/2020,AD,00:26,1.0,4.0,1.0,01:22,1.0,01:33,1,2,2,2,02:32,1,4,03:11,4,1,04:47,2,2,2.0,05:29,05:46,3,No,No,06:30,07:15,Yes,Yes,No,Yes,No,Yes,No,No,No,No,08:04,08:41,3,3,3,1,2,2,2,6,2,3,09:23,10:05,4,10:33,None,3,2,3,11:30,11:59,5,1,12:26,12:49,1,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1,No,13:58,14:06,1,2.0,15:12,15:23,4,1,1,2,3,No,16:12,16:47,11:33; 15:28,00:12; 06:52,,15:48,15:51; ,15:57-16:01; 16:02-16:07,,,,,2.0,9.0,2.0,1.0,1.0,2.0,2.0
Douglas,04-03-LD,1,20/05/2019,A,LRx,M,D,IGDB,Rose,11/02/2018,24/04/2019,06/08/2019,W,1:17,2.0,3.0,2.0,2:01,1.0,2:13,1,1,1,2,3:24,2,3,4:28,1,4,5:16,1,4,3.0,5:58,6:21,4,No,No,6:48,7:00,No,Yes,No,Yes,No,No,Yes,No,Yes,No,7:16,8:13,3,3,3,5,1,2,2,4,2,4,9:02,9:50,4,10:18,Left,3,1,3,10:30,11:00,5,0,11:20,11:38,1,2.0,2.0,2.0,1.0,2.0,1.0,1.0,2,No,12:40,12:42,3,1.0,13:12,13:30,3,2,1,1,1,No,14:30,15:04,9:36; 10:16; 10:35,01:51; 07:19; 13:22,13:00,na,,,,,5:04,04:14,,,,,,3.0,3.0
Zodiac,04-04-LZ,1,20/05/2019,A,LR,M,Z,Private breeder,Rose,06/04/2018,24/04/2019,25/10/2019,GD,00:08,1.0,4.0,1.0,00:57,2.0,1:06,1,2,1,2,2:17,1,4,3:04,1,4,3:45,1,4,3.0,4: 37,4:59,3,No,No, 5:26,5:41,No,Yes,No,No,No,No,Yes,No,Yes,No,6:07,6:54,4,3,4,5,2,2,2,4,2,3,7:20,7:54,3,8:26,,3,1,2,8:45, 9:06,7,1,9:30,9:42,1,3.0,2.0,1.0,1.0,2.0,1.0,1.0,1,No,10:53,10:55,2,2.0,11:28,11:49,4,1,1,1,1,No,13:11,13:37,9:13; 9:18,11:23,5:52; 6:16,na,,,,,,,,,,,,1.0,2.0
