Code,DOA,Name,PR Sup,DOB,Sex,Source,Status,End Date,Breed,Coat Colour,Age at Start,Duration
10-04-LJ,2019-10-02,Jane,Graham,2018-07-03,F,IGDB,AD,2020-02-14,LR,,456,135
10-11-LJ,2019-10-07,Junior,Rose,2018-07-03,M,IGDB,GD,2020-07-27,LR,,461,294
10-12-LJ,2019-10-07,Joy,Rose,2018-07-03,F,IGDB,GD,2020-06-08,LR,,461,245
10-13-LK,2019-10-07,Kelvin,Rose,2018-08-02,M,IGDB,GD,2020-06-22,LRxGR,,431,259
10-15-LK,2019-10-09,Kirby,Mags,2018-08-02,M,IGDB,AD,2020-07-20,LRxGR,,433,285
10-14-LI,2019-10-17,Idris,Mags,2018-06-28,M,IGDB,W,2020-02-12,LRxGR,,476,118
10-31-LK,2019-10-24,Kacie,Graham,2018-08-02,F,IGDB,AD,2020-06-08,LRxGR,,448,228
11-01-LM,2019-11-04,Mac,DSM,2018-08-25,M,IGDB,W,2020-01-03,LRx,,436,60
11-02-IM,2019-11-04,Meeko,DSM,2018-08-25,M,IGDB,W,2020-05-29,LRx,,436,207
11-11-IK,2019-11-12,Kain,Mags,2018-08-02,M,IGDB,AD,2020-07-15,LRxGR,,467,246
11-12-IM,2019-11-12,Mara,Mags,2018-08-25,F,IGDB,W,2020-01-03,LRxGR,,444,52
11-21-IK,2019-11-19,Katie,Mags,2018-08-02,F,IGDB,AD,2020-06-08,LRxGR,,474,202
11-22-IM,2019-11-19,Meg,Mags,2018-08-25,F,IGDB,W,2020-01-31,LRxGR,,451,73
11-23-IT,2019-11-19,Tosh,Mags,2018-09-25,M,GDBUK,W,2020-01-20,GR,,420,62
11-24-IK,2019-11-20,Kaiser,Graham,2018-08-02,M,IGDB,GD,2020-07-20,LRxGR,,475,243
11-25-IJ,2019-11-20,Jessie,Graham,2018-07-03,F,IGDB,GD,2020-07-31,LRxGR,,505,254
11-26-IL,2019-11-19,Lexie,DSM,2018-08-17,F,IGDB,AD,2020-07-20,LR,,459,244
11-27-II,2019-11-18,Illana,DSM,2018-06-28,F,IGDB,AD,2020-07-15,LRx,,508,240
11-28-IZ,2019-11-18,Zander,Rose,2018-10-19,M,Cesecah,W,2020-03-10,LR,,395,113
12-01-LK,2019-12-11,Kali,Graham,2018-08-02,F,IGDB,GD,2020-06-29,LRxGR,,496,201
12-02-LM,2019-12-09,Minnie,Rose,2018-08-25,F,IGDB,GD,2020-07-21,LR,,471,225
12-03-LM,2019-12-09,Milo,Rose,2018-08-25,M,IGDB,AD,,LR,,471,0
01-01-LM,2020-01-09,Molly,Graham,2018-08-25,F,IGDB,AD,2020-11-02,LR,,502,298
01-02-LM,2020-01-06,Mandy,Rose,2018-08-25,F,IGDB,AD,2020-07-20,LR,,499,196
01-03-LN,2020-01-09,Nina,Graham,2018-12-23,F,IGDB,GD,2020-09-14,LRxGR,,382,249
01-04-LN,2020-01-09,Niamh,Graham,2018-12-23,F,IGDB,GD,2020-10-05,LRxGR,,382,270
01-05-LN,2020-01-06,Noel,Rose,2018-12-23,M,IGDB,AD,2020-11-11,LRxGR,,379,310
01-06-LN,2020-01-07,Nala,Diana,2018-12-23,F,IGDB,AD,2020-08-21,LRx,,380,227
12-11-LK,2020-01-09,Kyle,Mags,2018-08-02,M,IGDB,GD,2020-09-28,LRxGR,,525,263
01-11-LZ,2020-01-21,Zeus,Mags,2018-10-14,M,DFG,GD,2020-09-14,LR,,464,237
01-12-LO,2020-01-21,Odin,Mags,2019-01-12,M,IGDB,AD,2020-08-21,LRxGR,,374,213
01-13-LO,2020-01-22,Oj,Diana,2019-01-12,M,IGDB,AD,2020-11-02,LRxGR,,375,285
01-14-LO,2020-01-21,Ozark,Graham,2019-01-12,M,IGDB,AD,2020-06-29,LRxGR,,374,160
01-15-LO,2020-01-21,Orbet,Graham,2019-01-12,M,IGDB,AD,2020-08-21,LRxGR,,374,213
02-01-LN,2020-02-03,Noelle,Rose,2018-12-23,F,IGDB,W,2020-07-16,LRxGR,,407,164
02-02-LO,2020-02-06,Ocean,Rose,2019-01-12,F,IGDB,AD,2021-02-17,LRxGR,,390,377
02-03-LN,2020-02-12,Niff,Rose,2018-12-23,M,IGDB,AD,2020-09-30,LRxGR,,416,231
02-04-LP,2020-02-12,Pennie,Graham,2019-01-30,F,IGDB,W,2020-06-08,LRx,,378,117
02-05-LP,2020-02-19,Patch,Diana,2019-01-30,M,IGDB,AD,2020-08-21,LRx,,385,184
02-06-LP,2020-02-20,Prince,Diana,2019-01-30,M,IGDB,AD,2020-09-28,LRx,,386,221
03-01-LP,2020-03-09,Peaches,Rose,2019-01-30,F,IGDB,AD,2020-11-17,LRx,,404,253
03-02-LP,2020-03-11,Peppa,Graham,2019-01-30,F,IGDB,AD,2020-09-10,LRx,,406,183
03-03-LP,2020-03-11,Oonagh,Graham,2019-01-12,F,IGDB,AD,2020-09-28,LRx,,424,201
03-04-LQ,2020-03-23,Quill,Rose,2019-03-20,M,IGDB,GD,2020-10-14,LRxGR,,369,205
03-05-LQ,2020-03-23,Quinten,Rose,2019-03-20,M,IGDB,AD,2020-11-30,LRxGR,,369,252
03-06-LQ,2020-03-25,Quincy,Graham,2019-03-20,M,IGDB,GD,2020-11-25,LRx,,371,245
03-07-LQ,2020-03-25,Quinto,Graham,2019-03-20,M,IGDB,GD,2021-02-15,LRx,,371,327
09-21-LZ,2020-09-08,Zaid,Frances,2019-07-22,M,AADI,W,2021-03-19,LR,,414,192
09-22-LZ,2020-09-08,Zavier,Frances,2019-07-22,M,AADI,W,2020-09-16,LR,,414,8
09-23-LT,2020-09-08,Tango,Graham,2019-05-23,F,IGDB,AD,2021-04-22,LRxGR,,474,226
09-24-LQ,2020-09-08,Quayla,Rose,2019-03-20,F,IGDB,AD,2021-02-03,LRxGR,,538,148
09-25-LV,2020-09-08,Varley,Rose,2019-06-11,M,IGDB,W,2021-04-14,LR,,455,218
09-32-LT,2020-09-15,Teal,Rose,2019-05-23,F,IGDB,W,2021-03-29,LRxGR,,481,195
09-41-LR,2020-09-22,Ramona,Graham,2019-04-19,F,IGDB,AD,2021-04-21,LRx,,522,211
09-42-LR,2020-09-22,Rita,Graham,2019-04-19,F,IGDB,AD,2021-03-01,LRx,,522,160
09-43-LZ,2020-09-22,Zorro,Graham,2019-05-20,M,Private breeder,AD,2021-03-19,LR,,491,178
09-44-LT,2020-09-22,Toto,Diana,2019-05-23,F,IGDB,AD,2021-04-01,LRx,,488,191
09-45-LZ,2020-09-22,Zylan,Rose,2019-08-03,M,Private breeder,AD,2021-04-26,LR,,416,216
11-40-LZ,2020-11-04,Zeplin,Frances,2019-03-18,M,Private breeder,W,2021-02-02,GRxPoodle,,597,90
11-52-LC,2020-11-20,Clay,UK PR,2019-05-03,M,GDBUK,W,2021-04-29,LR,,567,160
11-63-LC,2020-12-02,Chhiri,UK PR,2019-04-20,F,GDBUK,W,2021-03-03,LRxGR,,592,91
