"","Variable","Subset","Type","Test"
"64","Tea.Towel.Comments","towel","comments",NA
"65","Distractions.Start.Time..MM.SS.","distractions","time",NA
"66","Distractions.First.Response..Teddy.","distractions","ordinal","Logistic Regression"
"67","Distractions.First.Response..Human.","distractions","ordinal","Logistic Regression"
"68","Distractions.First.Response..Car.","distractions","ordinal","Logistic Regression"
"69","Distractions.First.Response..Food.","distractions","ordinal","Logistic Regression"
"70","Distractions.Second.Response..Teddy.","distractions","ordinal","Logistic Regression"
"71","Distractions.Second.Response..Human.","distractions","ordinal","Logistic Regression"
"72","Distractions.Second.Response..Car.","distractions","ordinal","Logistic Regression"
"73","Distractions.Second.Response..Food.","distractions","ordinal","Logistic Regression"
"74","Distractions.Pull.on.leash","distractions","ordinal","Logistic Regression"
"75","Distractions.Human","distractions","ordinal","Logistic Regression"
"76","Distractions.Finish.Time..MM.SS.","distractions","time",NA
"77","Distractions.Comments","distractions","comments",NA
"78","Kong.Presentation.Start.Time..MM.SS.","kong","time",NA
"79","Kong.Presentation.Response","kong","ordinal","Logistic Regression"
"80","Kong.Interaction.Start.Time..MM.SS.","kong","time",NA
"81","Kong.Interaction.Lateralisation","kong","categorical","Chisq"
"82","Kong.Interaction.Response.to.stimulus","kong","ordinal","Logistic Regression"
"83","Kong.Interaction.Response.to.handler","kong","ordinal","Logistic Regression"
"84","Kong.Interaction.Back","kong","ordinal","Logistic Regression"
"85","Kong.Interaction.Finish.Time..MM.SS.","kong","time",NA
"86","Kong.Return.Handler","kong","ordinal","Logistic Regression"
"87","Kong.Comments","kong","comments",NA
"88","Dog.Start.Time..MM.SS.","dog","time",NA
"89","Dog.Response","dog","ordinal","Logistic Regression"
"90","Dog.Call.Back.Response","dog","ordinal","Logistic Regression"
"91","Dog.Finish.Time..MM.SS.","dog","time",NA
"92","Dog.Comments","dog","comments",NA
"93","Crate.Start.Time..MM.SS.","crate","time",NA
"94","Crate.Entering","crate","ordinal","Logistic Regression"
"95","Crate.Behaviours..Settled.","crate","ordinal","Logistic Regression"
"96","Crate.Behaviours..Sniffing.Exploring..","crate","ordinal","Logistic Regression"
"97","Crate.Behaviours..Actively.Seeking.Attention.","crate","ordinal","Logistic Regression"
"98","Crate.Behaviours..Digging.","crate","ordinal","Logistic Regression"
"99","Crate.Behaviours..Whining.","crate","ordinal","Logistic Regression"
"100","Crate.Behaviours..Barking.","crate","ordinal","Logistic Regression"
"101","Crate.Self.Modulation","crate","ordinal","Logistic Regression"
"102","Crate.Behaviours..Nudging.Crate.","crate","ordinal","Logistic Regression"
"103","Crate.Behaviours..Pawing.","crate","ordinal","Logistic Regression"
"104","Crate.Stress","crate","ordinal","Logistic Regression"
"105","Crate.Urinating","crate","categorical","Chisq"
"106","Crate.Finish.Time..MM.SS.","crate","time",NA
"107","Crate.Comments","crate","comments",NA
"108","Petting.Start.Time..MM.SS.","petting","time",NA
"109","Petting.Handler.Stimulus","petting","ordinal","Logistic Regression"
"110","Petting.Handler.Holding.dog","petting","ordinal","Logistic Regression"
"111","Petting.Confidence.During","petting","ordinal","Logistic Regression"
"112","Petting.Finish.Time..MM.SS.","petting","time",NA
"113","Petting.Responsiveness.After","petting","ordinal","Logistic Regression"
"114","Petting.Comments","petting","comments",NA
"115","Isolation.Start.Time..MM.SS.","isolation ","time",NA
"116","Isolation.Response..Time.oriented.","isolation ","ordinal","Logistic Regression"
"117","Isolation.Response..Exploration.","isolation ","ordinal","Logistic Regression"
"118","Isolation.Response..Unsettled.Pacing.","isolation ","ordinal","Logistic Regression"
"119","Isolation.Response..Whining.","isolation ","ordinal","Logistic Regression"
"120","Isolation.Response..Barking.","isolation ","ordinal","Logistic Regression"
"121","Isolation.Urinating","isolation ","categorical","Chisq"
"122","Isolation.Finish.Time..MM.SS.","isolation ","time",NA
"123","Isolation.Comments","isolation ","comments",NA
"124","Reunion.Response","isolation ","ordinal","Logistic Regression"
"125","Reunion.Comments","isolation ","comments",NA
"126","Noise.Time..MM.SS.","noise","time",NA
"127","Noise.Confidence","noise","ordinal","Logistic Regression"
"128","Noise.Comments","noise","comments",NA
"129","Jumps","behaviours ","unused",NA
"130","Shakes","behaviours ","unused",NA
"131","Stretches","behaviours ","unused",NA
"132","Whines","behaviours ","unused",NA
"133","Short.Barks","behaviours ","unused",NA
"134","Continuous.Barks","behaviours ","unused",NA
"135","Growls","behaviours ","unused",NA
"136","Scratches","behaviours ","unused",NA
"137","Grooms","behaviours ","unused",NA
"138","Yawns","behaviours ","unused",NA
