Code,DOA,Name,PR Sup,DOB,Sex,Source,Status,End Date,Breed,Coat Colour,Age at Start,Duration,Label
10-04-LJ,2019-10-02,Jane,Graham,2018-07-03,F,IGDB,AD,2020-02-14,LR,,14.981827142241114,4.435409351321383,Success
10-11-LJ,2019-10-07,Junior,Rose,2018-07-03,M,IGDB,GD,2020-07-27,LR,,15.146101562660425,9.659335920655456,Success
10-12-LJ,2019-10-07,Joy,Rose,2018-07-03,F,IGDB,GD,2020-06-08,LR,,15.146101562660425,8.049446600546213,Success
10-13-LK,2019-10-07,Kelvin,Rose,2018-08-02,M,IGDB,GD,2020-06-22,LRxGR,,14.160455040144562,8.509414977720281,Success
10-15-LK,2019-10-09,Kirby,Mags,2018-08-02,M,IGDB,AD,2020-07-20,LRxGR,,14.226164808312284,9.363641963900696,Success
10-14-LI,2019-10-17,Idris,Mags,2018-06-28,M,IGDB,W,2020-02-12,LRxGR,,15.638924823918355,3.876876321895727,Fail
10-31-LK,2019-10-24,Kacie,Graham,2018-08-02,F,IGDB,AD,2020-06-08,LRxGR,,14.718988069570218,7.490913571120557,Success
11-01-LM,2019-11-04,Mac,DSM,2018-08-25,M,IGDB,W,2020-01-03,LR,,14.324729460563873,1.9712930450317252,Fail
11-02-IM,2019-11-04,Meeko,DSM,2018-08-25,M,IGDB,W,2020-05-29,LR,,14.324729460563873,6.800961005359453,Fail
11-11-IK,2019-11-12,Kain,Mags,2018-08-02,M,IGDB,AD,2020-07-15,LRxGR,,15.343230867163596,8.082301484630074,Success
11-12-IM,2019-11-12,Mara,Mags,2018-08-25,F,IGDB,W,2020-01-03,LR,,14.58756853323477,1.7084539723608287,Fail
11-21-IK,2019-11-19,Katie,Mags,2018-08-02,F,IGDB,AD,2020-06-08,LRxGR,,15.573215055750632,6.636686584940143,Success
11-22-IM,2019-11-19,Meg,Mags,2018-08-25,F,IGDB,W,2020-01-31,LR,,14.817552721821803,2.398406538121933,Fail
11-23-IT,2019-11-19,Tosh,Mags,2018-09-25,M,GDBUK,W,2020-01-20,GR,,13.799051315222078,2.0370028131994498,Fail
11-24-IK,2019-11-20,Kaiser,Graham,2018-08-02,M,IGDB,GD,2020-07-20,LRxGR,,15.606069939834493,7.983736832378488,Success
11-25-IJ,2019-11-20,Jessie,Graham,2018-07-03,F,IGDB,GD,2020-07-31,LR,,16.591716462350355,8.34514055730097,Success
11-26-IL,2019-11-19,Lexie,DSM,2018-08-17,F,IGDB,AD,2020-07-20,LR,,15.0803917944927,8.01659171646235,Success
11-27-II,2019-11-18,Illana,DSM,2018-06-28,F,IGDB,AD,2020-07-15,LRxGR,,16.69028111460194,7.885172180126902,Success
11-28-IZ,2019-11-18,Zander,Rose,2018-10-19,M,Cesecah,W,2020-03-10,LR,,12.977679213125526,3.712601901476416,Fail
12-01-LK,2019-12-11,Kali,Graham,2018-08-02,F,IGDB,GD,2020-06-29,LRxGR,,16.296022505595598,6.60383170085628,Success
12-02-LM,2019-12-09,Minnie,Rose,2018-08-25,F,IGDB,GD,2020-07-21,LR,,15.474650403499044,7.39234891886897,Success
12-03-LM,2019-12-09,Milo,Rose,2018-08-25,M,IGDB,AD,2020-08-24,LR,,15.474650403499044,8.509414977720281,Success
01-01-LM,2020-01-09,Molly,Graham,2018-08-25,F,IGDB,AD,2020-11-02,LR,,16.49315181009877,9.790755456990905,Success
01-02-LM,2020-01-06,Mandy,Rose,2018-08-25,F,IGDB,AD,2020-07-20,LR,,16.394587157847184,6.43955728043697,Success
01-03-LN,2020-01-09,Nina,Graham,2018-12-23,F,IGDB,GD,2020-09-14,LRxGR,,12.55056572003532,8.180866136881662,Success
01-04-LN,2020-01-09,Niamh,Graham,2018-12-23,F,IGDB,GD,2020-10-05,LRxGR,,12.55056572003532,8.870818702642765,Success
01-05-LN,2020-01-06,Noel,Rose,2018-12-23,M,IGDB,AD,2020-11-11,LRxGR,,12.452001067783732,10.18501406599725,Success
01-06-LN,2020-01-07,Nala,Diana,2018-12-23,F,IGDB,AD,2020-08-21,LRxGR,,12.484855951867594,7.4580586870366945,Success
12-11-LK,2020-01-09,Kyle,Mags,2018-08-02,M,IGDB,GD,2020-09-28,LRxGR,,17.248814144027598,8.64083451405573,Success
01-11-LZ,2020-01-21,Zeus,Mags,2018-10-14,M,DFG,GD,2020-09-14,LR,,15.24466621491201,7.786607527875316,Success
01-12-LO,2020-01-21,Odin,Mags,2019-01-12,M,IGDB,AD,2020-08-21,LRxGR,,12.287726647364424,6.998090309862626,Success
01-13-LO,2020-01-22,Oj,Diana,2019-01-12,M,IGDB,AD,2020-11-02,LRxGR,,12.320581531448283,9.363641963900696,Success
01-14-LO,2020-01-21,Ozark,Graham,2019-01-12,M,IGDB,AD,2020-06-29,LRxGR,,12.287726647364424,5.256781453417935,Success
01-15-LO,2020-01-21,Orbet,Graham,2019-01-12,M,IGDB,AD,2020-08-21,LRxGR,,12.287726647364424,6.998090309862626,Success
02-01-LN,2020-02-03,Noelle,Rose,2018-12-23,F,IGDB,W,2020-07-16,LRxGR,,13.371937822131873,5.388200989753383,Fail
02-02-LO,2020-02-06,Ocean,Rose,2019-01-12,F,IGDB,AD,2021-02-17,LRxGR,,12.813404792706216,12.386291299616008,Success
02-03-LN,2020-02-12,Niff,Rose,2018-12-23,M,IGDB,AD,2020-09-30,LRxGR,,13.66763177888663,7.589478223372143,Success
02-04-LP,2020-02-12,Pennie,Graham,2019-01-30,F,IGDB,W,2020-06-08,LRx,,12.419146183699873,3.8440214378118647,Fail
02-05-LP,2020-02-19,Patch,Diana,2019-01-30,M,IGDB,AD,2020-08-21,LRx,,12.649130372286905,6.045298671430625,Success
02-06-LP,2020-02-20,Prince,Diana,2019-01-30,M,IGDB,AD,2020-09-28,LRx,,12.681985256370767,7.260929382533522,Success
03-01-LP,2020-03-09,Peaches,Rose,2019-01-30,F,IGDB,AD,2020-11-17,LRx,,13.273373169880283,8.31228567321711,Success
03-02-LP,2020-03-11,Peppa,Graham,2019-01-30,F,IGDB,AD,2020-09-10,LRx,,13.339082938048008,6.012443787346763,Success
03-03-LP,2020-03-11,Oonagh,Graham,2019-01-12,F,IGDB,AD,2020-09-28,LRxGR,,13.930470851557526,6.60383170085628,Success
03-04-LQ,2020-03-23,Quill,Rose,2019-03-20,M,IGDB,GD,2020-10-14,LRxGR,,12.123452226945112,6.735251237191728,Success
03-05-LQ,2020-03-23,Quinten,Rose,2019-03-20,M,IGDB,AD,2020-11-30,LRxGR,,12.123452226945112,8.279430789133247,Success
03-06-LQ,2020-03-25,Quincy,Graham,2019-03-20,M,IGDB,GD,2020-11-25,LRxGR,,12.189161995112835,8.049446600546213,Success
03-07-LQ,2020-03-25,Quinto,Graham,2019-03-20,M,IGDB,GD,2021-02-15,LRxGR,,12.189161995112835,10.743547095422905,Success
09-21-LZ,2020-09-08,Zaid,Frances,2019-07-22,M,AADI,W,2021-03-19,LR,,13.601922010718908,6.308137744101521,Fail
09-22-LZ,2020-09-08,Zavier,Frances,2019-07-22,M,AADI,W,2020-09-16,LR,,13.601922010718908,0.2628390726708967,Fail
09-23-LT,2020-09-08,Tango,Graham,2019-05-23,F,IGDB,AD,2021-04-22,LRxGR,,15.573215055750632,7.425203802952833,Success
09-24-LQ,2020-09-08,Quayla,Rose,2019-03-20,F,IGDB,AD,2021-02-03,LRxGR,,17.675927637117805,4.86252284441159,Success
09-25-LV,2020-09-08,Varley,Rose,2019-06-11,M,IGDB,W,2021-04-14,LR,,14.948972258157252,7.162364730281936,Fail
09-32-LT,2020-09-15,Teal,Rose,2019-05-23,F,IGDB,W,2021-03-29,LRxGR,,15.803199244337666,6.406702396353108,Fail
09-41-LR,2020-09-22,Ramona,Graham,2019-04-19,F,IGDB,AD,2021-04-21,LRx,,17.150249491776012,6.932380541694902,Success
09-42-LR,2020-09-22,Rita,Graham,2019-04-19,F,IGDB,AD,2021-03-01,LRx,,17.150249491776012,5.256781453417935,Success
09-43-LZ,2020-09-22,Zorro,Graham,2019-05-20,M,Private breeder,AD,2021-03-19,LR,,16.131748085176287,5.848169366927452,Success
09-44-LT,2020-09-22,Toto,Diana,2019-05-23,F,IGDB,AD,2021-04-01,LRx,,16.0331834329247,6.27528286001766,Success
09-45-LZ,2020-09-22,Zylan,Rose,2019-08-03,M,Private breeder,AD,2021-04-26,LR,,13.66763177888663,7.096654962114211,Success
11-40-LZ,2020-11-04,Zeplin,Frances,2019-07-13,M,Private breeder,W,2021-02-02,GRxPoodle,,15.770344360253803,2.956939567547588,Fail
11-52-LC,2020-11-20,Clay,UK PR,2019-05-03,M,GDBUK,W,2021-04-29,LR,,18.628719275549805,5.256781453417935,Fail
11-63-LC,2020-12-02,Chhiri,UK PR,2019-04-20,F,GDBUK,W,2021-03-03,LRxGR,,19.45009137764636,2.9897944516314503,Fail
