Name,Code,Data Collection Number,Data Collection Date,Assessor,Breed,Sex,Litter,Source,DOB,DOA,End Date,Duration,Status,Label,Outcome,BT Start,BT Duration,Familiarisation-Response [Oriented to Handler],Familiarisation-Response [Exploration],Familiarisation-Response [Waiting],Call Back-Response,Walking-Distractibility,Walking-Pull on leash,Walking-Pull strength,Walking-Initiative,Standing-Response,Sitting-Response,Lying-Response,Lying-Settled,Body check-Table,Body check-Response,Body check-General [Mouths],Body check-General [Licks],Tea Towel-First Response [Indifferent],Tea Towel-First Response [Change from Neutral],Tea Towel-First Response [Turns head],Tea Towel-First Response [Attempts to/Removes towel by moving],Tea Towel-First Response [Attempts to/Removes towel with mouth],Tea Towel-First Response [Plays],Tea Towel-Second Response [Indifferent],Tea Towel-Second Response [Turns head],Tea Towel-Second Response [Change from Neutral],Tea Towel-Second Response [Attempts to/Removes towel by moving],Tea Towel-Second Response [Attempts to/Removes towel with mouth],Tea Towel-Second Response [Plays],Distractions-First Response [Teddy],Distractions-First Response [Human],Distractions-First Response [Car],Distractions-First Response [Food],Distractions-Second Response [Teddy],Distractions-Second Response [Human],Distractions-Second Response [Car],Distractions-Second Response [Food],Distractions-Pull on leash,Distractions-Pull strength,Distractions-Human,Kong-Presentation-Response,Behaviour description,Kong-Interaction-Lateralisation,Kong-Interaction-Response to stimulus,Kong-Interaction-Response to handler,Kong-Interaction-Back,Kong-Return-Handler,Dog-Response,Dog-Call Back Response,Crate-Entering,Crate-Behaviours [Settled],Crate-Behaviours [Sniffing/Exploring ],Crate-Behaviours [Actively Seeking Attention],Crate-Behaviours [Digging],Crate-Behaviours [Nudging Crate],Crate-Behaviours [Pawing],Crate-Behaviours [Whining],Crate-Behaviours [Barking],Crate-Self-Modulation,Crate-Stress,Crate-Urinating,Petting-Handler-Stimulus,Petting-Handler-Holding dog,Petting-Confidence-During,Petting-Responsiveness-After,Isolation-Response [Time oriented],Isolation-Response [Exploration],Isolation-Response [Unsettled/Pacing],Isolation-Response [Whining],Isolation-Response [Barking],Isolation-Urinating,Reunion-Response,Noise-Confidence
Ebbi,05-14-LE,2,2019-07-31,A,LRx,F,E1,IGDB,2018-03-12,2019-05-15,2019-10-25,163 days,AD,1.0,Success,14:14:49,0:17:31,4.0,5.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,1.0,1.0,1.0,1.0,3.0,No,No,No,Yes,Yes,No,Yes,No,No,Yes,Yes,No,Yes,No,2,3,3,2,1,2.0,1.0,2.0,2.0,2.0,6.0,2.0,Looks away every now and then but mostly has focused attention. Good behaviour though and no jumping up or broken sit once she is asked to sit. ,Righ,3.0,1.0,1.0,2.0,6.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,No,1.0,1.0,4.0,4.0,5.0,1.0,1.0,1.0,1.0,No,2.0,3.0
Herbie,07-02-LH,2,2019-09-17,A,LRxGR,M,H1,IGDB,2018-05-11,2019-07-02,2020-03-10,252 days,GD,2.0,Success,13:48:29,0:17:00,4.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,4.0,2.0,1.0,1.0,4.0,1.0,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,2,3,3,4,1,2.0,3.0,5.0,3.0,3.0,6.0,5.0,Lifts hindquarters twice and jumps up at handler once,Both,3.0,3.0,1.0,2.0,5.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,No,1.0,1.0,3.0,3.0,5.0,1.0,2.0,1.0,1.0,No,4.0,3.0
Eliza,05-22-LE,2,2019-08-12,B,LRx,F,E1,IGDB,2018-03-12,2019-05-28,2019-11-12,168 days,W,0.0,Fail,13:50:00,0:16:18,2.0,4.0,2.0,1.0,1.0,1.0,1.0,2.0,4.0,2.0,4.0,3.0,4.0,3.0,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,No,1,4,4,3,4,3.0,3.0,3.0,2.0,2.0,5.0,2.0,"used ragger, no kong, dog sits and goes into a down eventually",,,1.0,,,4.0,1.0,1.0,3.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,No,1.0,1.0,2.0,3.0,3.0,3.0,1.0,1.0,1.0,No,4.0,4.0
Edrick,05-11-LE,2,2019-07-31,B,LRx,M,E1,IGDB,2018-03-12,2019-05-15,2020-07-09,421 days,GD,2.0,Success,13:36:06,0:13:43,2.0,4.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,3.0,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,3,4,3,5,3,4.0,3.0,5.0,3.0,5.0,5.0,2.0,sits and then lies down ,Righ,3.0,1.0,2.0,2.0,4.0,,1.0,2.0,3.0,3.0,3.0,1.0,1.0,3.0,2.0,3.0,2.0,No,1.0,1.0,3.0,3.0,5.0,1.0,1.0,2.0,4.0,No,5.0,4.0
Evie,07-03-LE,2,2019-09-17,A,LRx,F,E1,IGDB,2018-03-12,2019-07-02,2020-02-02,215 days,GD,2.0,Success,14:25:06,0:15:49,5.0,2.0,2.0,,1.0,1.0,1.0,2.0,4.0,2.0,4.0,4.0,1.0,3.0,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,2,2,2,2,2,2.0,2.0,2.0,1.0,1.0,4.0,2.0,A very small lift in hindquarters here and there - think this is more due to body sensitivity. Well behaved even though she is definitely interested. ,Both,3.0,1.0,1.0,2.0,6.0,2.0,1.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,No,1.0,1.0,3.0,2.0,5.0,1.0,1.0,1.0,1.0,No,4.0,4.0
Zac,07-04-LZ,2,2019-09-18,A,LR,M,Z1,Private breeder,2018-04-06,2019-07-02,2019-10-25,115 days,W,0.0,Fail,13:30:14,0:14:26,2.0,5.0,1.0,1.0,3.0,2.0,1.0,2.0,2.0,3.0,3.0,1.0,4.0,3.0,No,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No,5,3,6,3,5,3.0,6.0,5.0,4.0,5.0,6.0,5.0,Highly activated and jumping up constantly at handler. ,Both,4.0,1.0,1.0,2.0,7.0,2.0,1.0,1.0,4.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,3.0,No,1.0,1.0,4.0,4.0,4.0,2.0,4.0,1.0,1.0,No,4.0,4.0
Goober,07-01-LG,2,2019-09-17,B,LRxGR,M,G1,IGDB,2018-04-15,2019-07-02,2020-02-03,216 days,GD,2.0,Success,14:56:17,0:17:43,1.0,5.0,1.0,2.0,2.0,2.0,2.0,3.0,4.0,1.0,1.0,1.0,4.0,3.0,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,3,4,3,4,1,4.0,4.0,3.0,3.0,4.0,5.0,4.0,dog broke sit and  moved towards the handler,Both,3.0,1.0,3.0,2.0,7.0,4.0,3.0,2.0,2.0,4.0,1.0,1.0,1.0,3.0,1.0,3.0,2.0,No,1.0,1.0,2.0,3.0,4.0,2.0,2.0,2.0,1.0,No,4.0,4.0
Gav,07-12-LG,2,2019-10-14,A,LRxGR,M,G1,IGDB,2018-04-15,2019-06-16,2020-01-28,226 days,AD,1.0,Success,14:01:53,0:17:41,2.0,5.0,2.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,1.0,1.0,4.0,4.0,No,No,No,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Yes,No,2,3,3,1,2,2.0,2.0,4.0,2.0,3.0,6.0,4.0,Lifted hind quarters briefly and then composed himself. Did jump up once on the initial seeing the kong but modulated quickly ,Both,3.0,3.0,4.0,2.0,5.0,1.0,1.0,4.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,No,1.0,1.0,3.0,4.0,4.0,3.0,1.0,1.0,1.0,No,4.0,3.0
Effie,07-13-LE,2,2019-10-10,B,LRx,F,E1,IGDB,2018-03-12,2019-07-30,2020-02-03,188 days,GD,2.0,Success,13:14:50,0:17:43,4.0,2.0,3.0,1.0,1.0,3.0,2.0,2.0,4.0,4.0,1.0,1.0,4.0,4.0,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,2,3,3,4,2,3.0,3.0,3.0,2.0,2.0,4.0,2.0,"sit, then goes into a down",Righ,3.0,2.0,1.0,2.0,4.0,1.0,1.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,No,3.0,1.0,5.0,4.0,5.0,1.0,1.0,1.0,1.0,No,5.0,4.0
Harvey,08-02-LH,2,2019-10-30,A,LRxGR,M,H1,IGDB,2018-05-11,2019-08-21,2020-01-28,160 days,AD,1.0,Success,15:05:42,0:13:40,4.0,5.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,4.0,4.0,3.0,1.0,3.0,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,3,2,2,3,2,2.0,2.0,3.0,2.0,2.0,4.0,4.0,Breaks sit and intense staring. No inappropriate behaviour shown. Good modulation,Left,3.0,2.0,1.0,2.0,6.0,2.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,No,1.0,1.0,4.0,4.0,4.0,2.0,1.0,1.0,1.0,No,4.0,3.0
Gretel,07-14-LG,2,2019-10-10,B,LRxGR,F,G1,IGDB,2018-04-15,2019-07-21,2019-11-29,131 days,AD,1.0,Success,14:49:44,0:17:26,2.0,4.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,1.0,2.0,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,2,4,4,6,3,4.0,4.0,4.0,3.0,4.0,5.0,5.0,sitting during but jumped once when kong was being given to handler,Left,3.0,1.0,1.0,2.0,4.0,1.0,1.0,3.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,No,2.0,1.0,4.0,5.0,3.0,3.0,2.0,1.0,1.0,No,4.0,4.0
Jojo,08-13-LJ,2,2019-11-14,A,LR,F,J1,IGDB,2018-07-03,2019-08-28,2019-11-29,93 days,AD,1.0,Success,14:22:15,0:13:19,2.0,5.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,3.0,1.0,1.0,4.0,3.0,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,3,2,1,2,1,2.0,1.0,1.0,1.0,1.0,4.0,5.0,"Loads of whining, jumping up at handler and then gets bored and starts exploring",None,4.0,3.0,5.0,2.0,8.0,2.0,1.0,1.0,4.0,3.0,1.0,1.0,1.0,4.0,1.0,3.0,4.0,No,1.0,1.0,5.0,3.0,4.0,3.0,2.0,3.0,1.0,No,6.0,3.0
Harry,08-01-LH,2,2019-10-30,B,LRxGR,M,H1,IGDB,2018-05-11,2019-08-21,2019-11-29,100 days,AD,1.0,Success,13:34:19,0:16:23,1.0,5.0,1.0,1.0,2.0,2.0,2.0,3.0,2.0,4.0,1.0,3.0,1.0,3.0,No,No,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,6,5,4,5,3,4.0,3.0,3.0,2.0,3.0,5.0,4.0,sits,Left,3.0,3.0,2.0,2.0,5.0,2.0,1.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,No,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,No,1.0,4.0
Irrie,09-01-LI,2,2019-11-20,A,LRxGR,F,I1,IGDB,2018-06-28,2019-09-04,2020-07-27,327 days,GD,2.0,Success,15:34:00,0:15:00,2.0,5.0,1.0,2.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,4.0,3.0,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,4,4,2,3,3,3.0,2.0,3.0,3.0,5.0,6.0,4.0,briefly lifts hind quarters but good modulation,Left,3.0,1.0,1.0,2.0,8.0,3.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,No,1.0,1.0,3.0,2.0,3.0,3.0,3.0,1.0,1.0,No,2.0,3.0
Harmony,08-04-LH,2,2019-10-30,B,LRxGR,F,H1,IGDB,2018-05-11,2019-08-21,2019-11-29,100 days,AD,1.0,Success,13:05:00,0:17:43,1.0,5.0,1.0,2.0,3.0,2.0,2.0,2.0,4.0,4.0,1.0,3.0,4.0,3.0,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,4,4,4,4,2,3.0,3.0,4.0,3.0,2.0,5.0,5.0,"dog jump up on to get kong a few times, offers behaviours such as sits and downs  ",None,3.0,1.0,1.0,2.0,4.0,1.0,1.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,No,1.0,1.0,3.0,4.0,3.0,2.0,2.0,1.0,1.0,No,5.0,5.0
Josie,09-03-LJ,2,2019-11-20,A,LR,F,J1,IGDB,2018-07-03,2019-09-04,2020-08-17,348 days,GD,2.0,Success,14:43:14,0:14:30,1.0,5.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,3.0,2.0,4.0,3.0,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,1,2,2,4,1,3.0,2.0,3.0,2.0,3.0,4.0,4.0,changing position - backing up etc. Lifting hindquarters very briefly. No truly inappropriate behaviour shown - good modulation,None,3.0,2.0,1.0,2.0,5.0,3.0,1.0,1.0,4.0,4.0,2.0,1.0,2.0,4.0,1.0,3.0,3.0,No,1.0,1.0,4.0,4.0,4.0,1.0,2.0,2.0,2.0,No,5.0,3.0
Jazzi,09-04-LJ,2,2019-11-20,A,LR,F,J1,IGDB,2018-07-03,2019-09-04,2020-07-27,327 days,GD,2.0,Success,14:17:08,0:16:38,2.0,5.0,1.0,2.0,3.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,3.0,4.0,No,No,No,Yes,No,Yes,No,No,Yes,No,No,No,No,No,3,4,3,1,3,4.0,2.0,4.0,3.0,3.0,6.0,2.0,Does lift hind quarters briefly when handler began talking. Definitely very engaged with the kong but keeps sitting.,Left,3.0,2.0,2.0,2.0,3.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,No,1.0,1.0,3.0,4.0,5.0,1.0,2.0,4.0,1.0,No,4.0,3.0
Jira,08-11-LJ,2,2019-11-06,B,LR,F,J1,IGDB,2018-07-03,2019-08-28,2020-02-03,159 days,GD,2.0,Success,14:37:42,0:16:57,,,,,2.0,2.0,1.0,3.0,2.0,3.0,4.0,4.0,4.0,3.0,No,No,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,1,4,5,6,6,4.0,3.0,5.0,3.0,5.0,5.0,2.0,dog sits,None,3.0,3.0,1.0,2.0,4.0,1.0,1.0,3.0,3.0,2.0,1.0,1.0,3.0,2.0,1.0,2.0,2.0,No,2.0,1.0,4.0,5.0,5.0,1.0,1.0,2.0,4.0,No,4.0,4.0
Jane,10-04-LJ,2,2020-01-08,A,LR,F,J1,IGDB,2018-07-03,2019-10-02,2020-02-14,135 days,AD,1.0,Success,13:53:52,0:16:30,2.0,5.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,4.0,4.0,4.0,4.0,3.0,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,3,3,4,5,2,2.0,1.0,3.0,2.0,3.0,5.0,2.0,Handler holds the kong directly infront on the dogs face rather than at chest height. For this reason the dog actually behaved amazingly seeing as she only lifted her hind-quarters briefly once. Dog on lead,Righ,4.0,1.0,1.0,3.0,1.0,1.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,,1.0,1.0,2.0,No,1.0,1.0,3.0,4.0,5.0,2.0,2.0,,1.0,No,4.0,3.0
Hayley,08-12-LH,2,2019-11-06,B,LRxGR,F,H1,IGDB,2018-05-11,2019-08-28,2019-12-04,98 days,W,0.0,Fail,15:13:24,0:20:23,2.0,4.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,4.0,3.0,3.0,3.0,3.0,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,2,4,4,3,3,3.0,4.0,3.0,2.0,2.0,5.0,5.0,dog jumps twice at handler,None,3.0,1.0,2.0,2.0,7.0,3.0,2.0,3.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,No,2.0,1.0,3.0,5.0,5.0,1.0,2.0,4.0,2.0,No,5.0,4.0
Idris,10-14-LI,2,2020-01-09,B,LRxGR,M,I1,IGDB,2018-06-28,2019-10-17,2020-02-12,118 days,W,0.0,Fail,15:27:14,0:13:30,1.0,5.0,1.0,2.0,2.0,1.0,1.0,2.0,3.0,2.0,4.0,3.0,2.0,3.0,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,4,4,4,5,2,3.0,3.0,3.0,2.0,3.0,5.0,2.0,sat and then went into a down,Left,3.0,1.0,1.0,2.0,5.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,No,1.0,1.0,3.0,4.0,3.0,3.0,2.0,1.0,1.0,No,4.0,4.0
Kirby,10-15-LK,2,2020-01-08,A,LRxGR,M,K1,IGDB,2018-08-02,2019-10-09,2020-07-20,285 days,AD,1.0,Success,13:26:19,0:13:37,3.0,5.0,1.0,1.0,3.0,2.0,2.0,3.0,3.0,1.0,4.0,1.0,4.0,4.0,No,No,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,2,3,1,1,2,2.0,2.0,4.0,2.0,3.0,4.0,4.0,"Dog kept on lead. Intense starting, backing up very slightly and a very quick slight and soft whine.",None,3.0,1.0,1.0,2.0,4.0,1.0,2.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,No,1.0,1.0,3.0,4.0,4.0,2.0,3.0,,1.0,No,4.0,4.0
