Name,Code,Data Collection Number,Data Collection Date,Assessor,Breed,Sex,Litter,Source,PR Sup,DOB,DOA,End Date,Status,Familiarisation-Start Time (MM:SS),Familiarisation-Response [Oriented to Handler],Familiarisation-Response [Exploration],Familiarisation-Response [Waiting],Call Back-Start Time (MM:SS) ,Call Back-Response,Walking-Start Time (MM:SS),Walking-Distractibility,Walking-Pull on leash,Walking-Pull strength,Walking-Initiative,Standing-Start Time (MM:SS) ,Standing-Attempts ,Standing-Response,Sitting-Start Time (MM:SS) ,Sitting-Attempts,Sitting-Response,Lying-Start Time (MM:SS) ,Lying-Attempts,Lying-Response,Lying-Settled,Lying-Finish Time (MM:SS),Body check-Start Time (MM:SS),Body check-Response,Body check-General [Mouths],Body check-General [Licks],Body check-Finish Time (MM:SS) ,Tea Towel-Start Time (MM:SS),Tea Towel-First Response [Indifferent],Tea Towel-First Response [Turns head],Tea Towel-First Response [Attempts to/Removes towel by moving],Tea Towel-First Response [Attempts to/Removes towel with mouth],Tea Towel-First Response [Plays],Tea towel-Second Response [Indifferent],Tea towel-Second Response [Turns head],Tea towel-Second Response [Attempts to/Removes towel by moving],Tea towel-Second Response [Attempts to/Removes towel with mouth],Tea towel-Second Response [Plays],Tea Towel-Finish Time (MM:SS),Distractions-Start Time (MM:SS),Distractions-First Response [Object],Distractions-First Response [Human],Distractions-First Response [Car],Distractions-First Response [Food],Distractions-Second Response [Object],Distractions-Second Response [Human],Distractions-Second Response [Car],Distractions-Second Response [Food],Distractions-Pull on leash,Distractions-Pull strength,Distractions-Finish Time (MM:SS) ,Kong-Concentration-Start Time (MM:SS) ,Kong-Concentration-Response ,Kong-Retrieve-Start Time (MM:SS) ,Kong-Retrieve-Lateralisation,Kong-Retrieve-Response to stimulus,Kong-Retrieve-Response to assessor,Kong-Retrieve-Back,Kong-Retrieve-Finish Time (MM:SS),Dog-Start Time (MM:SS) ,Dog-Response,Dog-Call Back Response,Dog-Finish Time (MM:SS) ,Crate-Start Time (MM:SS) ,Crate-Entering,Crate-Behaviours [Relaxing],Crate-Behaviours [Sniffing/Exploring],Crate-Behaviours [Attention Seeking],Crate-Behaviours [Digging],Crate-Behaviours [Licking/Mouthing],Crate-Behaviours [Whining],Crate-Behaviours [Barking],Crate-Response,Crate-Urinating,Crate-Finish Time (MM:SS),Petting-Start Time (MM:SS),Petting-Stimulus,Petting-Holding dog,Petting-Finish Time (MM:SS),Isolation-Start Time (MM:SS),Isolation-Response [Time oriented],Isolation-Response [Exploration],Isolation-Response [Unsettled/Locomotion],Isolation-Response [Whining],Isolation-Response [Barking],Isolation-Urinating,Isolation-Finish Time (MM:SS) ,Noise-Time (MM:SS),Jumps,Shakes,Stretches,Whines,Short Barks,Continuous Barks,Growls,Scratches,Grooms,Yawns,Short Barks Count,Continuous Barks Duration,Continuous Barks Count,Whines Duration,Whines Count,Shakes Count,Jumps Count
Gretel,07-14-LG,2,10/10/2019,A,LRxGR,F,G,IGDB,Catherine,15/04/2018,21/07/2019,29/11/2019,AD,00:17 ,3.0,3.0,3.0,1:28,1.0,1:38,1,1,1,2, 3:38,1,4,4:26,1,3,5:37,2,3,3.0,6:40,7:32,3,No,Yes,8:16,8:36,No,Yes,No,Yes,No,No,Yes,No,Yes,No,9:25,10:01,1,2,2,5,3,2,2,3,2,3,10:44,11:08,3,11:30,Left,3,1,2,11:55,12:18,1,0,12:54,13:07,1,2.0,2.0,2.0,1.0,2.0,1.0,1.0,2,No,14:14,14:16,3,1.0,14:48,15:05,3,2,1,1,1,No,16:27,17:03,10:59; 11:01; 14:43; 14:45,00:23; 08:27; 14:49,,na,,,,,,05:00,,,,,,3.0,4.0
Harry,08-01-LH,2,30/10/2019,A,LRxGR,M,H,IGDB,Rose,11/05/2018,21/08/2019,29/11/2019,AD,00:07,1.0,4.0,1.0,1:06,1.0,1:13,1,1,1,2,2:20,3,3, 3:12,1,4,4:15,3,3,2.0,5:10, 5:45,4,No,No,6:25,6:36,Yes,Yes,No,No,No,No,Yes,No,Yes,No,7:14,7:58,6,3,3,4,2,3,2,2,2,2,8:49,9:10,3,9:53,Left,3,2,2,10:18,10:43,4,1,11:17, 11:47,1,4.0,2.0,1.0,1.0,2.0,1.0,1.0,1,No,13:10,13:18,1,1.0,13:42,13:59,4,1,1,2,1,No,15:06,16:00,,00:58,,14:48,,,,,4:38,,,,,1.0,1.0,1.0,
Harvey,08-02-LH,2,30/10/2019,A,LRxGR,M,H,IGDB,Rose,11/05/2018,21/08/2019,28/01/2020,AD,00:04,2.0,3.0,2.0,1:08,1.0,1:13,1,1,1,3,2:25,2,3,3:23,1,4, 4:23,1,4,3.0,5:13,6:05,4,No,No,6:25,6:37,Yes,No,No,No,No,Yes,No,No,No,No,7:04, 7:41,3,2,2,4,2,2,2,2,2,2,8:07,8:21,3,9:11,Both,3,1,2,9:32,9:52,4,1,10:18,10:30,1,4.0,1.0,1.0,1.0,2.0,1.0,1.0,1,No,11:31,11:34,2,1.0,11:46,11:58,4,1,1,1,1,No,12:57,13:28,,11:59,,na,,,,,,,,,,,,1.0,
Harmony,08-04-LH,2,30/10/2019,A,LRxGR,F,H,IGDB,Diana,11/05/2018,21/08/2019,29/11/2019,AD,00:00,1.0,4.0,1.0,1:17,2.0,1:30,2,1,1,2,2:29,1,4,3:28,1,4,4:28,2,3,3.0,5:19,5:32,4,No,No,6:36,7:04,No,Yes,No,Yes,No,Yes,Yes,No,No,No,7:58,9:57,4,3,4,4,2,2,3,4,2,2,9:44,10:28,4,11:10,None,3,1,1,11:43,12:34,1,0,13:07,13:22,2,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1,No,14:30,14:39,2,1.0,14:58,15:18,3,2,1,1,1,No,16:26,17:10,10:16; 10:17; 10:19; 10:21; 10:24; 10:25; 10:44; 12:00; 12:48; 16:30; 16:33,08:00,,na,,,,,,,,,,,,1.0,11.0
Irrie,09-01-LI,2,20/11/2019,A,LRxGR,F,I,IGDB,Frances,28/06/2018,04/09/2019,27/07/2020,GD,00:07,1.0,4.0,1.0,1:15,1.0,1:23,1,1,1,2,2:39,2,3,3:30,2,3,4:39,4,1,1.0,6:00,6:08,4,No,No,6:39,6:58,Yes,Yes,No,No,No,Yes,Yes,No,No,No,7:38, 8:15,5,3,2,2,4,3,2,3,2,4,8:42,8:57,3,9:32,Left,3,1,2,9:57,10:15,7,2,10:45,11:00,1,3.0,1.0,1.0,2.0,1.0,1.0,1.0,1,No,12:05,12:24,2,2.0,12:41,12:52,3,3,1,1,1,No,13:51,14:45,2:17; 2:19; 10:22; 10:26; 13:16,0:12; 0:38; 0:58; 5:47; 7:40; 12:59,,na,,,,12:44; 12:52,,,,,,,,6.0,5.0
Judson,09-02-LJ,2,20/11/2019,A,LR,M,J,IGDB,Frances,07/03/2018,04/09/2019,08/06/2020,GD,00:16,1.0,4.0,1.0,1:11,1.0,1:16,1,2,1,1,2:29,2,3,2:38,5,1,4:07,2,3,3.0,5:07,5:21,4,No,No,5:56,6:14,No,No,Yes,No,No,Yes,No,No,No,No,6:47, 7:22,2,3,2,1,3,3,2,1,2,2,7:50,8:05,3,8:48,None,3,2,2, 9:16,9:34,3,0,10:01,10:14,1,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1,No,11:15,11:22,1,2.0,11:55,12:05,3,2,1,1,1,No,13:04, 14:13,1:41,06:18,,8:37,12:34,,,,,,1.0,,,1.0,1.0,1.0,1.0
Josie,09-03-LJ,2,20/11/2019,A,LR,F,J,Home bred,Diana,03/07/2018,04/09/2019,17/08/2020,GD,00:20,1.0,4.0,1.0,1:05,1.0,1:17,1,1,1,2, 2:38,5,1,3:26,2,3,4:16,2,3,3.0,5:15,5:21,4,No,No,6:00,6:21,Yes,Yes,No,No,No,Yes,Yes,No,No,No,7:05,7:44,1,2,2,5,1,2,2,4,2,3,8:10,8:25,3,8:57,,3,2,2,9:19,9:40,4,0,10:00,10:18,1,1.0,1.0,4.0,2.0,3.0,3.0,1.0,3,No,11:42,11:50,3,2.0,12:04,12:15,3,2,1,2,1,No,13:13,14:13,1:21; 1:54; 2:05,00:39; 6:16; 11:48,,3:50; 10:57-11:00; 11:06-11:09; 11:13-11:16; 11:21; 11:40; 12:46,5:02,,,,,,1.0,,,13.0,7.0,3.0,3.0
Jazzi,09-04-LJ,2,20/11/2019,A,LR,F,J,Home bred,"Rose, Diana",03/07/2018,04/09/2019,27/07/2020,GD,00:23,1.0,4.0,1.0,1:22,1.0,1:30,1,2,1,1,2:45,1,4,3:54,1,4,4:58,1,4,3.0,5:52, 6:18,4,No,No,6:53,7:06,No,No,Yes,No,No,Yes,No,No,No,No,7:49, 8:20,4,5,2,1,3,5,2,4,4,3,8:53,9:09,3,10:24,Left,3,1,2,10:58,11:24,2,0,11:51,12:10,1,1.0,1.0,4.0,1.0,2.0,3.0,1.0,3,No,13:24,13:28,2,1.0,13:49,14:01,4,1,2,3,1,No,15:31,16:24,14:02,7:09; 13:34,8:26,12:25-12:26; 12:32-12:41; 12:46; 12:52-12:57; 13:09-13:13; 14:28-14:35; 14:44-14:50; 14:54-14:59; 15:03-15:09; 15:16-15:18; 15:21-15:24,,,,m/a,,,,,,49.0,11.0,2.0,1.0
July,10-03-LJ,2,08/01/2020,A,LR,F,J,IGDB,Graham,03/07/2018,17/10/2019,08/06/2020,AD,0:00,1.0,3.0,2.0,1:16,1.0,1:22,1,2,1,2,2:30,1,4,3:35,1,4,4:16,1,4,3.0,5:20,5:28,4,No,No,6:02,6:14,Yes,Yes,No,No,No,Yes,Yes,No,No,No,6:44,7:38,1,3,1,4,2,3,1,4,3,3,8:00,8:12 ,4,8:50,None,3,1,2,9:12 ,9:30,4,1,9:55,10:15,2,3.0,2.0,1.0,1.0,2.0,1.0,1.0,1,No,11:24,11:27,2,1.0,11:35,11:45,3,3,1,1,1,No,13:15, 14:15,8:20,0:08; 11:38,,na,,,,,,,,,,,,2.0,1.0
Jane,10-04-LJ,2,08/01/2020,A,LR,F,J,IGDB,Graham,03/07/2018,02/10/2019,14/02/2020,AD,0:11,2.0,3.0,2.0,1:21,1.0,1:33,1,1,1,2,2:38,3,3,3:38,1,4,4:38,1,4,3.0,6:04,6:16,3,No,No,6:55,7:24,Yes,No,No,No,No,Yes,No,No,No,No,8:17,8:59,3,3,4,5,2,2,1,2,2,3,9:39,9:58,4,10:34,Right,3,1,2,11:02,11:35,1,0,12:10,12:32,1,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1,No,13:45,13:54,1,1.0,14:01,14:25,4,1,2,1,1,No,15:20,16:13,9:56; 10:02,14:08,,na,,,,,,,,,,,,1.0,2.0
Junior,10-11-LJ,2,09/01/2020,A,LR,M,J,IGDB,Rose,03/07/2018,07/10/2019,27/07/2020,GD,00:06,2.0,3.0,2.0,1:12,1.0, 1:21,1,1,1,2,2:25,1,4,3:17,2,3,4:17,1,4,3.0,5:12,5:21,3,No,No,6:10,6:29,Yes,No,No,No,No,Yes,No,No,No,No,6:37,7:23,3,3,3,4,2,1,1,1,2,3,8:03,8:25,4,9:23,Right,3,1,2,9:51,10:16,4,0,10:40,10:52,1,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1,No,11:54,12:00,2,1.0,12:09,12:21,3,2,1,1,1,No,13:17,13:54,1:24; 9:08,,,na,,,,,,,,,,,,,2.0
Flora,05-02-LF,2,16/07/2019,A,LRxGR,F,F,Home bred,Graham,16/03/2018,01/05/2019,20/12/2019,GD,00:16,2.0,3.0,2.0,1:09,1.0,1:16,2,2,2,2,4:20,2,2,4:45,2,2,6:11,1,4,3.0,7:02,7:10,4,No,No,7:39,8:13,Yes,Yes,No,No,No,Yes,No,No,No,No,13:30,14:16,1,3,4,5,1,3,3,2,2,4,15:05,15:39,3,16:22,Left,3,1,2,17:00,17:25,6,1,18:00,18:34,1,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1,No,19:32,19:41,2,1.0,20:04,20:13,4,1,1,1,1,No,21:12,21:59,1:01; 8:31; 13:11; 17:48,,16:40,na,,,,00:43; 00:46,,19:47,,,,,,,4.0
Edrick,05-11-LE,2,31/07/2019,A,LRx,M,E,IGDB,Rose,12/03/2018,15/05/2019,09/07/2020,GD,0:08,2.0,3.0,2.0,1:22,1.0,1:30,1,2,2,2,2:56,2,3,3:42,1,4,4:32,1,4,3.0,5:33,5:40,4,No,No,5:58,6:08 ,No,Yes,No,Yes,No,No,Yes,No,Yes,No,6:29,7:01,2,3,2,5,2,3,2,4,2,3,7:33,7:54,3,8:33,Right,3,1,2,8:56,9:32,3,0,10:10,10:24,1,2.0,1.0,2.0,3.0,1.0,1.0,2.0,2,No,11:33,11:35,3,1.0,11:41,11:56,4,1,2,2,3,No,12:51,13:28,12:00,0:26; 9:07,10:31,12:46-12:48,11:25; 12:04; 12:19; 12:27; 12:43,12:33-12:37,,,,,5.0,4.0,1.0,2.0,1.0,2.0,1.0
Ebbi,05-14-LE,2,31/07/2019,A,LRx,F,E,IGDB,Graham,12/03/2018,15/05/2019,25/10/2019,AD,00:12,1.0,4.0,1.0,1:26,1.0,1:30,1,1,1,2,2:35,1,4,4:20,1,4,5:29,2,1,1.0,8:25, 8:53,3,No,No,9:28,9:38,No,Yes,No,Yes,No,No,Yes,No,Yes,No,10:17,10:58,1,3,2,2,1,3,1,2,2,2,11:18,11:40,3,12:28,Right,3,1,2,12:56,13:20,6,0,13:42,13:56,1,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1,No,14:55,14:57,2,1.0,15:30,15:46,4,1,1,1,1,No,16:44,17:17,,0:18; 1:59; 10:05,,na,,,,,,03:26,,,,,,3.0,
Idris,10-14-LI,2,09/01/2020,A,LRxGR,M,I,IGDB,Mags,28/06/2018,17/10/2019,12/02/2020,W,0:05,2.0,3.0,2.0,1:04,2.0,1:15,1,1,1,2,2:03,2,3,2:56,2,3,3:56,1,4,3.0,4:55,5:16,4,No,No,6:01, 6:15,Yes,Yes,No,No,No,Yes,Yes,No,No,No,6:25,7:01,4,3,3,4,1,3,3,1,2,2,7:46,8:07,3,8:33,Left,3,1,2,8:54,9:22,4,0, 9:47,10:05,2,3.0,2.0,1.0,1.0,2.0,1.0,1.0,1,No,11:10,11:15,2,1.0,11:27,11:36,2,3,1,1,1,No,12:41,13:11,11:37,,,na,,,,,,,,,,,,,1.0
Meeko,11-02-IM,2,16/01/2020,B,LRx,M,M,IGDB,DSM,25/08/2018,04/11/2019,29/05/2020,W,00:17,1.0,4.0,1.0,01:17,1.0,01:25,2,1,1,2,04:01,1,4,03:00,3,2,04:40,3,2,2.0,05:48,06:20,3,No,No,07:01,07:16,Yes,Yes,No,No,No,Yes,No,No,No,No,08:02,08:35,2,2,2,4,2,3,2,2,2,3,09:10,09:28,3,10:07,Both,3,1,2,10:32,10:58,2,2,11:26,12:07,1,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1,No,13:10,13:20,2,,13:39,13:50,3,3,1,1,1,No,15:25,15:57,,00:15; 00:55; 01:57; 04:07; 07:09; 13:44,na,,,,,,,,,,,,,6.0,
Joy,10-12-LJ,2,18/12/2019,B,LR,F,J,IGDB,Rose,03/07/2018,07/10/2019,08/06/2020,GD,00:05,1.0,4.0,1.0,01:05,1.0,01:09,1,2,2,2,02:34,1,4,03:56,2,3,05:15,1,4,3.0,06:07,06:15,2,No,No,06:42,07:16,Yes,No,No,No,No,Yes,No,No,No,No,07:50,08:29,3,3,3,1,1,3,3,5,2,2,09:11,09:31,3,10:07,None,3,2,2,10:36,11:11,6,2,11:36,11:53,1,2.0,1.0,3.0,1.0,1.0,3.0,3.0,3,No,12:57,13:04,3,1.0,13:24,13:37,4,1,3,2,2,No,14:53,15:25,,01:26; 06:59; 08:00,na,12:44; 14:32,12:46; 12:49; 14:43,,,,,,3.0,,,2.0,2.0,3.0,
Katie,11-21-IK,2,28/01/2020,A,LRxGR,F,K,IGDB,Mags,02/08/2018,19/11/2019,08/06/2020,AD,0:22,1.0,4.0,1.0,1:24,1.0,1:33,1,2,1,1,2:35,2,3,3:29,3,3,4:21,1,4,3.0, 5:17,5:31,1,No,No,6:05,6:48,Yes,No,No,No,No,Yes,No,No,No,No,7:20,7:53,4,3,3,5,3,3,2,5,4,4,8:39,9:23,4,9:38,,3,2,3,10:00,10:25,6,1,10:56,11:21,1,2.0,1.0,3.0,1.0,1.0,3.0,1.0,2,No,12:14,12:29,1,2.0,12:40,13:16,3,3,1,1,1,No,14:29,15:05,1:12; 9:19; 13:53,01:17; 02:02; 06:33,na,11:36; 11:51-11:52; 12:03,,,,,,,,,,3.0,3.0,3.0,3.0
Tosh,11-23-IT,2,28/01/2020,A,GR,M,T,GDUK,Mags,25/09/2018,19/11/2019,20/01/2020,W,00:07,1.0,4.0,1.0,1:53,1.0,2:01,1,1,1,2,3:11,1,4,4:06,1,4,4:54,1,4,3.0,5:58,6:06,4,No,No,6:38,6:53,Yes,Yes,No,No,No,Yes,No,No,No,No,7:30,7:23,4,3,3,4,2,3,1,3,1,1,9:02,9:30,3, 9:46,Left,3,2,2,10:08,10:31,5,2,11:00,11:14,1,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2,No,11:58,12:05,1,1.0,12:22,12:44,1,4,1,1,1,No,12:48,14:31,,00:51; 12:29,na,na,,,,,,,,,,,,2.0,
