Name,Code,Data Collection Number,Data Collection Date,Assessor,Breed,Sex,Litter,Source,DOB,DOA,End Date,Duration,Status,Label,Outcome,BT Start,BT Duration,Familiarisation-Response [Oriented to Handler],Familiarisation-Response [Exploration],Familiarisation-Response [Waiting],Call Back-Response,Walking-Distractibility,Walking-Pull on leash,Walking-Pull strength,Walking-Initiative,Standing-Response,Sitting-Response,Lying-Response,Lying-Settled,Body check-Table,Body check-Response,Body check-General [Mouths],Body check-General [Licks],Tea Towel-First Response [Indifferent],Tea Towel-First Response [Change from Neutral],Tea Towel-First Response [Turns head],Tea Towel-First Response [Attempts to/Removes towel by moving],Tea Towel-First Response [Attempts to/Removes towel with mouth],Tea Towel-First Response [Plays],Tea Towel-Second Response [Indifferent],Tea Towel-Second Response [Turns head],Tea Towel-Second Response [Change from Neutral],Tea Towel-Second Response [Attempts to/Removes towel by moving],Tea Towel-Second Response [Attempts to/Removes towel with mouth],Tea Towel-Second Response [Plays],Distractions-First Response [Teddy],Distractions-First Response [Human],Distractions-First Response [Car],Distractions-First Response [Food],Distractions-Second Response [Teddy],Distractions-Second Response [Human],Distractions-Second Response [Car],Distractions-Second Response [Food],Distractions-Pull on leash,Distractions-Pull strength,Distractions-Human,Kong-Presentation-Response,Behaviour description,Kong-Interaction-Lateralisation,Kong-Interaction-Response to stimulus,Kong-Interaction-Response to handler,Kong-Interaction-Back,Kong-Return-Handler,Dog-Response,Dog-Call Back Response,Crate-Entering,Crate-Behaviours [Settled],Crate-Behaviours [Sniffing/Exploring ],Crate-Behaviours [Actively Seeking Attention],Crate-Behaviours [Digging],Crate-Behaviours [Nudging Crate],Crate-Behaviours [Pawing],Crate-Behaviours [Whining],Crate-Behaviours [Barking],Crate-Self-Modulation,Crate-Stress,Crate-Urinating,Petting-Handler-Stimulus,Petting-Handler-Holding dog,Petting-Confidence-During,Petting-Responsiveness-After,Isolation-Response [Time oriented],Isolation-Response [Exploration],Isolation-Response [Unsettled/Pacing],Isolation-Response [Whining],Isolation-Response [Barking],Isolation-Urinating,Reunion-Response,Noise-Confidence,S-Walking-Pull_mean,S-Walking-Pull_prod,S-Distractions-Pull_mean,S-Distractions-Pull_prod,S-Walking-Distractions-Pull_mean,S-Walking-Distractions-Pull_prod,S-Familiarisation-Handler_mean,S-Familiarisation-Handler_prod,S-Call-Response_mean,S-Call-Response_prod,S-Familiarization-Dog-Call,S-Obedience_mean,S-Obedience_prod,S-Sensitivity_mean,S-Sensitivity_prod,S-Tea Towel-First Response,S-Tea Towel-Second Response,S-Distractions-First Response_mean,S-Distractions-First Response_prod,S-Distractions-Second Response_mean,S-Distractions-Second Response_prod,S-Distractions-Difference_mean,S-Kong-Response_mean,S-Kong-Response_prod,S-Dog-Distraction_mean,S-Dog-Distraction_prod,S-Crate-Response_mean,S-Crate-Response_prod,S-Crate-Stimulus_mean,S-Crate-Stimulus_prod,S-Crate-Handler_mean,S-Crate-Handler_prod,S-Petting-Stimulus-During_mean,S-Petting-Stimulus-During_prod,S-Petting-Engagement-During_mean,S-Petting-Engagement-During_prod,S-Petting-After_mean,S-Petting-After_prod,S-Isolation-Handler_mean,S-Isolation-Handler_prod,S-Isolation-Stimulus,S-Sociability_mean,S-Sociability_prod
Junior,10-11-LJ,1,2019-11-06,A,LR,M,J1,IGDB,2018-07-03,2019-10-07,2020-07-27,294 days,GD,2.0,Success,13:28:02,0:13:56,2.0,4.0,2.0,1.0,1.0,1.0,1.0,2.0,4.0,2.0,2.0,1.0,4.0,3.0,No,Yes,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,3,2,2,4,2,2.0,2.0,2.0,2.0,2.0,4.0,4.0,"Sitting but shifting position, moving and staring intently",None,2.0,1.0,1.0,3.0,5.0,1.0,2.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,No,3.0,2.0,5.0,4.0,4.0,2.0,1.0,1.0,1.0,No,5.0,4.0,1.0,1.0,2.0,4.0,1.0,3.0,2.0,4.0,1.0,1.0,0.0,2.6666666666666665,16.0,2.0,0.0,1.0,0.0,2.75,48,2.0,16.0,-0.75,2.5,24.0,3.0,5.0,1.5,4.0,1.25,2.0,1.0,1.0,4.0,15.0,3.5,10.0,3.0,8.0,2.0,4.0,1.0,4.666666666666667,100.0
Junior,10-11-LJ,1,2019-11-06,B,LR,M,J1,IGDB,2018-07-03,2019-10-07,2020-07-27,294 days,GD,2.0,Success,13:28:02,0:13:56,3.0,4.0,2.0,1.0,1.0,1.0,1.0,3.0,4.0,2.0,2.0,2.0,4.0,3.0,No,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,4,3,3,5,3,3.0,3.0,4.0,2.0,3.0,5.0,4.0,broke sit and resat closer to handler ,None,2.0,1.0,1.0,2.0,5.0,1.0,2.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,No,1.0,1.0,4.0,5.0,4.0,2.0,1.0,1.0,1.0,No,4.0,4.0,1.0,1.0,2.5,6.0,1.5,5.0,2.5,6.0,1.0,1.0,0.0,2.6666666666666665,16.0,1.75,0.0,1.6666666666666667,1.6666666666666667,3.75,180,3.25,108.0,-0.5,2.25,16.0,3.0,5.0,1.75,8.0,1.5,3.0,1.0,1.0,2.5,4.0,2.5,4.0,3.0,5.0,2.0,4.0,1.0,4.333333333333333,80.0
Junior,10-11-LJ,2,2020-01-09,A,LR,M,J1,IGDB,2018-07-03,2019-10-07,2020-07-27,294 days,GD,2.0,Success,15:05:43,0:14:11,3.0,5.0,1.0,1.0,2.0,2.0,2.0,1.0,3.0,4.0,4.0,4.0,4.0,3.0,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,3,3,3,4,2,2.0,2.0,2.0,2.0,3.0,6.0,5.0,"Sitting, going down, jumps up and then lies down again. Very unsettled.",Righ,3.0,1.0,2.0,2.0,5.0,1.0,1.0,4.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,No,1.0,1.0,3.0,3.0,5.0,2.0,1.0,3.0,1.0,No,4.0,4.0,2.0,4.0,2.5,6.0,0.5,2.0,2.0,3.0,1.0,1.0,0.0,3.6666666666666665,48.0,1.75,0.0,0.0,0.0,3.25,108,2.0,16.0,-1.25,3.0,60.0,3.0,5.0,1.0,1.0,1.25,2.0,1.0,1.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,15.0,1.0,3.333333333333333,36.0
Junior,10-11-LJ,2,2020-01-09,B,LR,M,J1,IGDB,2018-07-03,2019-10-07,2020-07-27,294 days,GD,2.0,Success,15:05:43,0:14:11,2.0,4.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,3.0,4.0,3.0,4.0,3.0,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,3,4,3,5,1,2.0,2.0,3.0,2.0,4.0,5.0,4.0,"sit, down, sit, down",Righ,3.0,1.0,1.0,2.0,5.0,1.0,1.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,No,1.0,1.0,2.0,4.0,4.0,2.0,2.0,2.0,1.0,No,4.0,5.0,2.0,4.0,3.0,8.0,1.0,4.0,1.5,2.0,1.0,1.0,0.0,3.333333333333333,36.0,1.75,0.0,0.0,0.0,3.75,180,2.0,12.0,-1.75,2.5,24.0,3.0,5.0,1.0,1.0,1.25,2.0,1.0,1.0,1.5,2.0,1.5,2.0,2.5,4.0,2.333333333333333,8.0,0.0,3.333333333333333,32.0
Joy,10-12-LJ,1,2019-11-01,A,LR,F,J1,IGDB,2018-07-03,2019-10-07,2020-06-08,245 days,GD,2.0,Success,15:09:01,0:15:19,2.0,5.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,4.0,3.0,No,No,No,Yes,Yes,No,No,No,No,Yes,No,No,No,No,3,2,3,4,1,1.0,1.0,3.0,3.0,3.0,4.0,5.0,"Sitting, shifting closer to handler, continuous barking, lying down, standing up. ",,3.0,1.0,2.0,2.0,6.0,2.0,2.0,1.0,1.0,5.0,1.0,1.0,2.0,2.0,5.0,3.0,4.0,No,1.0,2.0,3.0,3.0,5.0,1.0,5.0,4.0,3.0,No,5.0,4.0,1.0,1.0,3.0,9.0,2.0,8.0,1.5,2.0,1.5,2.0,-1.0,2.0,8.0,1.75,0.0,1.0,0.6666666666666666,3.0,72,1.5,3.0,-1.5,3.0,60.0,4.0,12.0,3.25,96.0,1.25,2.0,4.0,50.0,2.0,3.0,2.5,6.0,2.5,6.0,4.0,60.0,-4.0,3.6666666666666665,45.0
Joy,10-12-LJ,1,2019-11-01,B,LR,F,J1,IGDB,2018-07-03,2019-10-07,2020-06-08,245 days,GD,2.0,Success,15:09:01,0:15:19,2.0,4.0,1.0,1.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,No,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,3,3,3,5,1,1.0,1.0,4.0,3.0,3.0,5.0,5.0,"barks at handler, unsettled sit",,4.0,1.0,2.0,2.0,5.0,2.0,2.0,1.0,2.0,5.0,1.0,1.0,2.0,1.0,5.0,3.0,2.0,No,1.0,1.0,3.0,4.0,5.0,1.0,3.0,3.0,2.0,No,5.0,4.0,2.0,4.0,3.0,9.0,1.0,5.0,1.5,2.0,1.5,2.0,-1.0,2.333333333333333,12.0,1.75,0.0,2.5,2.5,3.5,135,1.75,4.0,-1.75,3.25,80.0,3.5,10.0,2.75,48.0,1.5,4.0,3.6666666666666665,25.0,2.0,3.0,2.0,3.0,2.5,4.0,3.333333333333333,30.0,-2.0,4.0,60.0
Joy,10-12-LJ,2,2019-12-18,A,LR,F,J1,IGDB,2018-07-03,2019-10-07,2020-06-08,245 days,GD,2.0,Success,12:20:35,0:15:42,2.0,5.0,1.0,1.0,3.0,3.0,2.0,2.0,1.0,2.0,4.0,4.0,4.0,2.0,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,4,4,3,1,1,3.0,4.0,5.0,2.0,4.0,6.0,4.0,Looking back and forth,None,3.0,3.0,1.0,2.0,7.0,3.0,1.0,1.0,2.0,5.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,No,2.0,1.0,5.0,3.0,5.0,1.0,1.0,3.0,3.0,No,4.0,6.0,2.5,6.0,3.0,8.0,0.5,2.0,1.5,2.0,2.0,3.0,-2.0,2.333333333333333,8.0,1.5,0.0,1.0,0.0,3.0,48,3.25,60.0,0.25,2.5,24.0,5.0,21.0,2.75,36.0,1.75,6.0,3.6666666666666665,45.0,3.5,10.0,3.0,5.0,2.0,3.0,3.6666666666666665,45.0,0.0,4.0,60.0
Joy,10-12-LJ,2,2019-12-18,B,LR,F,J1,IGDB,2018-07-03,2019-10-07,2020-06-08,245 days,GD,2.0,Success,12:20:35,0:15:42,1.0,5.0,1.0,1.0,2.0,3.0,2.0,3.0,2.0,2.0,4.0,4.0,4.0,2.0,No,No,Yes,No,Yes,Yes,No,No,Yes,No,No,No,No,No,4,4,4,1,1,4.0,4.0,5.0,2.0,3.0,5.0,4.0,dog sit but moves slightly,None,3.0,3.0,1.0,2.0,7.0,3.0,2.0,2.0,2.0,4.0,1.0,2.0,3.0,2.0,3.0,3.0,2.0,No,1.0,1.0,4.0,5.0,5.0,1.0,3.0,3.0,2.0,No,3.0,5.0,2.5,6.0,2.5,6.0,0.0,0.0,1.0,1.0,2.0,3.0,-2.0,2.6666666666666665,16.0,1.5,0.0,1.1666666666666667,0.0,3.25,64,3.5,80.0,0.25,2.5,24.0,5.0,21.0,2.5,36.0,2.0,12.0,3.0,24.0,2.5,4.0,2.5,4.0,3.0,5.0,3.333333333333333,30.0,-2.0,4.0,60.0
Minnie,12-02-LM,1,2020-01-09,A,LR,F,M1,IGDB,2018-08-25,2019-12-09,2020-07-21,225 days,GD,2.0,Success,13:41:23,0:15:09,,5.0,,1.0,2.0,1.0,1.0,2.0,3.0,3.0,3.0,1.0,4.0,2.0,No,Yes,No,Yes,Yes,No,Yes,Yes,No,No,Yes,No,No,No,6,3,4,5,1,2.0,2.0,2.0,2.0,4.0,6.0,2.0,Sat well intently watching the kong and not moving attention away. No inappropriate behaviour shown,Both,3.0,1.0,4.0,3.0,1.0,1.0,1.0,1.0,2.0,4.0,3.0,1.0,1.0,4.0,1.0,3.0,4.0,No,1.0,1.0,4.0,3.0,4.0,3.0,3.0,2.0,1.0,No,6.0,3.0,1.0,1.0,3.0,8.0,2.0,7.0,,1.0,1.0,1.0,0.0,3.0,27.0,1.75,0.0,2.833333333333333,0.5,4.5,360,1.75,8.0,-2.75,3.0,72.0,1.0,1.0,3.0,48.0,1.75,6.0,3.0,16.0,2.5,4.0,2.5,4.0,2.0,3.0,2.333333333333333,8.0,0.0,4.333333333333333,72.0
Minnie,12-02-LM,1,2020-01-09,B,LR,F,M1,IGDB,2018-08-25,2019-12-09,2020-07-21,225 days,GD,2.0,Success,13:41:23,0:15:09,,5.0,1.0,,1.0,3.0,2.0,2.0,4.0,3.0,3.0,1.0,4.0,2.0,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,6,4,3,5,2,2.0,2.0,2.0,3.0,5.0,7.0,2.0,stays sitting,Righ,3.0,2.0,4.0,2.0,4.0,1.0,2.0,1.0,2.0,3.0,1.0,1.0,2.0,2.0,1.0,3.0,3.0,No,1.0,1.0,2.0,3.0,4.0,2.0,2.0,2.0,1.0,No,5.0,4.0,2.5,6.0,4.0,15.0,1.5,9.0,1.0,1.0,1.0,1.0,,3.333333333333333,36.0,1.5,0.0,3.5,2.5,4.5,360,2.0,16.0,-2.5,2.75,48.0,2.5,4.0,3.0,72.0,1.5,4.0,2.0,6.0,1.5,2.0,1.5,2.0,2.0,3.0,2.333333333333333,8.0,0.0,3.333333333333333,30.0
Minnie,12-02-LM,2,2020-02-19,A,LR,F,M1,IGDB,2018-08-25,2019-12-09,2020-07-21,225 days,GD,2.0,Success,13:58:42,00:14:11,3.0,5.0,2.0,1.0,1.0,1.0,1.0,2.0,3.0,4.0,3.0,3.0,4.0,2.0,No,Yes,No,Yes,Yes,No,Yes,No,No,No,Yes,No,No,No,1,3,2,4,1,3.0,2.0,4.0,3.0,4.0,6.0,4.0,"Whining, and starting at kong intently but not breaking sit or acting inappropriately",Righ,3.0,1.0,1.0,2.0,2.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,No,1.0,1.0,3.0,3.0,5.0,1.0,1.0,,1.0,No,4.0,3.0,1.0,1.0,3.5,12.0,2.5,11.0,2.5,6.0,1.0,1.0,0.0,3.333333333333333,36.0,1.75,0.0,1.8333333333333333,0.5,2.5,24,2.5,24.0,0.0,2.5,24.0,1.5,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,5.0,0.0,3.333333333333333,36.0
Minnie,12-02-LM,2,2020-02-19,B,LR,F,M1,IGDB,2018-08-25,2019-12-09,2020-07-21,225 days,GD,2.0,Success,13:58:42,00:14:11,2.0,4.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,4.0,4.0,3.0,4.0,4.0,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,2,3,2,4,1,3.0,2.0,4.0,3.0,3.0,5.0,4.0,stayed sitting,Righ,3.0,1.0,2.0,2.0,2.0,1.0,1.0,3.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,No,1.0,2.0,4.0,3.0,5.0,1.0,1.0,1.0,1.0,No,4.0,4.0,2.0,4.0,3.0,9.0,1.0,5.0,1.5,2.0,1.0,1.0,0.0,3.6666666666666665,48.0,2.0,0.0,2.5,1.0,2.75,48,2.5,24.0,-0.25,2.75,48.0,1.5,2.0,1.75,8.0,1.5,4.0,1.6666666666666667,4.0,2.5,4.0,3.0,8.0,2.5,6.0,2.333333333333333,5.0,0.0,3.6666666666666665,48.0
Milo,12-03-LM,1,2020-01-09,A,LR,M,M1,IGDB,2018-08-25,2019-12-09,2020-08-24,259 days,AD,1.0,Success,14:12:59,0:14:52,,5.0,,1.0,1.0,1.0,1.0,2.0,2.0,1.0,4.0,2.0,4.0,4.0,No,No,Yes,No,No,No,No,No,Yes,Yes,No,No,No,No,3,3,3,4,1,2.0,2.0,2.0,2.0,3.0,6.0,5.0,Doesnt jump but does stand up on hindquarters to sniff the kong in the handlers hands,Both,3.0,1.0,2.0,2.0,6.0,1.0,1.0,4.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,No,1.0,1.0,3.0,4.0,5.0,2.0,1.0,1.0,1.0,No,4.0,3.0,1.0,1.0,2.5,6.0,1.5,5.0,,1.0,1.0,1.0,0.0,2.333333333333333,8.0,2.0,0.0,0.0,0.5,3.25,108,1.75,8.0,-1.5,3.0,60.0,3.5,6.0,1.0,1.0,1.25,2.0,1.3333333333333333,2.0,2.0,3.0,2.0,3.0,2.5,4.0,2.333333333333333,5.0,1.0,3.6666666666666665,48.0
Milo,12-03-LM,1,2020-01-09,B,LR,M,M1,IGDB,2018-08-25,2019-12-09,2020-08-24,259 days,AD,1.0,Success,14:12:59,0:14:52,,5.0,1.0,,1.0,1.0,1.0,3.0,2.0,1.0,3.0,2.0,3.0,3.0,No,No,Yes,Yes,No,No,No,No,Yes,No,No,Yes,Yes,No,4,3,4,4,1,3.0,2.0,2.0,2.0,2.0,5.0,5.0,sits and then jumps up slightly,Both,3.0,,2.0,2.0,6.0,,2.0,4.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,No,1.0,1.0,3.0,4.0,4.0,2.0,2.0,2.0,1.0,No,4.0,4.0,1.0,1.0,2.0,4.0,1.0,3.0,1.0,1.0,,1.0,,2.0,6.0,1.5,0.0,0.3333333333333333,1.5,3.75,192,2.0,12.0,-1.75,3.0,60.0,6.0,6.0,1.75,8.0,1.5,4.0,1.0,1.0,2.0,3.0,2.0,3.0,2.5,4.0,2.333333333333333,8.0,0.0,3.6666666666666665,48.0
Milo,12-03-LM,2,2020-02-19,A,LR,M,M1,IGDB,2018-08-25,2019-12-09,2020-08-24,259 days,AD,1.0,Success,15:14:29,0:14:33,4.0,5.0,1.0,2.0,1.0,1.0,1.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,No,No,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,4,3,2,3,1,3.0,2.0,2.0,2.0,2.0,6.0,4.0,Shifts weight and moves around a lot. Tail wagging frantically but doesnt jump up at handler,Both,3.0,1.0,1.0,2.0,4.0,1.0,2.0,4.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,No,1.0,1.0,3.0,3.0,4.0,2.0,1.0,,1.0,No,4.0,3.0,1.0,1.0,2.0,4.0,1.0,3.0,2.5,4.0,1.5,2.0,1.0,3.6666666666666665,48.0,1.75,0.0,0.5,0.0,3.0,72,2.0,12.0,-1.0,2.5,24.0,2.5,4.0,1.5,4.0,1.75,6.0,1.0,1.0,2.0,3.0,2.0,3.0,2.0,3.0,2.5,4.0,1.0,3.333333333333333,36.0
Milo,12-03-LM,2,2020-02-19,B,LR,M,M1,IGDB,2018-08-25,2019-12-09,2020-08-24,259 days,AD,1.0,Success,15:14:29,0:14:33,2.0,4.0,1.0,2.0,1.0,1.0,1.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0,No,No,Yes,No,Yes,No,No,No,Yes,Yes,No,Yes,No,No,4,4,3,4,2,3.0,3.0,3.0,3.0,2.0,6.0,4.0,"sits, moves closer, sits, goes into a down",Both,3.0,1.0,2.0,2.0,4.0,1.0,2.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,No,1.0,1.0,3.0,3.0,4.0,2.0,2.0,1.0,1.0,No,4.0,4.0,1.0,1.0,2.5,6.0,1.5,5.0,1.5,2.0,1.5,2.0,1.0,3.6666666666666665,48.0,1.5,0.0,0.5,1.1666666666666667,3.75,192,2.75,54.0,-1.0,2.75,48.0,2.5,4.0,1.75,8.0,1.25,2.0,1.0,1.0,2.0,3.0,2.0,3.0,2.0,3.0,2.0,4.0,0.0,3.333333333333333,36.0
