Name,Code,Data Collection Number,Data Collection Date,Assessor,Breed,Sex,Litter,Source,PR Sup,DOB,DOA,End Date,Status,Video Start Time (HH:MM:SS),Familiarisation-Start Time (MM:SS),Familiarisation-Response [Oriented to Handler],Familiarisation-Response [Exploration],Familiarisation-Response [Waiting],Familiarisation-Comments,Call Back-Start Time (MM:SS) ,Call Back-Response,Call Back-Comments,Walking-Start Time (MM:SS),Walking-Distractibility,Walking-Pull on leash,Walking-Pull strength,Walking-Initiative,Walking-Comments,Standing-Start Time (MM:SS) ,Standing-Response,Standing-Comments,Sitting-Start Time (MM:SS) ,Sitting-Response,Sitting-Comments,Lying-Start Time (MM:SS) ,Lying-Response,Lying-Settled,Lying-Finish Time (MM:SS),Lying-Comments,Body check-Start Time (MM:SS),Body check-Table,Body check-Response,Body check-General [Mouths],Body check-General [Licks],Body check-Finish Time (MM:SS) ,Body Check-Comments,Tea Towel-Start Time (MM:SS),Tea Towel-First Response [Indifferent],Tea Towel-First Response [Change from Neutral],Tea Towel-First Response [Turns head],Tea Towel-First Response [Attempts to/Removes towel by moving],Tea Towel-First Response [Attempts to/Removes towel with mouth],Tea Towel-First Response [Plays],Tea Towel-Second Response [Indifferent],Tea Towel-Second Response [Turns head],Tea Towel-Second Response [Change from Neutral],Tea Towel-Second Response [Attempts to/Removes towel by moving],Tea Towel-Second Response [Attempts to/Removes towel with mouth],Tea Towel-Second Response [Plays],Tea Towel-Finish Time (MM:SS),Tea Towel-Comments,Distractions-Start Time (MM:SS),Distractions-First Response [Teddy],Distractions-First Response [Human],Distractions-First Response [Car],Distractions-First Response [Food],Distractions-Second Response [Teddy],Distractions-Second Response [Human],Distractions-Second Response [Car],Distractions-Second Response [Food],Distractions-Pull on leash,Distractions-Pull strength,Distractions-Human,Distractions-Finish Time (MM:SS) ,Distractions-Comments,Kong-Presentation-Start Time (MM:SS) ,Kong-Presentation-Response,Behaviour description,Kong-Interaction-Start Time (MM:SS),Kong-Interaction-Lateralisation,Kong-Interaction-Response to stimulus,Kong-Interaction-Response to handler,Kong-Interaction-Back,Kong-Interaction-Finish Time (MM:SS),Kong-Return-Handler,Kong-Comments,Dog-Start Time (MM:SS),Dog-Response,Dog-Call Back Response,Dog-Finish Time (MM:SS) ,Dog-Comments,Crate-Start Time (MM:SS) ,Crate-Entering,Crate-Behaviours [Settled],Crate-Behaviours [Sniffing/Exploring ],Crate-Behaviours [Actively Seeking Attention],Crate-Behaviours [Digging],Crate-Behaviours [Nudging Crate],Crate-Behaviours [Pawing],Crate-Behaviours [Whining],Crate-Behaviours [Barking],Crate-Self-Modulation,Crate-Stress,Crate-Urinating,Crate-Finish Time (MM:SS),Crate-Comments,Petting-Start Time (MM:SS),Petting-Handler-Stimulus,Petting-Handler-Holding dog,Petting-Confidence-During,Petting-Finish Time (MM:SS),Petting-Responsiveness-After,Petting-Comments,Isolation-Start Time (MM:SS),Isolation-Response [Time oriented],Isolation-Response [Exploration],Isolation-Response [Unsettled/Pacing],Isolation-Response [Whining],Isolation-Response [Barking],Isolation-Urinating,Isolation-Finish Time (MM:SS) ,Isolation-Comments,Reunion-Response,Reunion-Comments,Noise-Start Time (MM:SS),Noise-Time (MM:SS),Noise-Confidence,Noise-Walk Finish Time (MM:SS),Noise-Comments,Jumps,Shakes,Stretches,Whines,Short Barks,Continuous Barks,Growls,Scratches,Grooms,Yawns,Lip Smacking
Ebbi,05-14-LE,1,2019-06-13,A,LRx,F,E,IGDB,Graham,12/03/2018,15/05/2019,25/10/2019,AD,,,2.0,5.0,2.0,Does come back to handler every now and then but more co-incidentally. Came back to handler purposely at very end. High scenting. Occasional body shakes - portraying body sensitivity. Panting. Would say Ebbi is stressed/anxious,,1.0,,,3,4,4,5,"At times Ebbi walks alongside her handler however, for the most part, she is highly excited and pulling to the extent of tension that causes her to pant and wheeze. Loads of body shaking exhibited with the walk - more than the original familiarisation phase. Defecated on her walk (perhaps a full bowel would explain the stress levels and pulling). Pulling less severe and panting toned down - no more wheezing - after defecation. ",,3,Didnt use platform. Started very well - got bored mid-way and waiting for more handler input,,1.0,Took many attempts (even with a lure) to complete a sit. Broke sit once too (boredom and looking for handler input/further instruction) - would say she might be quite food distracted. ,,1,1.0,,"Would only go down down for a food lure. Then broke down and handler struggled to get her to go back. Broke it a second time, and then maintained the third down. Handler had to be sitting on floor in order to achieve. ",,3.0,4,No,No,,Bit of continued panting - nothing serious. But tail wagging through most of it. ,,No,Yes,Yes,No,No,No,No,Yes,Yes,No,Yes,No,,First attempt - does walk around handler but wouldnt say this would be an attempt to get it off - more seeking handler input. ,,2,3,3,2,2,3.0,2.0,2.0,2,2.0,6,,,,2,Attention on the kong at times but at other times she is looking around the room. Not overly interested and never broke her sit,,Left,3.0,1,1.0,,2.0,,,4,0.0,,,,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,No,,Spent most of the time standing and looking back between assessor and handler. Not settled but not terribly stressed,,1.0,1.0,4.0,,3.0,,,5.0,1.0,1.0,1.0,1.0,No,,jumped up against gate once. ,3.0,,,,4.0,,"slight change in head positioning, investigated very briefly thereafter. Quick recovery",,,,,,,,,,,
Esme,05-13-LE,1,2019-06-13,B,LRx,F,E,IGDB,Graham,12/03/2018,15/05/2019,13/12/2019,GD,,,4.0,2.0,2.0,,,1.0,dog was vey near handler,,3,3,2,3,,,3,no platform used,,4.0,,,4,3.0,,,,4.0,3,No,No,,,,No,No,No,No,No,No,No,No,No,No,No,No,,not bothered by towel,,5,4,4,5,4,3.0,3.0,4.0,4,4.0,5,,,,4,"sits calmly, looks away briefly twice",,Righ,2.0,1,1.0,,1.0,,,4,2.0,,,,2.0,1.0,2.0,5.0,1.0,1.0,1.0,3.0,4.0,3.0,3.0,No,,,,1.0,1.0,3.0,,3.0,,,4.0,2.0,1.0,2.0,3.0,No,,,4.0,,,,5.0,,,,,,,,,,,,,
Herbie,07-02-LH,1,2019-07-29,A,LRxGR,M,H,IGDB,Graham,11/05/2018,02/07/2019,,GD,,,5.0,1.0,5.0,Whining just about constantly - even with handler right next to him. ,,,Dog right next to handler. Handler just pops on lead - doesnt call,,3,4,3,2,"Speed and tension varies alot. From falling behind to pulling ahead ,walking infront pulling to the side (distraction based). I have selected the second option as this was the more regular S&T but this was not indicative of it being regular by any means. ",,3,Posture slightly low in fore-quarters. Rotated position toward the end,,2.0,I dont think Herbie heard the first request. Broke and rotated during latter part of the exercise. Vocalisation heard but I tihnk it is the crated dog.,,1,1.0,,"A little overly activated by the test. Kept breaking commands, and rotating, with handler at times having to re-approach completely. When he did maintain the down for a while, he was sniffing and not settled. ",,4.0,1,No,No,,Handler remarks on body sensitivity. Vocalises (whining). Handler remarks on half a growl. When handler checked front paws Herbie back away and tried to jump off the table backward then sat down when he was stopped from jumping off. Handler and assessor agree not to continue the body check. ,,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,,,,1,3,2,6,5,2.0,1.0,6.0,3,4.0,6,,No car remote so car is stationary throughout the test. I tested on the stationary car. ,,5,Quite consistently lifting hind-quarters and jumps up against handler at the end,,Both,3.0,1,1.0,,2.0,,,3,0.0,,,,1.0,1.0,4.0,3.0,1.0,1.0,1.0,3.0,2.0,3.0,3.0,No,,,,1.0,2.0,3.0,,3.0,,,3.0,4.0,1.0,2.0,1.0,No,,,3.0,,,,3.0,,More distracted by the assessor I would say,,,,,,,,,,,
Evie,07-03-LE,1,2019-07-29,A,LRx,F,E,IGDB,Rose,12/03/2018,02/07/2019,02/02/2020,GD,,,3.0,5.0,1.0,,,2.0,,,1,1,1,2,,,3,,,1.0,,,3,1.0,,Handler stays on haunches next to dog. Loads of scenting which led to a break at the end. Assessor decided to move on to body check,,4.0,3,No,No,,Tail lower - change in neutrality. But stood still for the exam. ,,No,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,,"Both responses were the same. An initial turn of the head, tail low and slow, and then no further attempts to look at or pull the towel off. ",,3,3,2,4,1,2.0,1.0,2.0,2,2.0,5,,Car not working on first response. Scored on stationary car. Car only reverse on second response. Faulty?,,4,"Lifts hindquarters a handful of times, but modulates nicely and does not jump up. ",,Righ,3.0,3,1.0,,2.0,Only used right paw toward the very end. Otherwise mostly just pushed the kong around on the floor with nose and then carried to the mat. ,,5,1.0,,Moves toward dog immediately (as soon as she notices it) but not overly interested.,,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,No,,,,1.0,1.0,3.0,,3.0,,,5.0,1.0,1.0,2.0,2.0,No,,,3.0,,,,3.0,,,,,,,,,,,,,
Eliza,05-22-LE,1,2019-06-18,B,LRx,F,E,IGDB,Catherine,12/03/2018,28/05/2019,12/11/2019,W,,,5.0,1.0,1.0,,,,dog went into a down naturally beside the handler ,,1,1,1,3,,,2,started on the platform and went to doing it on the ground,,3.0,,,4,4.0,,settled,,4.0,3,No,Yes,,,,No,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,No,,,,2,4,3,1,3,4.0,3.0,5.0,3,2.0,5,,,,4,"dog sits and then goes into a down, keeps looking at handler calmly",,Righ,3.0,1,2.0,,2.0,handler moves  with dog for camera but it is too near the table ,,3,0.0,,,,1.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,No,,,,1.0,1.0,3.0,,3.0,,,5.0,1.0,1.0,1.0,1.0,No,,,3.0,,,,4.0,,,,,,,,,,,,,
Edrick,05-11-LE,1,2019-06-13,B,LRx,M,E,IGDB,Rose,12/03/2018,15/05/2019,09/07/2020,GD,,,2.0,4.0,2.0,,,1.0,,,1,2,2,2,,,2,,,4.0,went from a stand into a sit without being asked,,4,3.0,,,,4.0,3,No,No,,,,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,,,,4,5,4,6,3,5.0,3.0,5.0,4,5.0,7,,,,4,"sat, then went into a down",,Righ,3.0,1,2.0,,2.0,he definitely used his right but dog was lying with his back towards camera,,4,2.0,,,,1.0,3.0,3.0,3.0,1.0,1.0,2.0,3.0,1.0,2.0,2.0,No,,,,,,,,,handler didn't interact with dog,,5.0,1.0,1.0,3.0,1.0,No,,,4.0,"handler commented that they had forgotten to do the petting after the crate, they stayed longer interacting but I didn't score as it didn't happen after the crate.",,,4.0,,,,,,,,,,,,,
Goober,07-01-LG,1,2019-07-29,B,LRxGR,M,G,IGDB,Graham,15/04/2018,02/07/2019,03/02/2020,GD,,,1.0,5.0,1.0,,,2.0,,,1,2,2,3,,,3,,,4.0,,,1,1.0,,handler used treats ,,4.0,3,No,No,,,,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,,,,5,5,4,5,5,4.0,4.0,5.0,4,5.0,5,,,,5,"broke sit, whined, nudged handler, ",,Left,3.0,1,2.0,,2.0,handler stepped away from dog but dog didn't move from the spot. dog gave one bark while he had the kong,,4,1.0,,,,1.0,2.0,2.0,4.0,1.0,1.0,1.0,4.0,1.0,3.0,3.0,No,,,,2.0,1.0,3.0,,2.0,,,3.0,3.0,2.0,3.0,1.0,No,,,3.0,,,,4.0,,,,,,,,,,,,,
Gav,07-12-LG,1,2019-08-21,A,LRxGR,M,G,IGDB,Rose,15/04/2018,16/06/2019,28/01/2020,AD,,,2.0,5.0,1.0,,,1.0,,,3,2,2,2,"Very rare pull for distractions only, and even then very mild. The walking initiative changed a lot - ranging from walking behind to walking beside and ahead. However, he walked at handlers side more than anything else",,3,Quite distracted - looking for treats in handlers hands and sniffing the platform. Slightly activated. Maintained for the most part. There was a break at the end - handler and assessor decide to continue with a sit from then on ,,1.0,"Broke sit and walked off the platform, then when asked to sit again he lay down. Lay down, handler continued once that own was broken. Broke a couple times again. ",,1,1.0,, ,,4.0,2,No,No,,Started off being more co-operative. But broke half way through and looked like he wanted to jump off but he still allowed the body check to continue with handler support. ,,No,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,,,,3,2,4,1,3,2.0,4.0,6.0,2,5.0,4,,,,5,Unsettled and jumping up at handler after sitting for a short while ,,Both,3.0,3,5.0,,4.0,,,5,0.0,,,,1.0,1.0,4.0,3.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,No,,,,1.0,2.0,3.0,,2.0,Initially interacts calmly with a wagging tail but quickly loses interest and begins exploring (does return),,5.0,1.0,1.0,2.0,4.0,No,,,3.0,,,,6.0,,Immediately ran toward the bucket but not fearful - more inquisitive and excited activation,,,,,,,,,,,
Gilli,07-15-LG,1,2019-08-21,A,LRxGR,F,G,IGDB,Frances,15/04/2018,29/07/2019,01/10/2019,W,,,1.0,5.0,1.0,Went into crate and settled into a sit for a while. ,,1.0,,,3,3,2,2,Handler remarks on Gilli perhaps needing the toilet. ,,3,Backs away here and there. might need toilet - handler remarks on dog passing wind,,1.0,Very unsettled sit,,1,1.0,,"Refused to go down and only went down a lure. Needing loads of handler support - handler maintained a crouched position next to her the entire time and without this I think she would have still broken even then a few times,.",,4.0,1,No,No,,Wanted to jump off the entire time - stood skew on the table and as soon as she got a gap she jumped off,,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No,,,,3,2,2,4,1,2.0,3.0,3.0,3,3.0,4,,,,4,Wanted to jump but modulated well,,Righ,3.0,3,2.0,,2.0,,,4,0.0,,Very little interest - more interest in the environment,,1.0,2.0,1.0,4.0,1.0,1.0,2.0,2.0,4.0,3.0,4.0,No,,Strange reaction - happy to go into crate during the familiarisation process and when she received the kong. But not happy to have the gate closed or to be left in there and for handler to ignore - at all. Very vocal ,,1.0,1.0,1.0,,2.0,More interested in sussing out the environment. Happy to be out and not a fearful response but not interested in play ,,4.0,2.0,3.0,3.0,3.0,No,,,2.0,Happy to have handler back but not interested in physical play,,,4.0,,Slight lift of the head - inquisitive. Quick recovery,,,,,,,,,,,
Effie,07-13-LE,1,2019-08-21,B,LRx,F,E,IGDB,Graham,12/03/2018,30/07/2019,03/02/2020,GD,,,2.0,4.0,2.0,,,1.0,,,2,2,1,2,camera too far over and dog goes out of view a few times,,2,,,4.0,,,1,1.0,,,,4.0,4,No,No,,,,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,,used towel instead of tea towel,,1,4,3,4,1,3.0,3.0,3.0,3,3.0,5,,can't see the dog's food reaction but you can make a judgement by seeing the handler which was due to the camera angle,,2,sits calmly,,Left,3.0,1,1.0,,2.0,handler steps away from kong/dog but dog doesn't move from the spot,,3,0.0,,handler moved toward assessor to give treats to assessor for dog distraction dog ,,1.0,2.0,2.0,4.0,1.0,1.0,1.0,2.0,4.0,3.0,3.0,No,,,,1.0,1.0,3.0,,3.0,,,4.0,2.0,3.0,2.0,4.0,No,,,4.0,,,,5.0,,,,,,,,,,,,,
Harvey,08-02-LH,1,2019-09-18,A,LRxGR,M,H,IGDB,Rose,11/05/2018,21/08/2019,28/01/2020,AD,,,2.0,5.0,1.0,,,1.0,,,2,1,1,2,Does fall back but more around corners - more consistently a walk at heel,,4,Slightly scent distracted. Platform not used. Maintained,,2.0,At the end he goes into a down without being requested to do so. Assessor and handler move on at this point. ,,4,3.0,,"Not asked to lie down, but maintains down well thereafter. ",,2.0,3,No,No,,Very hesitant jump up. Handler uses food lure and hoists rear end to assist him up.,,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,,Second attempt the tea towel was placed higher up - he was not phased at all with the second attempt. ,,2,2,2,4,2,2.0,2.0,4.0,2,2.0,4,,,,4,Does stand from seated position half way through concentration but no inappropriate behaviour - very excited.,,Righ,4.0,1,1.0,,2.0,,,5,2.0,,Doesnt notice dog at first but as soon as he does he goes toward it immediately.,,1.0,1.0,3.0,1.0,1.0,2.0,1.0,3.0,1.0,2.0,3.0,No,,Wasnt sure if whining was associated with this dog or with the crated dog (for dog distraction) but the whining stopped as soon as he was out and only happened during this session ,,1.0,1.0,3.0,,3.0,,,3.0,4.0,1.0,,1.0,No,,Not sure where the whining is coming from. ,3.0,,,,4.0,,Slight head tilt and showed a little concern but recovered very quickly,,,,,,,,,,,
Gretel,07-14-LG,1,2019-08-21,B,LRxGR,F,G,IGDB,Catherine,15/04/2018,21/07/2019,29/11/2019,AD,,,1.0,5.0,1.0,,,1.0,,,2,3,2,2,,,4,,,3.0,,,3,3.0,,,,1.0,3,No,No,,,,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,,tea towel on top of body strap for the 1st one and on lower back for the 2nd.   ,,5,4,4,5,4,4.0,4.0,5.0,4,5.0,5,,,,5,dog jumps up at handler once,,None,3.0,3,2.0,,2.0,,,4,1.0,,handler walked towards the crate and called the dog,,1.0,2.0,3.0,4.0,3.0,1.0,3.0,3.0,4.0,3.0,3.0,No,,,,1.0,1.0,1.0,,2.0,,,4.0,3.0,3.0,2.0,1.0,No,,,3.0,,,,4.0,,,,,,,,,,,,,
Jojo,08-13-LJ,1,2019-09-23,A,LR,F,J,IGDB,Frances,03/07/2018,28/08/2019,29/11/2019,AD,,,2.0,5.0,1.0,,,2.0,,,2,1,1,2,,,2,Position of dog during stand no conducive to effect response. ,,4.0,,,2,2.0,,Got a bit bored toward the end - hesitant to reassume down position. ,,3.0,3,No,No,,,,No,Yes,No,Yes,No,No,Yes,No,No,No,No,No,,,,3,3,3,3,3,3.0,2.0,3.0,3,3.0,6,,,,5,"Whining, jumping up, backing up",,Both,3.0,1,1.0,,2.0,,,3,0.0,,,,1.0,1.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,3.0,4.0,No,,,,1.0,1.0,3.0,,3.0,,,3.0,4.0,2.0,1.0,1.0,No,,,3.0,,,,4.0,,,,,,,,,,,,,
Harry,08-01-LH,1,2019-09-18,B,LRxGR,M,H,IGDB,Rose,11/05/2018,21/08/2019,29/11/2019,AD,,,2.0,4.0,1.0,,,2.0,handler walked towards dog and he then went to the handler,,2,2,2,2,,,4,,,3.0,,,1,3.0,,"handler stayed crouched down with dog, ",,1.0,3,No,No,,,,No,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,,,,3,3,4,4,4,3.0,4.0,5.0,3,3.0,4,,,,4,"sat, went to nudge kong ",,Righ,4.0,1,1.0,,2.0,dog was on a loose lead,,5,2.0,,"didn't notice dog immediately as had gone off to have a sniff, once he notice he was gone after the dog",,1.0,4.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,No,,,,1.0,1.0,1.0,,2.0,,,2.0,4.0,2.0,1.0,1.0,No,,,3.0,,,,4.0,,,,,,,,,,,,,
Irrie,09-01-LI,1,2019-10-02,A,LRxGR,F,I,IGDB,Frances,28/06/2018,04/09/2019,27/07/2020,GD,,,1.0,5.0,1.0,Whining - inaudible. Not sure if from this dog or from dog in crate (think the dog in crate). Frantic tail wagging.,,3.0,Was about to come back on first response but then continued exploring and didnt want to go back to the handler.,,3,1,1,3,Very scent distracted.,,2,Body shaking and edging forward. Seems quite activated - tail shaking. Panting and distracted. ,,1.0,Sat before she stood. Still very scent distracted and unsettled.,,1,1.0,,Fell off platform - did not count this as a failed attempt.,,4.0,2,No,No,,Needed help jumping up but I dont think this was due to any unwillingness. During check low tail carriage - even tucking slightly at times and a drop in rear posture at times too. ,,No,No,Yes,No,No,No,Yes,No,No,No,No,No,,Did look once on first attempt but wasnt too bothered about it. ,,6,4,3,2,3,3.0,2.0,3.0,3,4.0,6,,,,4,Excited and activated - regularly lift hind quarters off the floor and changing position. No terrible inappropriate behaviour shown and no jumping up. Didnt notice kong until shown by the handler as she was very distracted by the assessor that had passed with the teddy and/or food etc. ,,None,3.0,1,1.0,,2.0,,,5,1.0,,,,1.0,1.0,3.0,2.0,1.0,1.0,1.0,,,2.0,2.0,No,,"Difficult to tell with whining if it is coming from the dog in the crate, this dog or both dogs and as such difficult to ascertain whether the dog is attention seeking or not..",,1.0,2.0,3.0,,3.0,Reaction to petting ranged from a slight wagging of the tail to indifference as she did spend alot of time exploring and not wanting to go to the handler. ,,3.0,4.0,2.0,,1.0,No,,Goes onto 2nd video. Difficult to know which dog whining was coming from. ,1.0,More interested in assessor with bucket. ,,,4.0,,,,,,,,,,,,,
Judson,09-02-LJ,1,2019-10-02,A,LR,M,J,IGDB,Frances,03/07/2018,04/09/2019,08/06/2020,GD,,,2.0,5.0,1.0,,,1.0,,,3,1,1,2,Loads of air-scenting.,,1,sat when asked to stand - handler continued testing the sit. Came back to stand where he kept sitting.,,2.0,sat when asked to stand - handler continued to test the sit. Lies down a few times without being asked - eventually handler leaves him to lay down. ,,4,3.0,,lay down during his sit.,,4.0,1,No,Yes,,Did better with second attempt but still stressed about it.,,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,No,,,,3,3,3,5,3,3.0,2.0,3.0,4,4.0,6,,,,5,Doesnt jump up but barks and whines.,,None,3.0,3,1.0,,2.0,,,4,1.0,,,,1.0,2.0,3.0,,1.0,1.0,1.0,,1.0,1.0,2.0,No,,Not certain where whining is coming from. But dog is yawning indicating atleast mild stress,,1.0,1.0,3.0,,2.0,Sometimes indifferent,,5.0,1.0,1.0,5.0,3.0,No,,Certain that he is whining and barking here,3.0,Slightly indifferent at times. Second video starts here,,,3.0,,,,,,,,,,,,,
Josie,09-03-LJ,1,2019-10-02,A,LR,F,J,IGDB,Diana,03/07/2018,04/09/2019,17/08/2020,GD,,,2.0,5.0,1.0,,,1.0,,,2,1,1,2,,,1,,,1.0,Kept lying down during the sit. Handler struggled to keep dog in a sit.,,3,3.0,,Lay down without being asked to.,,4.0,3,No,No,,,,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,No,No,,,,1,3,4,1,3,2.0,2.0,1.0,1,1.0,6,,,,2,"At first seems partially interested but does turn attention away every now and then. Quickly loses interest, walks away/explores. Handler calls back and the dog gets more interested - higher activation and barking from excitement. ",,Righ,3.0,2,1.0,,2.0,Uses right paw at beginning but not for long. ,,4,1.0,,More explorative than interested,,1.0,1.0,2.0,5.0,1.0,2.0,4.0,3.0,4.0,3.0,4.0,No,,,,1.0,1.0,5.0,,3.0,,,5.0,1.0,3.0,1.0,5.0,No,,"Jumps out, over the gate.",3.0,,,,3.0,,slightly inquisitive at the bucket but no startle or real reaction,,,,,,,,,,,
Hans,08-03-LH,1,2019-09-23,B,LRxGR,M,H,IGDB,Graham,11/05/2018,21/08/2019,12/02/2020,AD,,,2.0,5.0,1.0,,,1.0,,,2,4,2,3,,,2,,,3.0,handler sat on chair,,4,3.0,,handler sat on chair,,2.0,3,No,No,,,,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,,,,4,4,3,5,4,4.0,4.0,4.0,4,5.0,6,,,,2,sits calmly,,,2.0,3,1.0,,,can't see if dog uses paws as dog has their back to us. Dog initially stays near handler and then walks with kong. Handler walks dog back while dog has kong in the mouth,,6,0.0,,,,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,No,,,,1.0,1.0,4.0,,4.0,,,5.0,1.0,2.0,2.0,1.0,No,,,4.0,,,,4.0,,,,,,,,,,,,,
Jira,08-11-LJ,1,2019-09-23,B,LR,F,J,IGDB,Frances,03/07/2018,28/08/2019,03/02/2020,GD,,,1.0,5.0,1.0,,,2.0,,,1,1,1,3,,,2,last stand dog went into a sit and then was advised to do a sit,,3.0,,,3,3.0,,,,2.0,3,No,No,,,,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,,had used a treat for dog coming to handler,,4,5,5,6,3,4.0,4.0,6.0,4,5.0,7,,,,2,sat,,None,2.0,1,,,2.0,,,3,0.0,,,,1.0,1.0,2.0,4.0,1.0,1.0,3.0,2.0,4.0,3.0,2.0,No,,,,1.0,1.0,3.0,,3.0,,,5.0,1.0,2.0,2.0,4.0,No,,,1.0,dog walks away from handler,,,4.0,,,,,,,,,,,,,
Harmony,08-04-LH,1,2019-10-30,B,LRxGR,F,H,IGDB,Diana,11/05/2018,21/08/2019,29/11/2019,AD,,,3.0,3.0,2.0,,,,dog beside handler,,1,1,1,3,,,3,,,2.0,,,2,3.0,,,,4.0,3,No,No,,,,No,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Yes,No,,,,2,3,3,5,4,3.0,3.0,5.0,3,3.0,4,,,,5,jumps at handler twice,,None,3.0,1,1.0,,2.0,dog on lead,,4,1.0,,,,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,No,,,,1.0,1.0,3.0,,3.0,,,3.0,3.0,1.0,1.0,1.0,No,,,0.0,,,,4.0,,,,,,,,,,,,,
Jazzi,09-04-LJ,1,2019-10-02,A,LR,F,J,IGDB,"Rose, Diana",03/07/2018,04/09/2019,27/07/2020,GD,,,2.0,5.0,1.0,,,1.0,,,2,1,1,2,,,1,Breaking with sits,,1.0,"Shifting weight, standing, moving position. I think very distracted by the dog in the crate who was barking very consistently throughout. ",,1,1.0,,,,4.0,3,No,No,,Slightly more reluctant when back paws are checked but co-operative the rest of the time. ,,Yes,No,No,No,No,No,Yes,No,No,No,No,No,,,,4,2,3,1,5,2.0,2.0,4.0,3,3.0,4,,,,5,"Edging forward, backing up and going side to side. Small jumps on all fours. Doesnt jump up at handler but still overly interested ",,Both,3.0,3,1.0,,2.0,,,2,3.0,,Explored for a long while before strolling up to dog and even then no real interest in the actual dog. When called back thought it was time to play and was jumping around ,,1.0,3.0,2.0,2.0,1.0,1.0,1.0,,1.0,1.0,2.0,No,,Does lie down toward the end,,1.0,1.0,4.0,,3.0,Not a proper isolation as the person filming was watching her with the camera. ,,5.0,1.0,2.0,3.0,1.0,No,,,3.0,,,,3.0,,,,,,,,,,,,,
Hollie,10-02-LH,1,2019-10-24,A,LRxGR,F,H,IGDB,Graham,11/05/2018,02/10/2019,26/11/2019,W,,,3.0,5.0,1.0,,,1.0,,,1,2,2,2,Walks mostly next to handler - at times walks ahead.,,3,Broke stand due to whining dog in the crate - distraction. For the most part did excellently,,4.0,,,3,4.0,,Did very well - only broke once. Was left in down for a long time because the monitor was going hay-wire so she might have been getting bored. When she was down she was nicely settled.,,1.0,2,No,No,,Not happy with check on hind quarters and lay down here,,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,,Slight drop in tail carriage. With the first response handler gives treats and I think she was indifferent to it then as she was anticipating another reward from handler,,2,2,4,4,2,2.0,4.0,4.0,3,3.0,4,,,,5,Very enthralled and jumps out at handler twice,,Righ,3.0,1,1.0,,2.0,,,7,2.0,,Looked like she was going to make contact with the handler the first time but then changes her mind and carries on playing - came on second call.,,,,,,,,,,,,,,,Dog refused to enter the crate,,1.0,3.0,3.0,,3.0,dog on lead therefore I have marked as being held the whole time. ,,5.0,1.0,2.0,2.0,4.0,No,,,3.0,Frantic tail wagging but calm approach,,,6.0,,Ran towards can strongly and immediately - not sure if for can or assessor - didnt take notice of can on second loop. ,,,,,,,,,,,
Fergus,10-01-LF,1,2019-10-24,B,LR,M,F,IGDB,Graham,16/03/2018,02/10/2019,28/01/2020,AD,,,2.0,4.0,2.0,,,1.0,,,1,1,1,3,,,3,,,2.0,dog slid down on the floor twice,,4,4.0,,,,2.0,3,No,No,,,,No,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,No,,,,3,3,3,4,3,3.0,3.0,4.0,3,3.0,4,,,,2,"sits, then gives a nudge to the handler",,Righ,3.0,1,2.0,,2.0,,,4,1.0,,handler walks towards the dog crate and calls the dog at the same time,,1.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,No,,,,1.0,1.0,3.0,,3.0,,,4.0,2.0,2.0,2.0,1.0,No,,,3.0,,,,4.0,,,,,,,,,,,,,
