Name,Code,Data Collection Number,Data Collection Date,Assessor,Breed,Sex,Litter,Source,DOB,DOA,End Date,Duration,Status,Label,Outcome,BT Start,BT Duration,Familiarisation-Response [Oriented to Handler],Familiarisation-Response [Exploration],Familiarisation-Response [Waiting],Call Back-Response,Walking-Distractibility,Walking-Pull on leash,Walking-Pull strength,Walking-Initiative,Standing-Response,Sitting-Response,Lying-Response,Lying-Settled,Body check-Table,Body check-Response,Body check-General [Mouths],Body check-General [Licks],Tea Towel-First Response [Indifferent],Tea Towel-First Response [Change from Neutral],Tea Towel-First Response [Turns head],Tea Towel-First Response [Attempts to/Removes towel by moving],Tea Towel-First Response [Attempts to/Removes towel with mouth],Tea Towel-First Response [Plays],Tea Towel-Second Response [Indifferent],Tea Towel-Second Response [Turns head],Tea Towel-Second Response [Change from Neutral],Tea Towel-Second Response [Attempts to/Removes towel by moving],Tea Towel-Second Response [Attempts to/Removes towel with mouth],Tea Towel-Second Response [Plays],Distractions-First Response [Teddy],Distractions-First Response [Human],Distractions-First Response [Car],Distractions-First Response [Food],Distractions-Second Response [Teddy],Distractions-Second Response [Human],Distractions-Second Response [Car],Distractions-Second Response [Food],Distractions-Pull on leash,Distractions-Pull strength,Distractions-Human,Kong-Presentation-Response,Behaviour description,Kong-Interaction-Lateralisation,Kong-Interaction-Response to stimulus,Kong-Interaction-Response to handler,Kong-Interaction-Back,Kong-Return-Handler,Dog-Response,Dog-Call Back Response,Crate-Entering,Crate-Behaviours [Settled],Crate-Behaviours [Sniffing/Exploring ],Crate-Behaviours [Actively Seeking Attention],Crate-Behaviours [Digging],Crate-Behaviours [Nudging Crate],Crate-Behaviours [Pawing],Crate-Behaviours [Whining],Crate-Behaviours [Barking],Crate-Self-Modulation,Crate-Stress,Crate-Urinating,Petting-Handler-Stimulus,Petting-Handler-Holding dog,Petting-Confidence-During,Petting-Responsiveness-After,Isolation-Response [Time oriented],Isolation-Response [Exploration],Isolation-Response [Unsettled/Pacing],Isolation-Response [Whining],Isolation-Response [Barking],Isolation-Urinating,Reunion-Response,Noise-Confidence,S-Walking-Pull_mean,S-Walking-Pull_prod,S-Distractions-Pull_mean,S-Distractions-Pull_prod,S-Walking-Distractions-Pull_mean,S-Walking-Distractions-Pull_prod,S-Familiarisation-Handler_mean,S-Familiarisation-Handler_prod,S-Call-Response_mean,S-Call-Response_prod,S-Familiarisation-Dog-Call,S-Obedience_mean,S-Obedience_prod,S-Sensitivity_mean,S-Sensitivity_prod,S-Tea Towel-First Response,S-Tea Towel-Second Response,S-Distractions-First Response_mean,S-Distractions-First Response_prod,S-Distractions-Second Response_mean,S-Distractions-Second Response_prod,S-Distractions-Difference_mean,S-Kong-Response_mean,S-Kong-Response_prod,S-Dog-Distraction_mean,S-Dog-Distraction_prod,S-Crate-Response_mean,S-Crate-Response_prod,S-Crate-Stimulus_mean,S-Crate-Stimulus_prod,S-Crate-Handler_mean,S-Crate-Handler_prod,S-Petting-Stimulus-During_mean,S-Petting-Stimulus-During_prod,S-Petting-Engagement-During_mean,S-Petting-Engagement-During_prod,S-Petting-After_mean,S-Petting-After_prod,S-Isolation-Handler_mean,S-Isolation-Handler_prod,S-Isolation-Stimulus,S-Sociability_mean,S-Sociability_prod
Zodiac,04-04-LZ,1,20/05/2019,B,LR,M,Z1,Private breeder,06/04/2018,24/04/2019,25/10/2019,184 days,GD,2,Success,14:13:22,00:13:53,1,5,1,1,2,3,2,2,4,4,4,2,3,3,No,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,4,4,4,4,3,4,3,4,3,3,5,4,sits ,,2,1,1,2,8,2,1,3,2,1,1,1,1,,1,1,2,No,1,1,3,4,5,1,1,1,1,No,4,4,2.5,6,3,9,0.5,3,1,1,1.5,2,-1,4,64,1.5,0,1.666666667,1.666666667,4,256,3.5,144,-0.5,2.25,16,5,16,1.5,4,1.25,2,1,1,2,3,2,3,2.5,4,2.333333333,5,0,3.666666667,48
Diva,04-01-LD,1,20/05/2019,B,LRx,F,D1,IGDB,11/02/2018,24/04/2019,13/12/2019,233 days,GD,2,Success,14:46:21,00:14:36,2,4,1,1,2,1,1,2,3,2,4,3,3,3,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,5,3,4,5,5,3,4,4,3,3,4,2,sits calmly,None,3,1,1,2,6,1,3,1,3,5,1,3,2,3,3,3,3,No,1,1,3,3,4,2,2,2,1,No,4,4,1,1,3,9,2,8,1.5,2,1,1,0,3,24,1.5,0,2.5,2.5,4.25,300,4,240,-0.25,2,12,3.5,6,3.25,108,2.25,18,3.666666667,45,2,3,2,3,2,3,2.333333333,8,0,3.333333333,36
Ebbi,05-14-LE,1,13/06/2019,A,LRx,F,E1,IGDB,12/03/2018,15/05/2019,25/10/2019,163 days,AD,1,Success,14:54:56,00:16:45,2,5,2,1,3,4,4,5,3,1,1,1,3,4,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes,No,Yes,No,2,3,3,2,2,3,2,2,2,2,6,2,Attention on the kong at times but at other times she is looking around the room. Not overly interested and never broke her sit,Left,3,1,1,2,5,1,1,2,2,1,1,1,1,1,1,1,2,No,1,1,4,4,5,1,1,1,1,No,4,4,4,16,2,4,-2,-12,2,4,1,1,0,1.666666667,3,1.75,0,1,1.833333333,2.5,36,2.25,24,-0.25,2,12,3,5,1.75,6,1.25,2,1,1,2.5,4,2.5,4,2.5,4,2.333333333,5,0,4,64
Esme,05-13-LE,1,13/06/2019,B,LRx,F,E1,IGDB,12/03/2018,15/05/2019,13/12/2019,212 days,GD,2,Success,14:20:06,00:14:56,4,2,2,1,3,3,2,3,3,4,4,3,4,3,No,No,No,No,No,No,No,No,No,No,No,No,No,No,5,4,4,5,4,3,3,4,4,4,5,4,"sits calmly, looks away briefly twice",Righ,2,1,1,1,5,3,2,1,2,5,1,1,1,3,4,3,3,No,1,1,3,4,4,2,1,2,3,No,5,5,2.5,6,4,16,1.5,10,3,8,2,3,-2,3.666666667,48,1.75,0,0.166666667,0.166666667,4.5,400,3.5,144,-1,2,8,4,15,3,72,1.25,2,4,60,2,3,2,3,2.5,4,3,24,1,4,60
Herbie,07-02-LH,1,29/07/2019,A,LRxGR,M,H1,IGDB,11/05/2018,02/07/2019,10/03/2020,252 days,GD,2,Success,15:42:14,00:14:55,5,1,5,,3,4,3,2,3,2,1,1,4,1,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,1,3,2,6,5,2,1,6,3,4,6,5,Quite consistently lifting hind-quarters and jumps up against handler at the end,Both,3,1,1,2,4,1,1,1,4,3,1,1,1,3,2,3,3,No,1,2,3,4,3,4,1,2,1,No,4,3,3.5,12,3.5,12,0,0,5,25,1,1,,2,6,1.25,0,1,0,3,36,3.5,60,0.5,2.75,30,2.5,4,2.75,36,1.75,4,2.666666667,18,2,3,2.5,6,3,8,2,6,3,3.666666667,48
Evie,07-03-LE,1,29/07/2019,A,LRx,F,E1,IGDB,12/03/2018,02/07/2019,02/02/2020,215 days,GD,2,Success,14:18:49,00:14:49,3,5,1,2,1,1,1,2,3,1,3,1,4,3,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,3,3,2,4,1,2,1,2,2,2,5,4,"Lifts hindquarters a handful of times, but modulates nicely and does not jump up. ",Righ,3,3,1,2,6,2,1,1,4,1,1,1,1,1,1,1,2,No,1,1,3,4,5,1,1,2,2,No,4,3,1,1,2,4,1,3,2,3,2,4,0,2.333333333,9,1.75,0,1,1,3,72,1.5,4,-1.5,2.5,24,4,12,2,8,1.75,4,1,1,2,3,2,3,2.5,4,3,20,0,3.666666667,48
Eliza,05-22-LE,1,18/06/2019,B,LRx,F,E1,IGDB,12/03/2018,28/05/2019,12/11/2019,168 days,W,0,Fail,13:41:32,00:14:51,5,1,1,,1,1,1,3,2,3,4,4,4,3,No,Yes,No,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,No,2,4,3,1,3,4,3,5,3,2,5,4,"dog sits and then goes into a down, keeps looking at handler calmly",Righ,3,1,2,2,4,1,1,4,3,1,1,1,1,1,1,1,1,No,1,1,3,4,5,1,1,1,1,No,4,4,1,1,2.5,6,1.5,5,3,5,1,1,,3,24,2,0,1.666666667,1,2.5,24,3.75,180,1.25,2.75,48,2.5,4,1,1,1.5,3,1,1,2,3,2,3,2.5,4,2.333333333,5,0,3.666666667,48
Edrick,05-11-LE,1,13/06/2019,B,LRx,M,E1,IGDB,12/03/2018,15/05/2019,09/07/2020,421 days,GD,2,Success,13:38:51,00:13:24,2,4,2,1,1,2,2,2,2,4,4,3,4,3,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,4,5,4,6,3,5,3,5,4,5,7,4,"sat, then went into a down",Righ,3,1,2,2,5,3,1,3,3,3,1,1,2,3,1,2,2,No,,,,,5,1,1,3,1,No,5,4,2,4,4.5,20,2.5,16,2,4,2,3,-2,3.333333333,32,1.75,0,2.5,3.5,4.75,480,4,225,-0.75,2.75,48,4,15,1.75,8,1.75,6,2.333333333,9,,1,,1,,1,3,15,0,5,5
Zac,07-04-LZ,1,29/07/2019,A,LR,M,Z1,Private breeder,06/04/2018,02/07/2019,25/10/2019,115 days,W,0,Fail,15:02:37,00:18:01,1,5,1,3,2,1,1,3,4,3,1,1,4,4,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,6,3,4,3,3,2,2,5,3,4,6,5,Very boisterous and misbehaved jumping up at handler regularly. ,Righ,4,1,5,3,3,2,1,1,4,1,1,1,1,,1,2,2,No,1,2,1,4,4,3,1,2,1,No,4,4,1,1,3.5,12,2.5,11,1,1,2.5,6,1,2.666666667,12,2,0,1,1,4,216,3,60,-1,4.25,300,2.5,6,2.25,16,1.75,4,1,1,1,1,1.5,2,3,8,2.333333333,8,2,3,16
Goober,07-01-LG,1,29/07/2019,B,LRxGR,M,G1,IGDB,15/04/2018,02/07/2019,03/02/2020,216 days,GD,2,Success,13:39:35,00:16:58,1,5,1,2,1,2,2,3,3,4,1,1,4,3,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,5,5,4,5,5,4,4,5,4,5,5,5,"broke sit, whined, nudged handler, ",Left,3,1,2,2,5,2,1,2,2,4,1,1,1,4,1,3,3,No,2,1,3,3,3,3,2,3,1,No,4,4,2,4,4.5,20,2.5,16,1,1,2,4,0,2.666666667,12,1.75,0,2.5,3.5,4.75,500,4.5,400,-0.25,3,60,3.5,10,2.5,27,1.25,2,3,16,2.5,6,2,3,2,3,2.333333333,9,1,3.333333333,36
Gav,07-12-LG,1,21/08/2019,A,LRxGR,M,G1,IGDB,15/04/2018,16/06/2019,28/01/2020,226 days,AD,1,Success,13:37:19,00:17:07,2,5,1,1,3,2,2,2,3,1,1,1,4,2,No,No,No,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,3,2,4,1,3,2,4,6,2,5,4,5,Unsettled and jumping up at handler after sitting for a short while ,Both,3,3,5,4,6,1,1,1,4,3,1,1,1,3,1,2,2,No,1,2,3,3,5,1,1,2,4,No,4,6,2,4,3.5,10,1.5,6,1.5,2,1,1,0,1.666666667,3,1.5,0,1.833333333,0,2.5,24,3.75,144,1.25,4.25,300,3.5,6,2.25,16,1.75,4,2.333333333,9,2,3,2.5,6,2.5,6,3.666666667,40,0,3.333333333,36
Gilli,07-15-LG,1,21/08/2019,A,LRxGR,F,G1,IGDB,15/04/2018,29/07/2019,01/10/2019,64 days,W,0,Fail,14:45:51,00:12:40,1,5,1,1,3,3,2,2,3,1,1,1,4,1,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No,3,2,2,4,1,2,3,3,3,3,4,4,Wanted to jump but modulated well,Righ,3,3,2,2,5,1,1,2,1,4,1,1,2,2,4,3,4,No,1,1,1,3,4,2,3,3,3,No,3,4,2.5,6,3,9,0.5,3,1,1,1,1,0,1.666666667,3,1.25,0,2.5,1.833333333,2.75,48,2.25,18,-0.5,2.75,48,3,5,2.75,36,1.25,2,3.333333333,32,1,1,1,1,2,3,3.333333333,36,-1,2.333333333,9
Effie,07-13-LE,1,21/08/2019,B,LRx,F,E1,IGDB,12/03/2018,30/07/2019,03/02/2020,188 days,GD,2,Success,12:47:14,00:15:52,2,4,2,1,2,2,1,2,2,4,1,1,4,4,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,1,4,3,4,1,3,3,3,3,3,5,2,sits calmly,Left,3,1,1,2,4,1,1,2,2,4,1,1,1,2,4,3,3,No,1,1,3,4,4,2,3,2,4,No,5,5,1.5,2,3,9,1.5,7,2,4,1,1,0,2.333333333,8,2,0,2.5,3.5,3,48,2.5,27,-0.5,2,12,2.5,4,2.5,27,1.25,2,3.333333333,32,2,3,2,3,2.5,4,3.333333333,32,-1,4,60
Harvey,08-02-LH,1,18/09/2019,A,LRxGR,M,H1,IGDB,11/05/2018,21/08/2019,28/01/2020,160 days,AD,1,Success,14:21:40,00:11:56,2,5,1,1,2,1,1,2,4,2,4,3,2,3,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,2,2,2,4,2,2,2,4,2,2,4,4,Does stand from seated position half way through concentration but no inappropriate behaviour - very excited.,Righ,4,1,1,2,6,3,1,1,3,1,1,2,1,3,1,2,3,No,1,1,3,4,3,4,1,,1,No,4,4,1,1,2,4,1,3,1.5,2,2,3,-2,3.333333333,32,1.25,0,1,0,2.5,32,2.5,32,0,2.75,32,4.5,18,2.5,24,1.75,6,1.666666667,3,2,3,2,3,2.5,4,2,3,3,3.666666667,48
Gretel,07-14-LG,1,21/08/2019,B,LRxGR,F,G1,IGDB,15/04/2018,21/07/2019,29/11/2019,131 days,AD,1,Success,14:17:50,00:13:47,1,5,1,1,2,3,2,2,4,3,3,3,1,3,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,5,4,4,5,4,4,4,5,4,5,5,5,dog jumps up at handler once,None,3,3,2,2,5,2,1,2,3,4,3,1,3,3,4,3,3,No,1,1,1,3,4,3,3,2,1,No,4,4,2.5,6,4.5,20,2,14,1,1,1.5,2,-1,3.333333333,36,1,0,0.166666667,2.333333333,4.5,400,4.25,320,-0.25,3,60,3.5,10,2.5,27,2.5,27,3.666666667,48,1,1,1,1,2,3,2.333333333,8,0,2.666666667,12
Jojo,08-13-LJ,1,23/09/2019,A,LR,F,J1,IGDB,03/07/2018,28/08/2019,29/11/2019,93 days,AD,1,Success,14:56:40,00:14:13,2,5,1,2,2,1,1,2,2,4,2,2,3,3,No,No,No,Yes,No,Yes,No,No,Yes,No,No,No,No,No,3,3,3,3,3,3,2,3,3,3,6,5,"Whining, jumping up, backing up",Both,3,1,1,2,4,1,1,1,3,3,1,1,1,3,3,3,4,No,1,1,3,4,3,4,2,1,1,No,4,4,1,1,3,9,2,8,1.5,2,1.5,2,1,2.666666667,16,1.5,0,1.166666667,0,3,81,2.75,54,-0.25,2.75,30,2.5,4,3,48,1.5,3,3,27,2,3,2,3,2.5,4,1.666666667,3,2,3.666666667,48
Harry,08-01-LH,1,18/09/2019,B,LRxGR,M,H1,IGDB,11/05/2018,21/08/2019,29/11/2019,100 days,AD,1,Success,13:56:34,00:13:18,2,4,1,2,2,2,2,2,4,3,1,3,1,3,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,3,3,4,4,4,3,4,5,3,3,4,4,"sat, went to nudge kong ",Righ,4,1,1,2,6,3,1,4,3,2,1,1,1,1,1,2,2,No,1,1,1,3,2,4,2,1,1,No,4,4,2,4,3,9,1,5,1.5,2,2.5,6,-1,2.666666667,12,1,0,2.5,2.166666667,3.5,144,4,240,0.5,2.75,32,4.5,18,1.5,4,1.5,3,1.333333333,2,1,1,1,1,2,3,1.333333333,2,2,2.666666667,12
