Name,Code,Data Collection Number,Assessor,Breed,Sex,Litter,Source,PR Sup,DOB,DOA,Data Collection Date,End Date,Status,Timestamp,Familiarisation-Start Time (MM:SS),Familiarisation-Response [Oriented to Handler],Familiarisation-Response [Exploration],Familiarisation-Response [Waiting],Familiarisation-Comments,Call Back-Start Time (MM:SS) ,Call Back-Response,Call Back-Comments,Walking-Start Time (MM:SS),Walking-Distractibility,Walking-Pull on leash,Walking-Pull strength,Walking-Initiative,Walking-Comments,Standing-Start Time (MM:SS) ,Standing-Response,Standing-Comments,Sitting-Start Time (MM:SS) ,Sitting-Response,Sitting-Comments,Lying-Start Time (MM:SS) ,Lying-Response,Lying-Settled,Lying-Finish Time (MM:SS),Lying-Comments,Body check-Start Time (MM:SS),Body check-Table,Body check-Response,Body check-General [Mouths],Body check-General [Licks],Body check-Finish Time (MM:SS) ,Body Check-Comments,Tea Towel-Start Time (MM:SS),Tea Towel-First Response [Indifferent],Tea Towel-First Response [Change from Neutral],Tea Towel-First Response [Turns head],Tea Towel-First Response [Attempts to/Removes towel by moving],Tea Towel-First Response [Attempts to/Removes towel with mouth],Tea Towel-First Response [Plays],Tea Towel-Second Response [Indifferent],Tea Towel-Second Response [Turns head],Tea Towel-Second Response [Change from Neutral],Tea Towel-Second Response [Attempts to/Removes towel by moving],Tea Towel-Second Response [Attempts to/Removes towel with mouth],Tea Towel-Second Response [Plays],Tea Towel-Finish Time (MM:SS),Tea Towel-Comments,Distractions-Start Time (MM:SS),Distractions-First Response [Teddy],Distractions-First Response [Human],Distractions-First Response [Car],Distractions-First Response [Food],Distractions-Second Response [Teddy],Distractions-Second Response [Human],Distractions-Second Response [Car],Distractions-Second Response [Food],Distractions-Pull on leash,Distractions-Pull strength,Distractions-Human,Distractions-Finish Time (MM:SS) ,Distractions-Comments,Kong-Presentation-Start Time (MM:SS) ,Kong-Presentation-Response,Behaviour description,Kong-Interaction-Start Time (MM:SS),Kong-Interaction-Lateralisation,Kong-Interaction-Response to stimulus,Kong-Interaction-Response to handler,Kong-Interaction-Back,Kong-Interaction-Finish Time (MM:SS),Kong-Return-Handler,Kong-Comments,Dog-Start Time (MM:SS),Dog-Response,Dog-Call Back Response,Dog-Finish Time (MM:SS) ,Dog-Comments,Crate-Start Time (MM:SS) ,Crate-Entering,Crate-Behaviours [Settled],Crate-Behaviours [Sniffing/Exploring ],Crate-Behaviours [Actively Seeking Attention],Crate-Behaviours [Digging],Crate-Behaviours [Nudging Crate],Crate-Behaviours [Pawing],Crate-Behaviours [Whining],Crate-Behaviours [Barking],Crate-Self-Modulation,Crate-Stress,Crate-Urinating,Crate-Finish Time (MM:SS),Crate-Comments,Petting-Start Time (MM:SS),Petting-Handler-Stimulus,Petting-Handler-Holding dog,Petting-Confidence-During,Petting-Finish Time (MM:SS),Petting-Responsiveness-After,Petting-Comments,Isolation-Start Time (MM:SS),Isolation-Response [Time oriented],Isolation-Response [Exploration],Isolation-Response [Unsettled/Pacing],Isolation-Response [Whining],Isolation-Response [Barking],Isolation-Urinating,Isolation-Finish Time (MM:SS) ,Isolation-Comments,Reunion-Response,Reunion-Comments,Noise-Time (MM:SS),Noise-Confidence,Noise-Comments,Jumps,Shakes,Stretches,Whines,Short Barks,Continuous Barks,Growls,Scratches,Grooms,Yawns
Earl,04-02-LE,1,Allyce,LRx,M,E,IGDB,Catherine,12/03/2018,24/04/2019,20/05/2019,29/11/2019,AD,21/04/2020 15:46:55,,5,1,1,,,1,,,2,1,1,2,,,3,,,4,Sat without being asked and assessors decided to do the sit first. ,,3,4,,,,1,3,No,No,,,,No,Yes,Yes,No,Yes,No,No,No,Yes,No,No,No,,Subtle change in neutrality on second attempt - tail stops wagging and body stiffens slightly,,1,2,4,1,3,2.0,2.0,3.0,2,2,4,,,,2,"Calm approach, happy with tail wagging, no jumping up or exhibition of inappropriate behaviour",,Left,3,1,1,,2,,,0,0,,Difficult to ascertain whether Earl is interested or cautious without him moving so as to properly read his body language 100% accurately but his tail doesnt appear to moving and he keeps looking toward Ciara in an uncertain way. ,,1,2,3,1,1,2,1,1,1,2,2,Yes,,,,2,1,3,,3,,,3,3,1,1,1,No,,,3,,,4,,,,,,,,,,,
Earl,04-02-LE,1,Susan Turtle,LRx,M,E,IGDB,Catherine,12/03/2018,24/04/2019,20/05/2019,29/11/2019,AD,21/04/2020 16:11:33,,5,1,1,,,,dog didn't move from beside the handler,,1,2,1,3,dog shows signs of stress by panting and occasionally biting the lead,,3,,,4,,,2,2,,panting during this time,,,3,No,No,,,,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,,,,1,3,4,1,4,3.0,3.0,4.0,3,2,4,,,,2,"dog sat and waited, looked away once",,Left,3,1,1,,2,,,3,0,,,,1,2,3,1,1,2,1,1,1,2,2,Yes,,"may not have gone prior to test, may have a health problem",,1,1,3,,3,,,2,3,1,1,1,No,,"stayed at the gate initially, strolled around sniffing and went back to the gate",3,,,4,,,,,,,,,,,
Earl,04-02-LE,2,Allyce,LRx,M,E,IGDB,Catherine,12/03/2018,24/04/2019,03/07/2019,29/11/2019,AD,21/04/2020 16:21:07,,5,3,3,,,1,,,2,1,1,2,,,4,,,2,,,1,3,,,,2,3,No,No,,,,No,Yes,No,No,No,No,No,No,Yes,No,No,No,,Once again - very subtle changes in neutrality,,1,2,3,3,3,2.0,2.0,3.0,2,2,4,,,,4,"Excited when first saw kong with handler, lifted hind quarters to sniff the kong during the concentration phase, and very locked stares",,Left,3,1,2,,2,,,2,0,,,,1,2,4,1,2,1,1,1,1,1,2,No,,,,1,1,3,,3,,,4,1,1,1,1,No,,,3,,,3,,,,,,,,,,,
Earl,04-02-LE,2,Susan Turtle,LRx,M,E,IGDB,Catherine,12/03/2018,24/04/2019,03/07/2019,29/11/2019,AD,21/04/2020 16:46:36,,4,2,1,,,2,,,1,1,1,3,dog shows stress at times by biting the lead,,4,,,2,hard to tell how many times she asked to sit and also used food,,1,2,,started on platform and then on the ground,,2,3,No,No,,moves head away,,No,Yes,No,No,No,No,No,No,Yes,No,No,No,,,,1,3,4,3,3,3.0,3.0,3.0,2,2,4,,,,2,settled,,Left,3,1,2,,2,,,3,0,,dog explores near the handler for a few seconds,,1,2,3,1,1,1,1,1,1,2,2,No,,,,1,1,3,,3,,,4,1,1,1,1,No,,,3,,,4,,,,,,,,,,,
Douglas,04-03-LD,1,Allyce,LRx,M,D,IGDB,Rose,11/02/2018,24/04/2019,20/05/2019,06/08/2019,W,23/04/2020 11:55:58,,2,4,2,,,1,,,2,1,1,2,,3,2,,,4,Restless sit but maintained with handler support,,3,1,,"Very unsettled, shifting weight and needing constant handler support. Tail wagging and broke the stay at the end. ",,3,3,No,No,,"Change in demeanour, stiffened body posture but happy to wait until the check is complete",,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No,,,,4,3,3,6,1,2.0,2.0,6.0,3,3,6,,,,5,"Attempted to get the kong as soon as handler had it in her hands, sat very fixated on kong, jumping up at handler toward end, and very eager throughout the concentration phase ",,Both,4,1,3,,3,,,5,0,,,,1,2,2,1,1,1,2,3,1,3,3,No,,,,1,1,4,,4,,,3,2,1,2,1,No,,,3,,,4,Minor startle - quick recovery. Investigates noise source (bucket),,,,,,,,,,
Douglas,04-03-LD,2,Allyce,LRx,M,D,IGDB,Rose,11/02/2018,24/04/2019,04/07/2019,06/08/2019,W,23/04/2020 12:22:04,,1,5,1,,,1,,,2,1,1,2,,,4,A little distracted by handlers treat pouch but maintained stand wait well,,3,,,1,1,,"Broke down stay numerous times. Change of handler? Distracted, and potential stubbornness - wanting food reward. ",,2,3,No,No,,,,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,,,,3,2,3,6,2,2.0,3.0,6.0,4,4,4,,,,5,"Overly excited, mouthing at and jumping at handler for the kong. Eager to receive and struggles to maintain composure",,Both,4,3,5,,4,,,5,1,,,,2,3,1,1,1,1,1,1,1,1,2,No,,,,1,1,3,,3,,,3,2,1,1,1,No,,,3,,,4,Minor startle - quick recovery and then investigates noise source (bucket),,,,,,,,,,
Emmy,04-08-LE,1,Susan Turtle,LRx,F,E,IGDB,Graham,12/03/2018,24/04/2019,08/06/2019,19/08/2019,W,23/04/2020 13:32:24,,3,3,2,walks slowly around sniffing,,1,,,1,1,1,4,dog was very anxious in one corner which may have been due to a number of things such as the hoover under the camera which meant she didn't want to walk in a circle.,,1,"didn't use platform, platform made a slight noise when it went down, dog very anxious",,2,,,4,3,,"dog slid into when trying to do a sit, not asked but did the down instead of the sit. dog anxious but stayed down and did some sniffing.",,,3,No,No,,handler said that dog wouldn't go on the tale so they didn't try,,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,,picks tea towel up,,4,3,3,4,3,3.0,3.0,3.0,2,2,4,,,,2,"took a while to sit, then stands, then dog walks away eventually towards the end for a little while handler encourages back with treat",,Left,3,1,1,,2,handler put dog into a down,,4,1,,"dog not very interested initially, had a sniff near the handler and then went towards the other dog",,2,2,3,3,1,1,1,3,2,3,3,No,,dog constantly panting ,,1,1,3,,3,eventually moves away from handler,,3,2,1,3,1,No,does one small circle steadily walking,,3,,,4,initially a mild reaction to the sound and on the 2nd round she stopped and needed lots of encouragement. ,,,,,,,,,,
Emmy,04-08-LE,2,Susan Turtle ,LRx,F,E,IGDB,Graham,12/03/2018,24/04/2019,12/08/2019,19/08/2019,W,23/04/2020 14:27:08,,2,4,1,more settled,,1,,,1,1,1,4,,,4,handler stayed beside the dog crouched down constantly petting the dog,,4,"dog sat naturally, handler supported dog with mod petting",,4,3,,handler stayed down beside the dog giving support,,2,3,No,No,,"dog initially refused and the put only front paws, dog not lifted and exam done on the ground",,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,,"follows handler around, turn heads initially to see",,1,4,4,3,2,3.0,2.0,2.0,1,1,4,,,,2,sits but looks away regularly,,Both,3,2,2,,2,,,3,0,,handler took a step away but dog stayed sitting,,1,3,3,2,1,1,1,2,1,2,2,No,,,,1,1,3,,3,calmly interacts with handler stood up while petting the dog ,,3,2,1,2,1,No,,strolled calmly around,3,,,5,"bucket was taken out, as had been there from pervious time, dog anticipated the noise, first time bucket was placed and minor reaction, second time dog reacted prior to bucket being placed down",,,,,,,,,,
Fargo,04-05-LF,1,Allyce,LRx,M ,F,IGDB,Graham,16/03/2018,24/04/2019,23/05/2019,25/11/2019,GD,23/04/2020 14:39:05,,3,4,3,,,1,,,3,2,1,3,"While there was one time where Fargo sniffed the crate and it appeared like he was pulling, I would say this was more orientation than pulling. He was very distracted by his environment but never pulled out to attempt to approach any of the stimuli. Every now and then the tension on the lead went very slack and Fargo was falling behind but with minimal handler input he re-assumed his heel position. ",,2,Fargo broke his stand and was never asked to re-assume. He reassumes of his own accord later in the recording and then breaks it once more. . I have marked this as three attempts,,3,"Fargo assumed a sit, stand approach. The sit wasnt ever requested but was given as a response. However, he never maintained this sit and was constantly between the two behaviours. However, he is seated more than he stands and so i have marked this as 2 attempts",,4,2,,Fargo shifts his weight backward slightly. Handler is crouched beside him throughout the position and he is very engaged with the handler. I feel he would have likely broke this position without the level of support given. He is also seen sniffing. Definitely not settled enough considering the level of handler support he is given. ,,4,3,No,No,,Wasnt happy with paws being touched at all and a definite stiff body posture but was co-operative throughout.,,No,Yes,No,No,No,No,Yes,No,No,No,No,No,,"While there was a very slight change in neutrality on the first response - it was barely noticeable. I did note, however, that the tea towel was not folded.",,6,2,3,2,2,2.0,2.0,3.0,3,3,4,,Picks the teddy up during the first phase,,4,Does lift hindquarters but sits back down without any handler intervention. Stares with profound interest but maintains good composure,,Righ,3,1,1,,1,Dog and handler very close to gate - so no need to follow,,5,1,,Is not called back but does go back to handler of own accord,,1,3,2,1,1,1,1,1,1,1,1,No,,,,1,1,3,,2,,,4,1,2,N,1,No,,Sounds like a slight whimper toward the middle - but not sure,3,,,4,"Very minor startle - did run toward the source but not excessively and was quite near to it to begin with. Good recovery,.",,,,,,,,,,
Fargo,04-05-LF,2,Allyce,LRx,M ,F,IGDB,Graham,16/03/2018,24/04/2019,03/07/2019,25/11/2019,GD,23/04/2020 15:05:28,,2,4,1,A little body sensitive - not liking the strap,,1,,,1,1,1,2,,,3,"Sat without being asked, and then re-assumed his stand (also without being asked) but then maintained it afterward although quite distracted",,1,"Broke the sit by standing, sat immediately after but then shortly after that lay down without being requested to. Maintained the down position until the very near the end- sit position not corrected. Was then asked to re-assume the sit by the assessor and maintained",,4,3,,"While he did not break the down position when he assumed it of his own accord, he was not asked to do this. I have, however, recorded it as excellent (1 attempt) as he didnt officially break it. ",,4,3,No,No,,Not completely happy with paws being checked but cooperative nonetheless.,,No,Yes,Yes,No,No,No,No,No,Yes,Yes,No,No,,Shakes on second attempt,,1,2,2,4,2,2.0,2.0,4.0,2,2,4,,Only really distracted by the food - good handler intervention or I feel the reaction would have been more than a mere pause,,4,"Breaks sit throughout, circles handler and also tries to exhibit good behaviour to get the handler to give the kong (lies down)",,Righ,3,1,2,,2,On lead ,,5,,,Does go to dog immediately but quickly loses interest and explores. Call back NA as handler doesnt call back but rather goes toward Fargo and puts him on lead.,,1,3,1,1,1,2,1,,1,1,2,No,,,,1,1,2,,3,,,4,1,1,1,1,No,,,3,,,3,,,,,,,,,,,
Elf,04-07-LE,1,Allyce,LRx,M,E,IGDB,Frances,12/03/2018,24/04/2019,22/05/2019,25/11/2019,GD,23/04/2020 15:31:32,,4,3,2,,,1,No need for call back ,,3,1,1,2,Loads of scenting,,4,Didnt use platform,,3,Broke when assessor spoke but otherwise excellent,,1,1,,"Starts ignoring the command when bored, and paws at handlers hand. Reluctant to maintain. And when he is laying down he is scenting quite alot ",,4,3,No,No,,Doesnt like hind quarter paws check,,No,Yes,Yes,No,No,No,No,No,Yes,No,No,No,,Only slight change in demeanour (stopped wagging tail) on second response. Inaudible groan - not sure if from him or from the crate dog for dog distraction,,3,2,3,5,2,2.0,2.0,5.0,3,3,4,,,,4,"lifts hindquarters briefly, yawns, intense start, whine, gets up and explores when he feels like he is not going to be getting it. ",,None,3,3,1,,2,,,1,0,,While there is a mild interest - as he is following the dog visually - he doesnt not make any attempt to go toward the dog. ,,1,1,2,2,3,1,1,2,1,3,3,No,,,,1,1,4,,5,"Took blanket out of the crate and didnt want to let go, even goes back for it when it is taken from him but this was definitely attention seeking behaviour as he drops the blanket when handler is out of sight and shows no interest thereafter.Also gives a small whine. ",,4,1,1,2,1,No,,,4,Activated body language but not over the top. Ignores the blanket,,4,No startle - but did want to investigate,,,,,,,,,,
Dugg,05-01-LD,1,Susan Turtle,LRxGR,M,D,Home bred,Graham,11/02/2018,01/05/2019,22/05/2019,25/10/2019,AD,24/04/2020 10:17:04,,1,5,1,,,2,,,1,1,1,3,dog nice and relaxed,,3,,,2,"dog got up from the sit, asked again and dog ended up moving off the platform and reproached",,2,2,,moved from platform to ground handler stayed crouched beside the dog,,2,3,No,No,,,,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,,,,6,2,3,6,5,4.0,4.0,5.0,4,5,4,,highly distracted by food and teddy,,5,"initially sniffed around until dog realised that handler had a kong, then sat, stood and eventually jumped at handler x 3",,None,3,1,1,,2,,,5,2,,,,3,1,2,3,1,1,1,3,4,3,3,No,,,,1,3,3,,3,"dog picked up fleece from crate, handler initially held collar and then put dog on lead.",,4,2,2,1,4,No,,,4,"no petting took place, actively followed handler and handler put him on the lead. settled then",,4,very mild look at the bucket when it dropped,,,,,,,,,,
Dugg,05-01-LD,2,Susan Turtle,LRxGR,M,D,Home bred,Graham,11/02/2018,01/05/2019,17/07/2019,25/10/2019,AD,24/04/2020 11:17:36,,2,4,2,,,,dog came back and stood in front of handler and then handler put lead on ,,2,2,1,3,,,3,,,2,"ended up getting up and back paws went off the platform, handler had to reproach the platform",,3,3,,"as down went down on platform he was half off the platform, hander did down on ground ",,3,3,No,No,,went up on table on 2nd aproach,,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,,,,3,3,1,4,2,3.0,3.0,3.0,3,2,4,,,,2,would look away only briefly ,,Left,3,1,1,,2,,,4,,,"dog was near handler, handler moved and dogfollowed",,2,2,2,3,2,3,3,3,2,3,3,No,,,,2,1,4,,4,,,3,2,2,3,2,No,,,4,,,4,,,,,,,,,,,
Elf,04-07-LE,2,Allyce,LRx,M,E,IGDB,Frances,12/03/2018,24/04/2019,03/07/2019,25/11/2019,GD,24/04/2020 12:46:11,,5,5,1,He was sniffing and exploring but didnt veer too far off from his handler for the most part and went only as far as a few feet in total,,1,,,3,4,3,1,Loads of tension during the walk - so much so that you can hear the tension in the collar from his excessive panting and wheezing ,,3,"Sat down immediately after being told to sit - no stand demonstrated at first. Demonstrated stand at the end. Gave him the benefit of doubt and instead of an official 3 attempts I counted as 2 attempts as he was originally asked to stand when he ignored it/didnt understand it and sat, and then once when he broke it toward the end ",,4,Sat without being asked - when he was actually asked to stand. Maintained this position however and didnt break it once ,,4,3,,A slight bit of scenting and in good posture while lying - but not relaxed I wouldnt say. Quite alert to his surroundings,,4,3,No,No,,I went with co-operative because of his paw sensitivity and because he was a little shaky in his hindquarters when he was being checked. His demeanour also changed slightly ,,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,,There was a change to his neutral state but I think not from the tea towel. i believe he heard a food/ recall whistle and it took his mind off of the towel completely and hence I feel he was indifferent but he definitely had a change to his neutral state due to the whistle,,3,2,2,6,1,2.0,2.0,2.0,3,4,4,,I think there was a lot of handler intervention here which does mask alot of what I believe the true behaviour was ,,4,"He is very ""all over the place"" - not sure what to be more excited about - the kong or the assessor or the dog barking. But he is definitely showing high interest in the kong. Lifts hind quarters and stands with tail wagging excitedly, whines and lip smacks",,Left,3,1,1,,2,,,3,0,,"Stands from his seated position, tail wagging but does not leave the handlers side",,1,2,1,1,1,1,1,1,1,1,2,No,,Stays standing but makes no attempt to seek attention and remains calm,,1,1,3,,2,,,4,1,2,2,1,No,,,4,slight activation - tail wagging quite fast,,4,No real reaction just impulse to investigate,,,,,,,,,,
Flora,05-02-LF,1,Allyce,LRxGR,F,F,Home bred,Graham,16/03/2018,01/05/2019,23/05/2019,20/12/2019,GD,24/04/2020 13:17:57,,2,5,1,Strange posture and gait due to the strap around chest. Quite activated and excited about the environment. Scratching constantly,,1,,,3,3,2,1,Goes between heel position and walking out. Very activated and excited still at this stage. Gave a slight leap at one stage and wanting to run out every now and then,,1,When initially asked to stand she sits and then subsequently lies down shortly after. Standing attempted toward end of the round. Very activated still and highly distracted by dogs barking in the background. Not focused really at all. ,,3,Sat without being asked to. Assessor said to leave her to sit for this round. Lies down soon after. Then assumes sit of own accord. Still very activated,,3,1,,"Broke down command but assessor said to allow dog to keep standing thereafter. Lying down he was shift weight, falling off sides, highly activated and needing a sufficient amount of handler support. He was very enthralled by his handler. ",,4,1,No,No,,highly activated and wanting to jump off the table. Tail wagging consistently and frantically and loads of panting,,No,Yes,No,No,No,No,Yes,No,No,No,No,No,,"1st response - was moving but more out of hyperactivity than to try to get it off. However posture did stoop a little and thus not completely indifferent
2nd response - did move but toward the sound of the dogs barking. Still  very activated and very distracted by the dogs barking in the background",,3,2,6,6,2,2.0,4.0,6.0,4,5,6,,Doesnt lick the persons hand but does wag tail very frantically and I think perhaps doesnt approach due to handler intervention,,4,Whining and doesnt break sit but does nudge forward and backward to gain handlers attention,,None,4,1,2,,2,Intensely nudging and licking the kong ,,3,0,,Doesnt interact or even run after dog but when handlers leaves off toward the crate she shows more interest by going to gate and not wanting to come back,,2,1,1,4,2,1,1,4,2,3,4,No,,,,1,2,3,,2,,,3,3,2,3,1,No,,Ran toward with tail wagging frantically,4,,,6,"ran toward source, with heightened posture (curiosity)",,,,,,,,,,
Flora,05-02-LF,2,Allyce,LRxGR,F,F,Home bred,Graham,16/03/2018,01/05/2019,16/07/2019,20/12/2019,GD,24/04/2020 13:42:13,,1,5,1,Loads of scratching - strap over chest. Counter surfing. ,,1,,,3,3,2,2,Loads of scenting. Urination. Still scenting after urination (was not scenting only due to the urge to urinate). Occasionally walks ahead but for the most part walks at heel,,3,Scenting. Broke stand and sat. Wasnt corrected. Stand resumed after broken sit - wasnt seen for very long ,,3,"Wasnt asked to sit. Broke the sit at the end, and then assessor requested to move onto the stand. ",,4,3,,Drops to the side (more settled) toward the end,,4,4,No,No,,,,No,Yes,No,Yes,No,No,No,No,Yes,No,No,No,,"First attempt - backs up a bit 
Second attempt slight drop in posture and change in level of activation",,1,3,3,5,1,2.0,3.0,2.0,2,4,6,,,,2,Well behaved - good self modulation,,Left,3,1,1,,2,,,6,1,,Paces alongside gate,,1,3,2,1,1,1,1,1,1,1,2,No,,,,1,1,3,,2,,,4,1,1,N,1,No,,Whining from the dog in the crate or from this dog? I think more from the crated dog. ,3,,,6,Runs towards and investigates ,,,,,,,,,,
Fawn,05-03-LF,1,Susan Turtle,LR,F,F,Home bred,Catherine,16/03/2018,01/05/2019,29/05/2019,25/11/2019,GD,24/04/2020 14:46:15,,1,5,1,,,,dog had just gone to the handler after spending most of the time exploring handler,,3,3,2,2,handler and dog did loop x 5,,4,,,3,dog got up and sat again,,3,,,cant see if dog is settles as handler is in the way and stay crouched beside the dog ,,4,3,No,Yes,,dog anxious during vet check.,,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,,"on 2nd time, dog played and jumped to get tea towel from handler",,6,4,5,6,4,5.0,5.0,6.0,4,5,7,,"dog very distracted, handler used a lot of vocal leave it",,4,"jumped once when handler got given the kong, sat in front then fine, kept looking over briefly, got up and stood beside the handler",,None,3,3,1,,2,"handler put kong down a little bit away, dog picks up kong and moves slightly away from original spot",,6,2,,distraction dog carried dog toy,,1,1,3,2,1,2,1,1,1,2,2,No,,,,2,1,5,,5,dog gets excited,,,2,1,1,1,No,,,4,jumps up at handler,,6,pulls strongly to the bucket after it is dropped but ignores it the second time,,,,,,,,,,
Zeb,05-04-LZ,1,Allyce,LR,M,Z,PRV BR,Catherine,06/04/2018,01/05/2019,22/05/2019,06/08/2019,W,24/04/2020 15:11:31,,5,2,1,Very unsure. Tail tucked. Doesnt leave the initial spot handler left him in for a long while. Handler mentions body sensitivity. ,,1,,,2,1,1,2,"Occasionally goes ahead, rarely drops back more consistently walks beside / at heel",,4,,,4,,,4,4,,Handler knelt down beside him. ,,,3,No,No,,"Didnt attempt the table (think the dog was very new in training). Didnt love the body check, but was cooperative",,Yes,No,No,No,No,No,Yes,No,No,No,No,No,,I think because of the strap around chest the cloth was neither here nor there,,3,2,2,6,1,2.0,4.0,5.0,3,5,4,,Startle reaction to the second time round with the car. Very food distracted,,4,"Didnt want to sit at first and once he saw the handler had treats was more obsessed with treats, But before that he was definitely heavily enthralled with the kong. No seriously inappropriate behaviour shown ",,Righ,3,1,1,,2,,,4,2,,On recall - appeared like he would come back on first call but then gets distracted by a scent and only comes back on second command,,2,3,4,1,1,1,1,1,1,1,1,No,,Settled reasonably easily,,1,1,3,,3,,,4,3,1,1,1,No,,,3,,,4,Slight increase in pace. Investigates,,,,,,,,,,
Zeb,05-04-LZ,2,Allyce,LR,M,Z,PRV BR,Catherine,06/04/2018,01/05/2019,17/07/2019,06/08/2019,W,24/04/2020 15:35:49,,1,5,1,,,1,Handler did need to take a step closer but did come on first call,,1,1,1,4,,,4,Not keen on platform. Handler doesnt use the platform ,,1,Poor response seems to be related to body sensitivity - took many attempts to get him into a sit but once sitting he didnt break,,2,3,,Took many attempts to get him into sit and down but was improved from the sit. Handler remained in crouched position. Needed lots of handler support here or I believe he would have been more unsettled,,1,4,No,No,,From tail carriage one might assume that he was only being cooperative but his tail carriage is very low throughout (body sensitivity?),,No,Yes,No,No,No,No,No,No,Yes,No,No,No,,Definitely not comfortable and tries to escape and when the towel is taken off the first time he tries to hide under the table,,3,2,3,6,1,2.0,2.0,6.0,3,5,4,,,,5,Jumps up twice during first presentation but maintains sit during the concentration phase - still quite enthralled though,,Left,3,3,3,,4,Does let go but tries to get it back by jumping up at the handler,,2,1,,At first doesnt leave the handlers side - doesnt leave for most of the time. Then runs to the crate rather than the dog,,1,1,4,1,1,1,1,1,1,1,2,No,,,,1,1,3,,3,,,4,3,1,N,1,No,,Whining coming from the dog in the crate in my opinion. ,1,,,4,Slight increase in pace and investigates,,,,,,,,,,
Fawn,05-03-LF,2,Susan Turtle,LR,F,F,Home bred,Catherine,16/03/2018,01/05/2019,17/07/2019,25/11/2019,GD,24/04/2020 16:24:24,,1,5,1,,,1,,,3,4,3,1,dog mostly walks ahead of handler,,3,dog moved as saw treats,,4,,,4,3,,,,4,3,No,No,,,,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,,played a lot with the tea towel,,6,5,6,6,6,5.0,6.0,6.0,4,5,6,,very distracted in general,,4,"dog sits, looks briefly away twice",,None,3,2,1,,2,,,5,,,"dog distraction didn't have a collar on, ended up off lead and in with the dog being tested. No recall done.",,1,2,3,3,1,1,1,3,1,2,2,No,,,,1,1,4,,4,"dog came out and moved away from handler initially, but then returned and enjoyed being petted",,4,2,2,2,1,No,,,4,handler didn't interact much iniatially,,6,bucket ignored 2nd time,,,,,,,,,,
Eldin,05-05-LE,1,Susan Turtle,LRxGR,M,E,Home bred,Rose,12/03/2018,01/05/2019,29/05/2019,13/12/2019,GD,24/04/2020 17:16:17,,2,4,1,,,,dog had naturally come back to the handler,,2,2,2,3,,,4,,,4,,,4,3,,,,4,2,Yes,No,,anxious panting during vet exam,,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,,"doesn't move 2nd time, just turns around and removes it with his mouth",,6,5,5,1,5,4.0,4.0,5.0,3,4,7,,"didn't go near the food bowl the first time, went around 3 times",,4,"dog sat initially but then walk away, unsure if dog was aware of the stuffed kong, shown again and dog sat and waited for it.",,Both,3,2,2,,2,"dog sat for a short while and then walked away from the handler, dog may not have realised the handler had a stuffed kong, called dog back and showed him the kong.",,3,0,,dog moved after dog distraction dog had gone in,,1,2,2,1,1,1,1,1,1,2,2,No,,just stood there,,1,1,3,,4,gets tea towel off the chair and brings to handler,,4,2,2,1,1,No,,jumped up on the wall ,3,,,5,wanted to go toward the bucket,,,,,,,,,,
Eldin,05-05-LE,2,Susan Turtle,LRxGR,M,E,Home bred,Rose,12/03/2018,01/05/2019,17/07/2019,13/12/2019,GD,25/04/2020 10:08:11,,4,3,2,"urinated soon after going in, may be due to stress or not going before he came down.",,,dog was following handler around as handler had clean up after dog had urinated,,2,4,2,1,occasionally dog walked beside handler but mainly ahead,,4,panting,,3,,,4,3,,,,4,3,No,No,,,,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,,,,2,4,3,4,2,3.0,3.0,3.0,3,3,5,,"2nd time, handler used more voice ",,4,got up once from the sit to move closer to the handler,,Both,3,2,2,,2,"hard to see, relying on what is being said",,3,0,,,,1,2,3,1,1,1,1,1,1,2,2,No,,,,1,1,3,,3,,,4,2,2,1,1,No,,,3,,,4,walked over and looked in the bucket,,,,,,,,,,
