Name,Code,Data Collection Number,Assessor,Breed,Sex,Litter,Source,PR Sup,DOB,DOA,Data Collection Date,End Date,Status,Timestamp,Familiarisation-Start Time (MM:SS),Familiarisation-Response [Oriented to Handler],Familiarisation-Response [Exploration],Familiarisation-Response [Waiting],Familiarisation-Comments,Call Back-Start Time (MM:SS) ,Call Back-Response,Call Back-Comments,Walking-Start Time (MM:SS),Walking-Distractibility,Walking-Pull on leash,Walking-Pull strength,Walking-Initiative,Walking-Comments,Standing-Start Time (MM:SS) ,Standing-Response,Standing-Comments,Sitting-Start Time (MM:SS) ,Sitting-Response,Sitting-Comments,Lying-Start Time (MM:SS) ,Lying-Response,Lying-Settled,Lying-Finish Time (MM:SS),Lying-Comments,Body check-Start Time (MM:SS),Body check-Table,Body check-Response,Body check-General [Mouths],Body check-General [Licks],Body check-Finish Time (MM:SS) ,Body Check-Comments,Tea Towel-Start Time (MM:SS),Tea Towel-First Response [Indifferent],Tea Towel-First Response [Change from Neutral],Tea Towel-First Response [Turns head],Tea Towel-First Response [Attempts to/Removes towel by moving],Tea Towel-First Response [Attempts to/Removes towel with mouth],Tea Towel-First Response [Plays],Tea Towel-Second Response [Indifferent],Tea Towel-Second Response [Turns head],Tea Towel-Second Response [Change from Neutral],Tea Towel-Second Response [Attempts to/Removes towel by moving],Tea Towel-Second Response [Attempts to/Removes towel with mouth],Tea Towel-Second Response [Plays],Tea Towel-Finish Time (MM:SS),Tea Towel-Comments,Distractions-Start Time (MM:SS),Distractions-First Response [Teddy],Distractions-First Response [Human],Distractions-First Response [Car],Distractions-First Response [Food],Distractions-Second Response [Teddy],Distractions-Second Response [Human],Distractions-Second Response [Car],Distractions-Second Response [Food],Distractions-Pull on leash,Distractions-Pull strength,Distractions-Human,Distractions-Finish Time (MM:SS) ,Distractions-Comments,Kong-Presentation-Start Time (MM:SS) ,Kong-Presentation-Response,Behaviour description,Kong-Interaction-Start Time (MM:SS),Kong-Interaction-Lateralisation,Kong-Interaction-Response to stimulus,Kong-Interaction-Response to handler,Kong-Interaction-Back,Kong-Interaction-Finish Time (MM:SS),Kong-Return-Handler,Kong-Comments,Dog-Start Time (MM:SS),Dog-Response,Dog-Call Back Response,Dog-Finish Time (MM:SS) ,Dog-Comments,Crate-Start Time (MM:SS) ,Crate-Entering,Crate-Behaviours [Settled],Crate-Behaviours [Sniffing/Exploring ],Crate-Behaviours [Actively Seeking Attention],Crate-Behaviours [Digging],Crate-Behaviours [Nudging Crate],Crate-Behaviours [Pawing],Crate-Behaviours [Whining],Crate-Behaviours [Barking],Crate-Self-Modulation,Crate-Stress,Crate-Urinating,Crate-Finish Time (MM:SS),Crate-Comments,Petting-Start Time (MM:SS),Petting-Handler-Stimulus,Petting-Handler-Holding dog,Petting-Confidence-During,Petting-Finish Time (MM:SS),Petting-Responsiveness-After,Petting-Comments,Isolation-Start Time (MM:SS),Isolation-Response [Time oriented],Isolation-Response [Exploration],Isolation-Response [Unsettled/Pacing],Isolation-Response [Whining],Isolation-Response [Barking],Isolation-Urinating,Isolation-Finish Time (MM:SS) ,Isolation-Comments,Reunion-Response,Reunion-Comments,Noise-Time (MM:SS),Noise-Confidence,Noise-Comments,Jumps,Shakes,Stretches,Whines,Short Barks,Continuous Barks,Growls,Scratches,Grooms,Yawns
Earl,04-02-LE,2,Susan Turtle,LRx,M,E,IGDB,Catherine,12/03/2018,24/04/2019,03/07/2019,29/11/2019,AD,21/04/2020 16:46:36,,4.0,2.0,1.0,,,2.0,,,1,1,1,3,dog shows stress at times by biting the lead,,4,,,2.0,hard to tell how many times she asked to sit and also used food,,1,2.0,,started on platform and then on the ground,,2.0,3,No,No,,moves head away,,No,Yes,No,No,No,No,No,No,Yes,No,No,No,,,,1,3,4,3,3,3.0,3.0,3.0,2,2.0,4,,,,2,settled,,Left,3.0,1,2.0,,2.0,,,3,0.0,,dog explores near the handler for a few seconds,,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,No,,,,1.0,1.0,3.0,,3.0,,,4,1,1,1,1,No,,,3.0,,,4.0,,,,,,,,,,,
Douglas,04-03-LD,1,Allyce,LRx,M,D,IGDB,Rose,11/02/2018,24/04/2019,20/05/2019,06/08/2019,W,16/04/2020 14:53:11,,2.0,3.0,2.0,Explored about 70% of the time and only came to his handler once where he waited for interaction,,1.0,,,2,1,1,3,"Douglas walks at heel most of the time, but sometimes falls back and needs encouragement. Falling back associated mostly with his environmental distraction.",,2,the final attempt was accepted by assessor and handler to begin with sitting section of the test. But was not requested of him before it was done and so I have put it as a failed attempt,,4.0,A little unsettled but maintained the sit anyways with handler intervention,,3,1.0,,"Broke the down command at the end and was not asked to and hence I have counted it as a broken attempt even though the assessor and trainer decided to move on afterward. He was antsy during this exercise, shifting weight and posture hinting at a possible break as well as wagging tail showing his excitement and hinting at lack of being truly settled. ",,3.0,3,No,No,,"Was lured onto the table and needing hoisting to get on properly, although he was willing for his fore-paws to be up, I think this was more related to the lure placed on the table. He stood relatively still until the end but with his diminished neutrality I would said it was more co-operation than it was willingness",,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,No,,The first attempt was very short-lived. I think he investigated the towel when it was off (both attempts) more than attempted to play with it. First attempt immediate reversal in order to get the towel off. Both attempts = successful removal of the towel,,4,3,3,6,1,3.0,2.0,6.0,3,4.0,5,,"Food was noticed in the first attempt before anything else. Intervention needed to get focus on first object and then again after moving away from the food where he exhibited his distraction for the third and fourth time. He doesnt notice the stuffed toy and then turns to the food for a fifth time after seeing the ""human"" again. After car passes he is immediately pulling toward the food again with a high tension on the lead. All 5 pulling attempts toward the food stimulus.",,5,"tail waging, lifts hind quarters and mouths and then at the end jumps up at handler. ",,Both,3.0,1,3.0,,4.0,Was on lead so needed to follow handler but I believe would have done so irrespective as he was jumping up at the handler for the kong,,5,1.0,,Moved toward the dog immediately but then lost interest quickly and began to explore,,1.0,2.0,1.0,3.0,2.0,,,3.0,1.0,5.0,,No,,,,1.0,2.0,4.0,,2.0,,,3,2,2,2,1,No,,,3.0,,,5.0,,,,,,,,,,,
Douglas,04-03-LD,1,Susan Turtle,LRx,M,D,IGDB,Rose,11/02/2018,24/04/2019,20/05/2019,06/08/2019,W,16/04/2020 17:01:18,,2.0,4.0,2.0,"nice and relaxed, strolling around",,1.0,very good,,1,1,1,2,dog relaxed,,2,dog went to move and instead of standing it was suggested to sit ,,4.0,only turned once to look at the elastic strap,,4,2.0,,handler gave a lot of support by coming over and petting him,,3.0,3,No,No,,tail stopped wagging once handler started exam,,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,,"first try was on lead, second try off lead",,3,4,4,5,1,3.0,3.0,5.0,3,3.0,6,,dog very much focused on the dog food bowl,,5,generally sitting but towards the end he jumps up to get the kong,,Left,3.0,1,2.0,,4.0,jumps towards handler when handler has the kong towards the end of holding it. Also jump for the kong when the kong is being put back,,5,0.0,,,,2.0,2.0,2.0,3.0,1.0,,,3.0,1.0,3.0,,No,,,,1.0,1.0,4.0,,2.0,,,3,2,2,2,1,No,,,3.0,,,5.0,looks but investigates,,,,,,,,,,
Douglas,04-03-LD,1,Allyce,LRx,M,D,IGDB,Rose,11/02/2018,24/04/2019,20/05/2019,06/08/2019,W,23/04/2020 11:55:58,,2.0,4.0,2.0,,,1.0,,,2,1,1,2,,3,2,,,4.0,Restless sit but maintained with handler support,,3,1.0,,"Very unsettled, shifting weight and needing constant handler support. Tail wagging and broke the stay at the end. ",,3.0,3,No,No,,"Change in demeanour, stiffened body posture but happy to wait until the check is complete",,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No,,,,4,3,3,6,1,2.0,2.0,6.0,3,3.0,6,,,,5,"Attempted to get the kong as soon as handler had it in her hands, sat very fixated on kong, jumping up at handler toward end, and very eager throughout the concentration phase ",,Both,4.0,1,3.0,,3.0,,,5,0.0,,,,1.0,2.0,2.0,1.0,1.0,1.0,2.0,3.0,1.0,3.0,3.0,No,,,,1.0,1.0,4.0,,4.0,,,3,2,1,2,1,No,,,3.0,,,4.0,Minor startle - quick recovery. Investigates noise source (bucket),,,,,,,,,,
Douglas,04-03-LD,2,Allyce,LRx,M,D,IGDB,Rose,11/02/2018,24/04/2019,04/07/2019,06/08/2019,W,16/04/2020 15:27:01,,2.0,4.0,1.0,Change to original handler. ,,1.0,,,1,1,1,3,Almost not distracted all,,4,,,3.0,Only sat on second request - difficult to know whether this was due to uncertainty over what was being asked though as he sat immediately on the second request. Not broken once thereafter. ,,1,1.0,,"Difficult to lie down on first request as he was too forwardly placed on the platform. However, he saw the rest of the requests as a game, and was very distracted by the environment. ",,2.0,2,No,No,,Very hesitant to climb onto the table and finally got on with assistance. I think if he wasnt being held during the examination he would have jumped off.,,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,,,,3,3,4,6,2,3.0,3.0,5.0,4,4.0,5,,Obsessed with food from the first turn again and only has intentions of getting food throughout the entirety of this exercise and has high tension because of it. ,,5,High level of excitement. Jumps up immediately and then once by breaking his sit. His tail is constantly wagging and he is showing anxiety over wanting the toy including lip smacking and shifting weight. ,,Both,3.0,3,5.0,,4.0,,,5,1.0,,,,1.0,2.0,1.0,1.0,1.0,,,1.0,1.0,2.0,,No,,,,1.0,2.0,3.0,,1.0,Lost interest after a while,,3,1,2,1,1,No,,He seemed to move away at a time but I dont think was explorative as much as it was a pacing movement in anticipation of the handlers return,3.0,,,3.0,Slight startle but investigated and recovered very quickly,,,,,,,,,,
Douglas,04-03-LD,2,Susan Turtle,LRx,M,D,IGDB,Rose,11/02/2018,24/04/2019,04/07/2019,06/08/2019,W,16/04/2020 17:50:21,,2.0,4.0,1.0,dog relaxed and scenting,,1.0,dog not far from handler,,1,1,1,2,,,4,used food reward,,,,,1,2.0,,"handler was using food, another person entered the pod basement",,2.0,3,No,No,,,,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,,slight improvement the 2nd time,,1,3,4,5,1,3.0,4.0,5.0,4,4.0,4,,food orinated,2,4,"jumped to grab kong prior to being asked to sit, broke sit once",,Left,4.0,3,4.0,,4.0,initially stayed near the handler and then moved away to the matt after awhile. jumped up to grab the kong as the kong was being returned.,,4,1.0,,came back towards the handler and moved back to wards the dog prior to recall,,2.0,2.0,1.0,2.0,1.0,,,1.0,1.0,2.0,,No,,,,1.0,1.0,3.0,,2.0,,,3,2,2,1,1,No,,"mildly stressed, panting",3.0,,,3.0,"mild reaction, looks but doesn't move away",,,,,,,,,,
Douglas,04-03-LD,2,Allyce,LRx,M,D,IGDB,Rose,11/02/2018,24/04/2019,04/07/2019,06/08/2019,W,23/04/2020 12:22:04,,1.0,5.0,1.0,,,1.0,,,2,1,1,2,,,4,A little distracted by handlers treat pouch but maintained stand wait well,,3.0,,,1,1.0,,"Broke down stay numerous times. Change of handler? Distracted, and potential stubbornness - wanting food reward. ",,2.0,3,No,No,,,,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,,,,3,2,3,6,2,2.0,3.0,6.0,4,4.0,4,,,,5,"Overly excited, mouthing at and jumping at handler for the kong. Eager to receive and struggles to maintain composure",,Both,4.0,3,5.0,,4.0,,,5,1.0,,,,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,No,,,,1.0,1.0,3.0,,3.0,,,3,2,1,1,1,No,,,3.0,,,4.0,Minor startle - quick recovery and then investigates noise source (bucket),,,,,,,,,,
Junior,10-11-LJ,1,Susan Turtle,LR,M,J,IGDB,Rose,03/07/2018,07/10/2019,01/11/2019,27/07/2020,GD,05/05/2020 17:20:07,,2.0,4.0,1.0,,,1.0,,,2,2,2,3,,,2,,,2.0,,,3,3.0,,,,3.0,3,No,Yes,,,,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,,,,3,3,3,5,1,1.0,1.0,4.0,3,3.0,5,,,,5,"barks at handler, unsettled sit",,,4.0,1,2.0,,2.0,,,4,1.0,,,,2.0,1.0,2.0,5.0,1.0,1.0,2.0,1.0,5.0,3.0,2.0,No,,,,1.0,1.0,3.0,,3.0,,,5,1,3,3,2,No,,,4.0,,,4.0,,,,,,,,,,,
Junior,10-11-LJ,1,Susan Turtle,LR,M,J,IGDB,Rose,03/07/2018,07/10/2019,06/11/2019,27/07/2020,GD,06/05/2020 10:00:03,,3.0,4.0,2.0,,,1.0,dog was near handler,,1,1,1,3,,,4,,,2.0,,,2,2.0,,,,4.0,3,No,No,,,,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,,,,4,3,3,5,3,3.0,3.0,4.0,2,3.0,5,,,,4,broke sit and resat closer to handler ,,None,2.0,1,1.0,,2.0,,,4,0.0,,,,2.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,No,,,,1.0,1.0,4.0,,4.0,,,4,2,1,1,1,No,,,3.0,,,4.0,,,,,,,,,,,
Milo,12-03-LM,2,Allyce,LR,M,M,IGDB,Rose,25/08/2018,09/12/2019,19/02/2020,,AD,11/05/2020 12:07:48,,3.0,5.0,2.0,Some whining. Even when handler orientated and looking to handler for input - she is still constantlly moving and exploring the area. ,,1.0,,,1,1,1,2,,,3,Whining and moving around alot at the start. Good handler support. ,,4.0,Still whining.,,3,3.0,,Constant whining.,,4.0,2,No,Yes,,Frantic tail wagging - bit of stress. ,,No,Yes,Yes,No,Yes,No,No,No,Yes,No,No,No,,,,1,3,2,4,1,3.0,2.0,4.0,3,4.0,6,,Very food obsessed - to the point of not really noticing / wanting to interact with other stimulii,,4,"Whining, and starting at kong intently but not breaking sit or acting inappropriately",,Righ,3.0,1,1.0,,2.0,Starting to think that the whining is coming from the dog in the crate either as well as this dog or whining not coming from this dog at all,,1,0.0,,"Cannot see the dogs reaction as the pillar blocks my view, but it is clear that the dog doesnt leave the handlers side at all",,1.0,4.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,No,,Whining and not sure if it is from this or the other dog. Stays seated for most of the time,,1.0,1.0,3.0,,2.0,,,5,1,1,N,1,No,,Not sure where whining is coming from ,3.0,,,3.0,,,,,,,,,,,
Milo,12-03-LM,2,Allyce,LR,M,M,IGDB,Rose,25/08/2018,09/12/2019,19/02/2020,,AD,12/05/2020 13:40:33,,4.0,5.0,1.0,,,2.0,,,1,1,1,4,,,3,Scent distracted. needing support from handler. ,,4.0,Did need a little support from handler with all the dogs barking in the background,,4,4.0,,Scent distracted at first and then settled very well,,4.0,3,No,No,,,,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,,Does turn his head on the first attempt but not worried about it - more inquisitive. Doesnt even look at it the second time. ,,4,3,2,3,1,3.0,2.0,2.0,2,2.0,6,,,,4,Shifts weight and moves around a lot. Tail wagging frantically but doesnt jump up at handler,,Both,3.0,1,1.0,,2.0,,,3,0.0,,,,2.0,4.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,No,,There is whining but I think its coming from the other dog.,,1.0,1.0,3.0,,2.0,,,4,2,1,N,1,No,,Not sure where the whining is coming from,3.0,,,3.0,,,,,,,,,,,
