Litter,Name,Breed,Source,DOB
Y1,Yani,LRxGR,IGDB,2019-09-25
Y1,Yorkie,LRxGR,IGDB,2019-09-26
Z1,Zodiac,LR,Private breeder,2018-04-06
Z1,Zeb,LR,Private breeder,2018-04-06
Z1,Zac,LR,Private breeder,2018-04-06
Z1,Ziggy,LR,Private breeder,2018-04-06
Z2,Zander,LR,Cesecah,2018-10-19
Z3,Zeus,LR,DFG,2018-10-14
Z4,Zaid,LR,AADI,2019-07-22
Z4,Zavier,LR,AADI,2019-07-22
Z4,Zackie,LR,AADI,2019-07-22
Z5,Zaar,LR,Private breeder,2019-05-20
Z5,Zorro,LR,Private breeder,2019-05-20
Z6,Zylan,LR,Private breeder,2019-08-03
Z7,Zita,LRxGR,GDBUK,2019-04-29
Z7,Ziggy,LRxGR,GDBUK,2019-04-29
Z8,Zeplin,GRxPoodle,Private breeder,2019-07-13
Z8,Zeeno,GRxPoodle,Private breeder,2019-07-13
Z8,Zyon,GRxPoodle,Private breeder,2019-07-13
Z9,Zarley,LR,Private breeder,2019-09-01
