Name,Code,Data Collection Number,Data Collection Date,Assessor,Breed,Sex,Litter,Source,DOB,DOA,End Date,Duration,Status,Outcome,Working,BT Start,BT Duration,Familiarisation-Start Time (MM:SS),Familiarisation-Response [Oriented to Handler],Familiarisation-Response [Exploration],Familiarisation-Response [Waiting],Familiarisation-Comments,Call Back-Start Time (MM:SS) ,Call Back-Response,Call Back-Comments,Walking-Start Time (MM:SS),Walking-Distractibility,Walking-Pull on leash,Walking-Pull strength,Walking-Initiative,Walking-Comments,Standing-Start Time (MM:SS) ,Standing-Response,Standing-Comments,Sitting-Start Time (MM:SS) ,Sitting-Response,Sitting-Comments,Lying-Start Time (MM:SS) ,Lying-Response,Lying-Settled,Lying-Finish Time (MM:SS),Lying-Comments,Body check-Start Time (MM:SS),Body check-Table,Body check-Response,Body check-General [Mouths],Body check-General [Licks],Body check-Finish Time (MM:SS) ,Body Check-Comments,Tea Towel-Start Time (MM:SS),Tea Towel-First Response [Indifferent],Tea Towel-First Response [Change from Neutral],Tea Towel-First Response [Turns head],Tea Towel-First Response [Attempts to/Removes towel by moving],Tea Towel-First Response [Attempts to/Removes towel with mouth],Tea Towel-First Response [Plays],Tea Towel-Second Response [Indifferent],Tea Towel-Second Response [Turns head],Tea Towel-Second Response [Change from Neutral],Tea Towel-Second Response [Attempts to/Removes towel by moving],Tea Towel-Second Response [Attempts to/Removes towel with mouth],Tea Towel-Second Response [Plays],Tea Towel-Finish Time (MM:SS),Tea Towel-Comments,Distractions-Start Time (MM:SS),Distractions-First Response [Teddy],Distractions-First Response [Human],Distractions-First Response [Car],Distractions-First Response [Food],Distractions-Second Response [Teddy],Distractions-Second Response [Human],Distractions-Second Response [Car],Distractions-Second Response [Food],Distractions-Pull on leash,Distractions-Pull strength,Distractions-Human,Distractions-Finish Time (MM:SS) ,Distractions-Comments,Kong-Presentation-Start Time (MM:SS) ,Kong-Presentation-Response,Behaviour description,Kong-Interaction-Start Time (MM:SS),Kong-Interaction-Lateralisation,Kong-Interaction-Response to stimulus,Kong-Interaction-Response to handler,Kong-Interaction-Back,Kong-Interaction-Finish Time (MM:SS),Kong-Return-Handler,Kong-Comments,Dog-Start Time (MM:SS),Dog-Response,Dog-Call Back Response,Dog-Finish Time (MM:SS) ,Dog-Comments,Crate-Start Time (MM:SS) ,Crate-Entering,Crate-Behaviours [Settled],Crate-Behaviours [Sniffing/Exploring ],Crate-Behaviours [Actively Seeking Attention],Crate-Behaviours [Digging],Crate-Behaviours [Nudging Crate],Crate-Behaviours [Pawing],Crate-Behaviours [Whining],Crate-Behaviours [Barking],Crate-Self-Modulation,Crate-Stress,Crate-Urinating,Crate-Finish Time (MM:SS),Crate-Comments,Petting-Start Time (MM:SS),Petting-Handler-Stimulus,Petting-Handler-Holding dog,Petting-Confidence-During,Petting-Finish Time (MM:SS),Petting-Responsiveness-After,Petting-Comments,Isolation-Start Time (MM:SS),Isolation-Response [Time oriented],Isolation-Response [Exploration],Isolation-Response [Unsettled/Pacing],Isolation-Response [Whining],Isolation-Response [Barking],Isolation-Urinating,Isolation-Finish Time (MM:SS) ,Isolation-Comments,Reunion-Response,Reunion-Comments,Noise-Start Time (MM:SS),Noise-Time (MM:SS),Noise-Confidence,Noise-Walk Finish Time (MM:SS),Noise-Comments,Jumps,Shakes,Stretches,Whines,Short Barks,Continuous Barks,Growls,Scratches,Grooms,Yawns,Lip Smacking,S-Familiarisation-Handler_mean,S-Familiarisation-Handler_prod,S-Walking-Pull_mean,S-Walking-Pull_prod,S-Distractions-Pull_mean,S-Distractions-Pull_prod,S-Walking-Distractions-Pull_mean,S-Walking-Distractions-Pull_prod,S-Obedience_mean,S-Obedience_prod,S-Sensitivity,S-Tea Towel-First Response,S-Tea Towel-Second Response,S-Distractions-First Response_mean,S-Distractions-First Response_prod,S-Distractions-Second Response_mean,S-Distractions-Second Response_prod,S-Distractions-Difference_mean,S-Kong-Response_mean,S-Kong-Response_prod,S-Dog-Distraction_mean,S-Dog-Distraction_prod,S-Call-Response_mean,S-Call-Response_prod,S-Familiarisation-Dog-Call,S-Crate-Response_mean,S-Crate-Response_prod,S-Crate-Stimulus_mean,S-Crate-Stimulus_prod,S-Crate-Handler_mean,S-Crate-Handler_prod,S-Petting-Stimulus-During_mean,S-Petting-Stimulus-During_prod,S-Petting-Engagement-During_mean,S-Petting-Engagement-During_prod,S-Petting-After_mean,S-Petting-After_prod,S-Isolation-Handler_mean,S-Isolation-Handler_prod,S-Isolation-Stimulus,S-Sociability_mean,S-Sociability_prod
Ebbi,05-14-LE,1,2019-06-13,A,LRx,F,E1,IGDB,2018-03-12,2019-05-15,2019-10-25,163 days,AD,Success,Success,14:54:56,0:16:45,,2.0,5.0,2.0,Does come back to handler every now and then but more co-incidentally. Came back to handler purposely at very end. High scenting. Occasional body shakes - portraying body sensitivity. Panting. Would say Ebbi is stressed/anxious,,1.0,,,3.0,4.0,4.0,5.0,"At times Ebbi walks alongside her handler however, for the most part, she is highly excited and pulling to the extent of tension that causes her to pant and wheeze. Loads of body shaking exhibited with the walk - more than the original familiarisation phase. Defecated on her walk (perhaps a full bowel would explain the stress levels and pulling). Pulling less severe and panting toned down - no more wheezing - after defecation. ",,3.0,Didnt use platform. Started very well - got bored mid-way and waiting for more handler input,,1.0,Took many attempts (even with a lure) to complete a sit. Broke sit once too (boredom and looking for handler input/further instruction) - would say she might be quite food distracted. ,,1.0,1.0,,"Would only go down down for a food lure. Then broke down and handler struggled to get her to go back. Broke it a second time, and then maintained the third down. Handler had to be sitting on floor in order to achieve. ",,3.0,4.0,No,No,,Bit of continued panting - nothing serious. But tail wagging through most of it. ,,No,Yes,Yes,No,No,No,No,Yes,Yes,No,Yes,No,,First attempt - does walk around handler but wouldnt say this would be an attempt to get it off - more seeking handler input. ,,2,3,3,2,2,3.0,2.0,2.0,2.0,2.0,6.0,,,,2.0,Attention on the kong at times but at other times she is looking around the room. Not overly interested and never broke her sit,,Left,3.0,1.0,1.0,,2.0,,,5.0,1.0,,,,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,No,,Spent most of the time standing and looking back between assessor and handler. Not settled but not terribly stressed,,1.0,1.0,4.0,,4.0,,,5.0,1.0,1.0,1.0,1.0,No,,jumped up against gate once. ,4.0,,,,4.0,,"slight change in head positioning, investigated very briefly thereafter. Quick recovery",,,,,,,,,,,,2.0,4.0,4.0,16.0,2.0,4.0,-2.0,-12.0,1.6666666666666667,3.0,3.5,1.0,1.8333333333333333,2.5,36,2.25,24.0,-0.25,2.0,12.0,3.0,5.0,1.0,1.0,0.0,1.75,6.0,1.25,2.0,1.0,1.0,2.5,4.0,2.5,4.0,2.5,4.0,2.3333333333333335,5.0,0.0,4.0,64.0
Ebbi,05-14-LE,2,2019-07-31,A,LRx,F,E1,IGDB,2018-03-12,2019-05-15,2019-10-25,163 days,AD,Success,Success,14:14:49,0:17:31,,4.0,5.0,1.0,High scenting. Does sniff around in exploration but keeps regularly and reasonably orientated to handler - doesn't veer too far off. ,,1.0,,,1.0,1.0,1.0,2.0,A little bit of shaking. Handler doesnt create too wide a walking path - keeps a relatively small circle. I think perhaps if the circle was widened the dog might be slightly more distracted. ,,4.0,Handler touched hind-quarters resulting in a slight break of stand but I havent counted this ,,1.0,handler asks many times without success. Dog reverses off the platform and a few times after when the handler tries to get a sit. Once sitting Ebbi maintains.  ,,1.0,1.0,,"Very hesitant to assume down position, eventually goes down but breaks shortly after and then refuses to go down again thereafter. Either stubbornness or body sensitivity - handler mentions that she regularly struggles but that she is also quite body sensitive. Assessor suggests that they move on but handler decides to rather keep trying even attempting a new position. Ends with refusal. ",,1.0,3.0,No,No,,Dog vocalisation heard from the crated dog. ,,No,Yes,Yes,No,Yes,No,No,Yes,Yes,No,Yes,No,,Heavy dog vocalisation from the crated dog,,2,3,3,2,1,2.0,1.0,2.0,2.0,2.0,6.0,,,,2.0,Looks away every now and then but mostly has focused attention. Good behaviour though and no jumping up or broken sit once she is asked to sit. ,,Righ,3.0,1.0,1.0,,2.0,,,6.0,1.0,,"While Ebbi wasnt called and she followed willingly, handler walked up to Ebbi to gain attention and then Ebbi began following",,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,No,,Crated dog vocalisation. Did sit on her own at the end there. Although mostly sniffing / standing - did seem calm. ,,1.0,1.0,4.0,,4.0,,,5.0,1.0,1.0,1.0,1.0,No,,Was sniffing the corner a bit but more time orientated and perhaps displacement than exploration. ,2.0,,,,3.0,,,,,,,,,,,,,,2.5,4.0,1.0,1.0,2.0,4.0,1.0,3.0,2.0,4.0,2.0,1.8333333333333333,1.8333333333333333,2.5,36,1.5,4.0,-1.0,2.0,12.0,3.5,6.0,1.0,1.0,0.0,1.5,3.0,1.5,3.0,1.0,1.0,2.5,4.0,2.5,4.0,2.5,4.0,2.3333333333333335,5.0,0.0,3.3333333333333335,32.0
Esme,05-13-LE,1,2019-06-13,B,LRx,F,E1,IGDB,2018-03-12,2019-05-15,2019-12-13,212 days,GD,Success,Success,14:20:06,0:14:56,,4.0,2.0,2.0,,,1.0,dog was vey near handler,,3.0,3.0,2.0,3.0,,,3.0,no platform used,,4.0,,,4.0,3.0,,,,4.0,3.0,No,No,,,,No,No,No,No,No,No,No,No,No,No,No,No,,not bothered by towel,,5,4,4,5,4,3.0,3.0,4.0,4.0,4.0,5.0,,,,4.0,"sits calmly, looks away briefly twice",,Righ,2.0,1.0,1.0,,1.0,,,5.0,3.0,,,,2.0,1.0,2.0,5.0,1.0,1.0,1.0,3.0,4.0,3.0,3.0,No,,,,1.0,1.0,3.0,,4.0,,,4.0,2.0,1.0,2.0,3.0,No,,,5.0,,,,5.0,,,,,,,,,,,,,,3.0,8.0,2.5,6.0,4.0,16.0,1.5,10.0,3.6666666666666665,48.0,3.5,0.16666666666666666,0.16666666666666666,4.5,400,3.5,144.0,-1.0,2.0,8.0,4.0,15.0,2.0,3.0,-2.0,3.0,72.0,1.25,2.0,4.0,60.0,2.0,3.0,2.0,3.0,2.5,4.0,3.0,24.0,1.0,4.0,60.0
Herbie,07-02-LH,1,2019-07-29,A,LRxGR,M,H1,IGDB,2018-05-11,2019-07-02,2020-03-10,252 days,GD,Success,Fail,15:42:14,0:14:55,,5.0,1.0,5.0,Whining just about constantly - even with handler right next to him. ,,,Dog right next to handler. Handler just pops on lead - doesnt call,,3.0,4.0,3.0,2.0,"Speed and tension varies alot. From falling behind to pulling ahead ,walking infront pulling to the side (distraction based). I have selected the second option as this was the more regular S&T but this was not indicative of it being regular by any means. ",,3.0,Posture slightly low in fore-quarters. Rotated position toward the end,,2.0,I dont think Herbie heard the first request. Broke and rotated during latter part of the exercise. Vocalisation heard but I tihnk it is the crated dog.,,1.0,1.0,,"A little overly activated by the test. Kept breaking commands, and rotating, with handler at times having to re-approach completely. When he did maintain the down for a while, he was sniffing and not settled. ",,4.0,1.0,No,No,,Handler remarks on body sensitivity. Vocalises (whining). Handler remarks on half a growl. When handler checked front paws Herbie back away and tried to jump off the table backward then sat down when he was stopped from jumping off. Handler and assessor agree not to continue the body check. ,,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,,,,1,3,2,6,5,2.0,1.0,6.0,3.0,4.0,6.0,,No car remote so car is stationary throughout the test. I tested on the stationary car. ,,5.0,Quite consistently lifting hind-quarters and jumps up against handler at the end,,Both,3.0,1.0,1.0,,2.0,,,4.0,1.0,,,,1.0,1.0,4.0,3.0,1.0,1.0,1.0,3.0,2.0,3.0,3.0,No,,,,1.0,2.0,3.0,,4.0,,,3.0,4.0,1.0,2.0,1.0,No,,,4.0,,,,3.0,,More distracted by the assessor I would say,,,,,,,,,,,,5.0,25.0,3.5,12.0,3.5,12.0,0.0,0.0,2.0,6.0,2.5,1.0,0.0,3.0,36,3.5,60.0,0.5,2.75,30.0,2.5,4.0,1.0,1.0,,2.75,36.0,1.75,4.0,2.6666666666666665,18.0,2.0,3.0,2.5,6.0,3.0,8.0,2.0,6.0,3.0,3.6666666666666665,48.0
Herbie,07-02-LH,2,2019-09-17,A,LRxGR,M,H1,IGDB,2018-05-11,2019-07-02,2020-03-10,252 days,GD,Success,Fail,13:48:29,0:17:00,,4.0,2.0,1.0,Barking and whining - but I dont know if that is from the crated dog or from Herbie. Camera has a slight blind spot next to the gate and part of the examination table .,,1.0,,,2.0,2.0,2.0,2.0,,,4.0,,,2.0,Needed a lure. Once seated did maintain well until the end when he broke and then handler struggled to get the sit again. ,,1.0,1.0,,,,4.0,1.0,No,No,,Immediate back up as soon as handler began checking ears and mouth. When handler checked paws he reversed off the table. They attempted again and he tried to jump off again. Assessor moves on. ,,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,,,,2,3,3,4,1,2.0,3.0,5.0,3.0,3.0,6.0,,,,5.0,Lifts hindquarters twice and jumps up at handler once,,Both,3.0,3.0,1.0,,2.0,,,5.0,1.0,,Walked very calmly toward dog. Not a high interest at all.,,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,No,,Sits almost immediately. Interest in the sounds coming from the dog in the crate (chewing sounds). Panting and swapping attention from handler to crated dog. ,,1.0,1.0,3.0,,3.0,,,5.0,1.0,2.0,1.0,1.0,No,,,4.0,,,,3.0,,,,,,,,,,,,,,2.5,4.0,2.0,4.0,3.0,9.0,1.0,5.0,2.3333333333333335,8.0,2.5,1.0,0.0,3.0,72,2.75,30.0,-0.25,2.75,30.0,3.0,5.0,1.0,1.0,0.0,1.25,2.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,3.0,2.0,3.0,2.3333333333333335,5.0,-1.0,3.3333333333333335,36.0
Evie,07-03-LE,1,2019-07-29,A,LRx,F,E1,IGDB,2018-03-12,2019-07-02,2020-02-02,215 days,GD,Success,Success,14:18:49,0:14:49,,3.0,5.0,1.0,,,2.0,,,1.0,1.0,1.0,2.0,,,3.0,,,1.0,,,3.0,1.0,,Handler stays on haunches next to dog. Loads of scenting which led to a break at the end. Assessor decided to move on to body check,,4.0,3.0,No,No,,Tail lower - change in neutrality. But stood still for the exam. ,,No,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,,"Both responses were the same. An initial turn of the head, tail low and slow, and then no further attempts to look at or pull the towel off. ",,3,3,2,4,1,2.0,1.0,2.0,2.0,2.0,5.0,,Car not working on first response. Scored on stationary car. Car only reverse on second response. Faulty?,,4.0,"Lifts hindquarters a handful of times, but modulates nicely and does not jump up. ",,Righ,3.0,3.0,1.0,,2.0,Only used right paw toward the very end. Otherwise mostly just pushed the kong around on the floor with nose and then carried to the mat. ,,6.0,2.0,,Moves toward dog immediately (as soon as she notices it) but not overly interested.,,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,No,,,,1.0,1.0,3.0,,4.0,,,5.0,1.0,1.0,2.0,2.0,No,,,4.0,,,,3.0,,,,,,,,,,,,,,2.0,3.0,1.0,1.0,2.0,4.0,1.0,3.0,2.3333333333333335,9.0,3.5,1.0,1.0,3.0,72,1.5,4.0,-1.5,2.5,24.0,4.0,12.0,2.0,4.0,0.0,2.0,8.0,1.75,4.0,1.0,1.0,2.0,3.0,2.0,3.0,2.5,4.0,3.0,20.0,0.0,3.6666666666666665,48.0
Eliza,05-22-LE,1,2019-06-18,B,LRx,F,E1,IGDB,2018-03-12,2019-05-28,2019-11-12,168 days,W,Fail,Fail,13:41:32,0:14:51,,5.0,1.0,1.0,,,,dog went into a down naturally beside the handler ,,1.0,1.0,1.0,3.0,,,2.0,started on the platform and went to doing it on the ground,,3.0,,,4.0,4.0,,settled,,4.0,3.0,No,Yes,,,,No,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,No,,,,2,4,3,1,3,4.0,3.0,5.0,3.0,2.0,5.0,,,,4.0,"dog sits and then goes into a down, keeps looking at handler calmly",,Righ,3.0,1.0,2.0,,2.0,handler moves  with dog for camera but it is too near the table ,,4.0,1.0,,,,1.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,No,,,,1.0,1.0,3.0,,4.0,,,5.0,1.0,1.0,1.0,1.0,No,,,4.0,,,,4.0,,,,,,,,,,,,,,3.0,5.0,1.0,1.0,2.5,6.0,1.5,5.0,3.0,24.0,3.5,1.6666666666666667,1.0,2.5,24,3.75,180.0,1.25,2.75,48.0,2.5,4.0,1.0,1.0,,1.0,1.0,1.5,3.0,1.0,1.0,2.0,3.0,2.0,3.0,2.5,4.0,2.3333333333333335,5.0,0.0,3.6666666666666665,48.0
Eliza,05-22-LE,2,2019-08-12,B,LRx,F,E1,IGDB,2018-03-12,2019-05-28,2019-11-12,168 days,W,Fail,Fail,13:50:00,0:16:18,,2.0,4.0,2.0,handle moves around toward slightly,,1.0,,,1.0,1.0,1.0,2.0,,,4.0,,,2.0,,,4.0,3.0,,,,4.0,3.0,No,No,,Looks like dog doesn't licks or mouths as handle was in between camera and dog ,,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,No,,,,1,4,4,3,4,3.0,3.0,3.0,2.0,2.0,5.0,,,,2.0,"used ragger, no kong, dog sits and goes into a down eventually",,,,1.0,,,,ragger used instead of kong,,4.0,1.0,,,,1.0,3.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,No,,,,1.0,1.0,2.0,,3.0,handler mentions only has dog three days,,3.0,3.0,1.0,1.0,1.0,No,,,4.0,,,,4.0,,bucket was placed on the ground,,,,,,,,,,,,2.0,4.0,1.0,1.0,2.0,4.0,1.0,3.0,3.3333333333333335,32.0,3.5,2.5,1.6666666666666667,3.0,48,3.25,108.0,0.25,2.0,2.0,2.5,4.0,1.0,1.0,0.0,1.25,2.0,2.0,8.0,1.0,1.0,1.5,2.0,1.5,2.0,2.0,3.0,1.6666666666666667,3.0,2.0,3.0,24.0
Edrick,05-11-LE,1,2019-06-13,B,LRx,M,E1,IGDB,2018-03-12,2019-05-15,2020-07-09,421 days,GD,Success,Success,13:38:51,0:13:24,,2.0,4.0,2.0,,,1.0,,,1.0,2.0,2.0,2.0,,,2.0,,,4.0,went from a stand into a sit without being asked,,4.0,3.0,,,,4.0,3.0,No,No,,,,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,,,,4,5,4,6,3,5.0,3.0,5.0,4.0,5.0,7.0,,,,4.0,"sat, then went into a down",,Righ,3.0,1.0,2.0,,2.0,he definitely used his right but dog was lying with his back towards camera,,5.0,3.0,,,,1.0,3.0,3.0,3.0,1.0,1.0,2.0,3.0,1.0,2.0,2.0,No,,,,,,,,,handler didn't interact with dog,,5.0,1.0,1.0,3.0,1.0,No,,,5.0,"handler commented that they had forgotten to do the petting after the crate, they stayed longer interacting but I didn't score as it didn't happen after the crate.",,,4.0,,,,,,,,,,,,,,2.0,4.0,2.0,4.0,4.5,20.0,2.5,16.0,3.3333333333333335,32.0,3.5,2.5,3.5,4.75,480,4.0,225.0,-0.75,2.75,48.0,4.0,15.0,2.0,3.0,-2.0,1.75,8.0,1.75,6.0,2.3333333333333335,9.0,,1.0,,1.0,,1.0,3.0,15.0,0.0,5.0,5.0
Edrick,05-11-LE,2,2019-07-31,B,LRx,M,E1,IGDB,2018-03-12,2019-05-15,2020-07-09,421 days,GD,Success,Success,13:36:06,0:13:43,,2.0,4.0,2.0,,,1.0,,,2.0,2.0,2.0,2.0,,,2.0,started on platform and then did on the ground,,4.0,,,4.0,4.0,,,,4.0,3.0,No,No,,,,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,,,,3,4,3,5,3,4.0,3.0,5.0,3.0,5.0,5.0,,,,2.0,sits and then lies down ,,Righ,3.0,1.0,2.0,,2.0,dog was on lead but didn't get up to try and move away.,,4.0,,,no call back done as handler walked towards the crate.,,1.0,2.0,3.0,3.0,3.0,1.0,1.0,3.0,2.0,3.0,2.0,No,,,,1.0,1.0,3.0,,3.0,,,5.0,1.0,1.0,2.0,4.0,No,,,5.0,,,,4.0,,,,,,,,,,,,,,2.0,4.0,2.0,4.0,4.0,15.0,2.0,11.0,3.3333333333333335,32.0,3.5,2.5,3.5,3.75,180,3.75,180.0,0.0,2.25,24.0,4.0,4.0,1.0,1.0,,2.25,18.0,2.0,9.0,2.6666666666666665,18.0,2.0,3.0,2.0,3.0,2.0,3.0,3.6666666666666665,40.0,0.0,3.6666666666666665,45.0
Evie,07-03-LE,2,2019-09-17,A,LRx,F,E1,IGDB,2018-03-12,2019-07-02,2020-02-02,215 days,GD,Success,Success,14:25:06,0:15:49,,5.0,2.0,2.0,Vocalisation - inaudible - think it might be the crated dog. Evie remained at handlers side the entire time. she sniffed for a little which can be seen as exploration but still remained by the handlers side. ,,,Was directly behind handler and no need to be called back,,1.0,1.0,1.0,2.0,Every now and then looks like she falls back but I think this is more to give room for handler to turn corners.,,4.0,A little bit of sniffing but maintained. ,,2.0,Think she is overaware of the platform but this platform is very small so I never counted these broken attempts. When off she went into a down rather than a sit as requested. When asked to upsit she struggled. Then asked to sit and broke a few times. (Body sensitivity?) ,,4.0,4.0,,Lay down rather than sitting - assessor and handler used this to test her down rather than her sit. Maintained.,,1.0,3.0,No,No,,,,Yes,No,No,No,No,No,Yes,No,No,No,No,No,,,,2,2,2,2,2,2.0,2.0,2.0,1.0,1.0,4.0,,,,2.0,A very small lift in hindquarters here and there - think this is more due to body sensitivity. Well behaved even though she is definitely interested. ,,Both,3.0,1.0,1.0,,2.0,,,6.0,2.0,,,,1.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,No,,While she was standing for all of it she did seem settled - no signs of stress like panting etc. ,,1.0,1.0,3.0,,2.0,,,5.0,1.0,1.0,1.0,1.0,No,,,4.0,,,,4.0,,A very minor suss - nothing more. Extremely quick recovery ,,,,,,,,,,,,3.5,10.0,1.0,1.0,1.0,1.0,0.0,0.0,3.3333333333333335,32.0,2.0,0.0,0.0,2.0,16,2.0,16.0,0.0,2.0,12.0,4.0,12.0,2.0,2.0,,1.0,1.0,1.75,4.0,1.0,1.0,2.0,3.0,2.0,3.0,1.5,2.0,2.3333333333333335,5.0,0.0,3.0,24.0
Zac,07-04-LZ,1,2019-07-29,A,LR,M,Z1,Private breeder,2018-04-06,2019-07-02,2019-10-25,115 days,W,Fail,Fail,15:02:37,0:18:01,,1.0,5.0,1.0,Vocalisation - think it might be from crated dog. ,,3.0,Started to come back but then got distracted and didnt want to come back,,2.0,1.0,1.0,3.0,,,4.0,Seemed to be obsessively looking for treats in handlers hands. Tail wagging and very activated but maintained. ,,3.0,Sit first exhibited. Quite restless and needed alot of handler support but maintained for the most part. ,,1.0,1.0,,Sniffing and distracted. Got off the platform and handler struggled to regain attention. Need constant support and intervention with many breaks inbetween ,,4.0,4.0,No,No,,was panting but seemed happy otherwise overall.,,No,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,,Very avoidant regarding having towel draped over him on both occasions,,6,3,4,3,3,2.0,2.0,5.0,3.0,4.0,6.0,,Car wasnt working - based scores on stationary car. ,,5.0,Very boisterous and misbehaved jumping up at handler regularly. ,,Righ,4.0,1.0,5.0,,3.0,,,3.0,2.0,,more interested in environment and still looking for food in handlers hands ,,1.0,1.0,4.0,1.0,1.0,1.0,1.0,,1.0,2.0,2.0,No,,Vocalisation I think from crated dog rather than Zac but not certain,,1.0,2.0,1.0,,4.0,Avoids but out of playfulness and because he is so into the environment - not fear avoidance. When handler holds collar his tail is wagging and he is happy enough,,4.0,3.0,1.0,2.0,1.0,No,,,4.0,,,,4.0,,Very slight suss with an extremely quick recovery. Did want to investigate ,,,,,,,,,,,,1.0,1.0,1.0,1.0,3.5,12.0,2.5,11.0,2.6666666666666665,12.0,4.0,1.0,1.0,4.0,216,3.0,60.0,-1.0,4.25,300.0,2.5,6.0,2.5,6.0,1.0,2.25,16.0,1.75,4.0,1.0,1.0,1.0,1.0,1.5,2.0,3.0,8.0,2.3333333333333335,8.0,2.0,3.0,16.0
Zac,07-04-LZ,2,2019-09-18,A,LR,M,Z1,Private breeder,2018-04-06,2019-07-02,2019-10-25,115 days,W,Fail,Fail,13:30:14,0:14:26,,2.0,5.0,1.0,Startle when seeing the bucket. High interest in something by the gate,,1.0,Did turn back to go back to handler even though handler met him kind of half way,,3.0,2.0,1.0,2.0,,,2.0,Highly scent distracted and for this reason the platform wasnt used. Very activated and shaking body (displacement / body sensitivity) also still quite distracted by environment and scent and needing alot of handler support,,3.0,Was asked to sit but lay down - down response tested first. Good handler intervention as I think he would have broken sit a lot more without it. ,,3.0,1.0,,Was asked to sit but lay down so down response tested before sit.  Very unsettled and sniffing alot as well as breaking twice.  ,,4.0,3.0,No,Yes,,,,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No,,On second attempt tried to avoid towel being put on his back,,5,3,6,3,5,3.0,6.0,5.0,4.0,5.0,6.0,,,,5.0,Highly activated and jumping up constantly at handler. ,,Both,4.0,1.0,1.0,,2.0,As the kong was no longer frozen he learnt that if he lifted and tilted it treats would fall out and so he only interacted to do this and when the treats were no longer falling out with ease. ,,7.0,2.0,,,,1.0,1.0,4.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,3.0,No,,,,1.0,1.0,4.0,,4.0,,,4.0,2.0,4.0,1.0,1.0,No,,,4.0,,,,4.0,,Did run to investigate but not stressed I wouldnt say more inquisitive (even after initial startle at the bucket from the beginning),,,,,,,,,,,,1.5,2.0,1.5,2.0,4.5,20.0,3.0,18.0,2.6666666666666665,18.0,3.5,2.5,1.8333333333333333,4.25,270,4.75,450.0,0.5,3.0,40.0,4.5,14.0,1.5,2.0,-1.0,2.75,36.0,2.25,12.0,1.0,1.0,2.5,4.0,2.5,4.0,2.5,4.0,2.0,4.0,-2.0,4.0,64.0
Goober,07-01-LG,1,2019-07-29,B,LRxGR,M,G1,IGDB,2018-04-15,2019-07-02,2020-02-03,216 days,GD,Success,Success,13:39:35,0:16:58,,1.0,5.0,1.0,,,2.0,,,1.0,2.0,2.0,3.0,,,3.0,,,4.0,,,1.0,1.0,,handler used treats ,,4.0,3.0,No,No,,,,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,,,,5,5,4,5,5,4.0,4.0,5.0,4.0,5.0,5.0,,,,5.0,"broke sit, whined, nudged handler, ",,Left,3.0,1.0,2.0,,2.0,handler stepped away from dog but dog didn't move from the spot. dog gave one bark while he had the kong,,5.0,2.0,,,,1.0,2.0,2.0,4.0,1.0,1.0,1.0,4.0,1.0,3.0,3.0,No,,,,2.0,1.0,3.0,,3.0,,,3.0,3.0,2.0,3.0,1.0,No,,,4.0,,,,4.0,,,,,,,,,,,,,,1.0,1.0,2.0,4.0,4.5,20.0,2.5,16.0,2.6666666666666665,12.0,3.5,2.5,3.5,4.75,500,4.5,400.0,-0.25,3.0,60.0,3.5,10.0,2.0,4.0,0.0,2.5,27.0,1.25,2.0,3.0,16.0,2.5,6.0,2.0,3.0,2.0,3.0,2.3333333333333335,9.0,1.0,3.3333333333333335,36.0
