Name,Code,Data Collection Number,Data Collection Date,Assessor,Breed,Sex,Litter,Source,PR Sup,DOB,DOA,End Date,Status,Familiarisation-Start Time (MM:SS),Familiarisation-Response [Oriented to Handler],Familiarisation-Response [Exploration],Familiarisation-Response [Waiting],Call Back-Start Time (MM:SS) ,Call Back-Response,Walking-Start Time (MM:SS),Walking-Distractibility,Walking-Pull on leash,Walking-Pull strength,Walking-Initiative,Standing-Start Time (MM:SS) ,Standing-Attempts ,Standing-Response,Sitting-Start Time (MM:SS) ,Sitting-Attempts,Sitting-Response,Lying-Start Time (MM:SS) ,Lying-Attempts,Lying-Response,Lying-Settled,Lying-Finish Time (MM:SS),Body check-Start Time (MM:SS),Body check-Response,Body check-General [Mouths],Body check-General [Licks],Body check-Finish Time (MM:SS) ,Tea Towel-Start Time (MM:SS),Tea Towel-First Response [Indifferent],Tea Towel-First Response [Turns head],Tea Towel-First Response [Attempts to/Removes towel by moving],Tea Towel-First Response [Attempts to/Removes towel with mouth],Tea Towel-First Response [Plays],Tea towel-Second Response [Indifferent],Tea towel-Second Response [Turns head],Tea towel-Second Response [Attempts to/Removes towel by moving],Tea towel-Second Response [Attempts to/Removes towel with mouth],Tea towel-Second Response [Plays],Tea Towel-Finish Time (MM:SS),Distractions-Start Time (MM:SS),Distractions-First Response [Object],Distractions-First Response [Human],Distractions-First Response [Car],Distractions-First Response [Food],Distractions-Second Response [Object],Distractions-Second Response [Human],Distractions-Second Response [Car],Distractions-Second Response [Food],Distractions-Pull on leash,Distractions-Pull strength,Distractions-Finish Time (MM:SS) ,Kong-Presentation-Start Time (MM:SS) ,Kong-Concentration-Response ,Kong-Interaction-Start Time (MM:SS),Kong-Interaction-Lateralisation,Kong-Retrieve-Response to stimulus,Kong-Retrieve-Response to assessor,Kong-Retrieve-Back,Kong-Interaction-Finish Time (MM:SS),Dog-Start Time (MM:SS),Dog-Response,Dog-Call Back Response,Dog-Finish Time (MM:SS) ,Crate-Start Time (MM:SS) ,Crate-Entering,Crate-Behaviours [Relaxing],Crate-Behaviours [Sniffing/Exploring],Crate-Behaviours [Attention Seeking],Crate-Behaviours [Digging],Crate-Behaviours [Licking/Mouthing],Crate-Behaviours [Whining],Crate-Behaviours [Barking],Crate-Response,Crate-Urinating,Crate-Finish Time (MM:SS),Petting-Start Time (MM:SS),Petting-Stimulus,Petting-Holding dog,Petting-Finish Time (MM:SS),Isolation-Start Time (MM:SS),Isolation-Response [Time oriented],Isolation-Response [Exploration],Isolation-Response [Unsettled/Locomotion],Isolation-Response [Whining],Isolation-Response [Barking],Isolation-Urinating,Isolation-Finish Time (MM:SS) ,Noise-Time (MM:SS),Jumps,Shakes,Stretches,Whines,Short Barks,Continuous Barks,Growls,Scratches,Grooms,Yawns,Short Barks Count,Continuous Barks Duration,Continuous Barks Count,Whines Duration,Whines Count,Shakes Count,Jumps Count
Edrick,05-11-LE,1,13/06/2019,B,LRx,M,E,IGDB,Rose,12/03/2018,15/05/2019,09/07/2020,GD,00:05,3,3,3,00:58,1,01:07,1,1,1,2,02:36,1,4,03:09,1,4,03:41,1,4,4,04:42,04:48,3,No,No,05:23,05:34,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,06:00,06:36,3,3,3,5,2,1,1,3,2,2,07:22,07:47,3,08:27,,3,1,2,08:50,09:11,4,2,09:39,09:49,1,4,1,1,1,1,2,1,1,No,11:00,11:23,2,2.0,12:41,11:20,4,1,1,3,1,No,11:14,13:06,05:50; 07:08; 11:19,,,10:03; 10:07; 11:37; 11:56,,,,,,,,,,4.0,4.0,,3.0
Esme,05-13-LE,1,13/06/2019,B,LRx,F,E,IGDB,Graham,12/03/2018,15/05/2019,13/12/2019,GD,00:16,4,2,3,01:37,1,01:41,2,1,1,2,03:02,1,4,03:50,1,4,04:40,1,4,4,05:27,05:38,3,No,No,06:12,06:25,Yes,No,No,No,No,Yes,No,No,No,No,06:54,07:30,3,3,4,5,2,3,2,4,2,2,08:16,08:39,3,09:29,Right,2,1,1,09:47,10:13,4,2,10:36,11:22,3,1,2,4,2,1,4,4,4,No,12:26,12:31,2,1.0,12:45,12:52,3,3,3,3,3,No,13:55,14:27,,00:18,,11:37-11:52; 12:00; 12;11; 12:15; 13:05; 13:13; 13:29,12:01; 13:06; 13:11; 13:15,11:38-11:52; 12:14-12:18,,,,,4.0,18.0,2.0,22.0,8.0,1.0,
Esme,05-13-LE,1,13/06/2019,A,LRx,F,E,IGDB,Graham,12/03/2018,15/05/2019,13/12/2019,GD,00:15,2,3,2,01:36,1,01:41,2,1,1,2,03:02,2,3,03:49,1,4,04:40,1,4,3,05:26,05:39,3,No,No,06:11,06:26,Yes,No,No,No,No,Yes,No,No,No,No,06:52,07:30,4,4,4,5,2,2,2,4,2,3,08:17,08:41,3,09:29,Right,2,1,1,09:47,10:15,4,2,10:47,11:27,3,1,2,3,1,1,1,3,4,No,12:27,12:30,2,1.0,12:45,12:54,3,3,1,1,2,No,13:50,14:27,,00:18; 10:01,,,11:58; 13:05; 13:11; 13:14,11:37-11:54; 12:14- 12:19,,,,,4.0,22.0,2.0,,,2.0,
Fawn,05-03-LF,1,29/05/2019,A,LR,F,F,IGDB,Catherine,16/03/2018,01/05/2019,25/11/2019,GD,00:09,2,4,1,01:10,1,01:18,2,2,1,2,02:43,1,4,03:16,1,4,03:47,1,4,3,04:49,05:00,2,Yes,Yes,05:38,06:50,No,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,07:54,08:39,5,3,3,6,2,3,4,5,3,4,09:35,09:51,3,10:30,None,3,2,3,11:06,11:58,6,1,12:35,12:55,1,2,3,1,1,1,1,1,1,No,13:56,13:58,3,1.0,14:14,14:39,3,2,1,1,1,No,15:30,16:13,6:44; 7:19; 7:21; 7:35; 7:56; 8:03; 8:12; 9:19; 9:47; 15:33; 15:41,00:25; 00:57; 6:33,,,,,,,,04:06; 04:24,,,,,,3.0,11.0
Elf,04-07-LE,1,22/05/2019,A,LRx,M,E,IGDB,Frances,12/03/2018,24/04/2019,25/11/2019,GD,00:24,3,3,1,01:10,,01:14,2,1,1,2,02:17,1,4,03:12,1,3,04:02,3,1,2,05:26,05:39,3,No,No,06:12,06:45,No,Yes,No,No,No,Yes,No,No,No,No,07:13,07:54,3,2,3,5,2,1,2,5,2,3,08:31,08:51,3,00:39,None,3,2,2,09:58,10:26,1,0,10:58,11:20,1,2,2,1,3,1,1,1,1,No,12:17,12:20,2,1.0,12:50,13:08,4,1,1,1,1,No,14:17,15:15,,00:34,,,,,,,,01:19; 03:20; 09:07,,,,,,1.0,
Emmy,04-08-LE,1,18/06/2019,B,LRx,F,E,IGDB,Graham,12/03/2018,24/04/2019,19/08/2019,W,00:12,3,3,2,01:12,1,01:18,2,2,2,3,03:02,3,2,05:23,1,4,04:11,1,4,4,06:23,06:30,3,,,07:02,07:18,No,Yes,No,Yes,No,No,Yes,Yes,No,Yes,07:59,08:31,3,2,2,4,2,1,2,2,2,2,09:16,09:38,2,10:29,Left,3,1,2,10:54,11:15,4,1,11:37,11:58,1,2,3,3,1,1,3,2,2,No,13:25,13:29,1,1.0,13:43,13:51,4,2,2,4,1,No,15:29,16:09,,00:36,,12:27; 12:37-12:43; 13:07; 14:00; 14:06; 14:22; 14:45; 15:01; 15:19,12:34,,,,,,1.0,,,14.0,9.0,1.0,
Flora,05-02-LF,1,23/05/2019,B,LR,F,F,IGDB,Graham,16/03/2018,01/05/2019,20/12/2019,GD,00:23,1,4,1,01:20,1,01:28,3,1,1,2,04:17,2,3,02:30,2,2,03:47,2,3,2,05:00,05:14,2,,,05:51,06:20,Yes,No,No,No,No,Yes,No,No,No,No,07:12,07:52,2,2,3,6,1,2,2,6,3,4,08:22,08:39,3,09:18,None,3,1,2,09:35,10:02,4,2,10:23,10:44,1,1,3,3,1,1,3,2,3,No,11:51,11:55,1,1.0,12:27,12:45,3,3,1,2,1,No,14:22,14:55,,01:05; 06:40,,09:11; 11:06-11:30; 11:40; 14:09,11:31,,,,,,1.0,,,27.0,4.0,2.0,
Ebbi,05-14-LE,1,13/06/2019,B,LRx,F,E,IGDB,Graham,12/03/2018,15/05/2019,25/10/2019,AD,00:08,2,4,1,01:09,1,01:14,2,2,2,2,03:19,1,4,04:22,2,4,05:29,2,2,3,07:50,08:01,3,No,No,08:41,08:56,Yes,Yes,No,No,No,No,Yes,Yes,No,No,09:23,09:55,1,2,2,1,1,3,2,1,1,1,10:30,10:54,2,11:33,Left,3,1,1,11:56,12:18,4,1,12:44,12:55,1,4,3,1,1,1,1,1,1,No,14:14,14:19,2,1.0,14:34,14:47,4,1,2,1,1,No,15:48,16:23,,00:55; 01:18; 01:34;,,,,,,,,,,,,,,4.0,
Eliza,05-22-LE,1,18/06/2019,B,LRx,F,E,IGDB,Catherine,12/03/2018,28/05/2019,12/11/2019,W,00:11,4,1,4,01:13,,01:19,1,1,1,2,02:30,2,3,03:36,2,3,04:19,1,4,4,05:23,05:33,3,No,No,06:04,06:18,Yes,Yes,Yes,No,No,Yes,No,No,No,No,06:51,07:20,1,2,2,1,2,3,1,2,2,2,08:01,08:20,2,09:11,Right,3,1,2,09:34,09:56,3,0,10:32,10:40,1,3,3,1,1,1,1,1,1,No,12:11,12:13,1,1.0,12:32,12:40,4,1,1,1,1,No,13:45,14:23,,06:15,,,,,,,,,,,,,,1.0,
Herbie,07-02-LH,1,29/07/2019,B,LRxGR,M,H,IGDB,Graham,11/05/2018,02/07/2019,10/03/2020,GD,00:25,4,1,4,01:19,,01:23,2,1,2,2,02:28,1,4,03:13,2,3,04:05,3,2,3,05:15,05:25,2,No,No,05:57,06:17,Yes,Yes,No,No,No,Yes,No,No,No,No,07:05,07:47,1,3,2,4,4,2,1,6,3,3,08:16,08:44,3,09:08,Both,3,1,2,09:51,10:10,3,0,10:35,10:58,1,3,4,1,1,1,2,1,2,No,12:02,12:14,1,2.0,12:44,12:53,3,3,1,1,1,No,13:58,14:28,,01:40,,00:42; 00:55; 01:01-01:11; 05:46; 11:37,,,05:50,,,,,,,14.0,5.0,1.0,
Evie,07-03-LE,1,29/07/2020,B,LRx,F,E,IGDB,Rose,12/03/2018,02/07/2019,02/02/2020,GD,00:15,1,4,2,01:12,2,01:20,1,1,1,2,02:26,2,3,03:27,4,1,04:38,1,4,3,05:24,05:34,3,No,No,06:07,06:23,Yes,No,No,No,No,Yes,No,No,No,No,06:49,07:20,3,3,2,4,1,1,1,1,2,2,07:55,08:14,3,08:59,Right,3,2,2,09:53,10:07,4,1,10:48,10:57,1,2,3,1,2,1,1,1,1,No,12:05,12:11,1,1.0,12:29,12:36,4,1,1,1,1,No,13:55,14:28,,00:36,,13:40,13:49,,,,,,1.0,,,1.0,1.0,1.0,
Fawn,05-03-LF,2,17/07/2019,A,LR,F,F,IGDB,Catherine,16/03/2018,01/05/2019,25/11/2019,GD,00:14,1,4,1,00:47,1,00:56,2,3,1,2,02:15,2,3,03:18,1,4,03:50,1,4,3,04:40,04:51,4,No,No,05:13,05:29,No,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,06:23,07:16,6,3,4,4,3,2,2,3,4,3,08:04,08:40,3,09:10,None,3,2,2,09:21,09:44,7,0,10:30,11:17,1,2,3,1,2,2,1,1,2,No,12:12,12:22,3,2.0,12:43,13:01,4,1,2,1,1,No,14:08,14:54,1:37; 10:02,1:24; 14:02,,,,,,06:48; 10:40; 13:48; 13:56,,03:41,,,,,,2.0,2.0
Zeb,05-04-LZ,2,17/07/2019,A,LR,M,Z,Private breeder,Catherine,06/04/2018,01/05/2019,06/08/2019,W,00:12,,4,1,01:40,1,01:46,1,1,1,3,13:01,1,4,04:11,1,4,05:20,1,4,3,06:11,06:39,4,No,No,07:12,07:27,Yes,Yes,No,No,No,Yes,No,No,No,No,08:08,08:44,3,2,3,5,1,2,2,4,2,4,09:12,09:42,4,10:09,,3,2,3,10:32,10:55,2,0,11:24,11:35,1,2,2,1,1,2,1,1,1,No,12:38,12:44,2,3.0,13:10,13:26,3,2,1,1,1,No,14:51,15:32,9:34; 9:37; 9:41; 9:35,11:01,,,,,,,,,,,,,,1.0,4.0
Dugg,05-01-LD,2,17/07/2019,A,LRxGR,M,D,IGDB,Graham,11/02/2018,01/05/2019,25/10/2019,AD,00:05,2,3,2,00:57,1,01:01,1,1,1,3,02:05,1,4,02:52,2,3,03:48,1,4,4,04:38,05:00,4,No,No,05:22,05:32,No,Yes,No,Yes,No,No,Yes,No,Yes,No,05:51,06:38,3,2,2,3,1,3,2,3,2,2,07:01,07:21,3,07:49,Left,3,1,2,08:10,08:31,4,0,08:52,09:03,1,1,2,3,2,3,1,1,3,No,10:07,10:09,3,1.0,10:35,10:47,4,1,2,1,2,No,12:01,12:32,,00:15; 08:50; 10:20,10:17,,11:54,,,,,,1.0,,,,,3.0,
Douglas,04-03-LD,2,04/07/2019,A,LRx,M,D,IGDB,Rose,11/02/2018,24/04/2019,06/08/2019,W,00:20,2,4,2,01:20,1,01:23,1,1,1,3,02:47,1,4,03:49,1,4,04:48,6,1,1,07:35,08:10,4,No,No,08:44,09:00,No,Yes,No,Yes,No,No,Yes,No,Yes,No,09:27,09:59,2,2,3,4,1,2,2,4,2,3,10:50,11:10,4,12:00,Both,3,2,3,12:45,13:04,5,1,13:30,13:47,1,4,1,1,1,1,1,1,1,No,14:57,15:03,2,2.0,15:30,15:40,3,1,2,1,1,No,16:39,17:14,11:08; 11:09; 11:17; 11:54; 11:46; 11:47,00:47; 15:18,,,,,,,,,,,,,,2.0,6.0
Zodiac,04-04-LZ,2,16/07/2019,A,LR,M,Z,Private breeder,Rose,06/04/2018,24/04/2019,25/10/2019,GD,00:10,2,3,2,01:05,1,01:10,1,1,1,2,02:20,1,4,03:05,1,4,03:52,1,4,3,04:49,05:09,3,No,No,05:36,05:56,No,Yes,No,Yes,No,No,Yes,No,Yes,No,06:18,07:09,2,2,3,4,1,2,2,3,2,2,07:33,08:02,3,08:19,None,3,1,2,09:44,10:11,6,1,10:56,11:06,1,4,1,1,1,1,1,1,1,No,12:22,12:24,2,2.0,12:37,12:51,4,1,1,1,1,No,14:08,14:40,07:54,06:13; 10:25,08:41,,,,,,,,,,,,,2.0,1.0
Earl,04-02-LE,2,03/07/2019,A,LRx,M,E,IGDB,Catherine,12/03/2018,24/04/2019,29/11/2019,AD,00:17,3,2,3,01:22,2,01:29,1,1,1,2,02:49,1,4,04:09,1,4,05:32,1,4,3,06:26,06:46,3,No,No,07:20,07:43,Yes,No,No,No,No,Yes,No,No,No,No,08:16,08:49,1,2,3,3,3,2,2,2,1,1,09:23,09:43,3,10:43,Left,3,1,2,11:22,11:42,1,0,12:29,12:35,1,2,4,1,2,1,1,1,1,No,13:50,13:52,1,1.0,14:13,14:24,4,1,1,1,1,No,16:00,16:38,,01:31,,,,,,,,,,,,,,1.0,
Fargo,04-05-LF,2,03/07/2019,A,LR,M,F,IGDB,Graham,16/03/2018,24/04/2019,25/11/2019,GD,00:33,2,3,2,01:26,2,01:38,1,1,1,2,02:53,2,3,05:30,2,2,04:38,1,4,3,05:45,05:56,4,No,No,06:20,06:38,Yes,Yes,No,No,No,No,No,Yes,No,No,07:07,07:45,1,2,2,3,1,2,2,3,2,2,08:23,08:53,3,09:47,Right,3,1,2,10:32,11:00,5,0,11:30,11:50,1,3,1,1,1,2,1,1,1,No,13:05,13:10,1,1.0,13:45,13:56,4,1,1,1,1,No,15:37,16:17,,00:32; 07:03,,,,,,,,,,,,,,2.0,
Elf,04-07-LE,2,03/07/2019,A,LRx,M,E,IGDB,Frances,12/03/2018,24/04/2019,25/11/2019,GD,00:12,2,3,2,01:13,,01:16,1,2,2,1,04:29,1,4,02:46,1,4,03:34,2,3,3,05:06,05:15,4,No,No,05:42,06:01,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,06:43,07:17,2,2,2,3,1,2,2,2,2,2,07:58,08:14,3,08:51,Left,3,1,2,09:32,09:55,3,0,10:17,10:30,2,2,2,1,1,1,1,1,1,No,11:27,11:30,2,1.0,11:55,12:11,4,1,2,2,1,No,13:57,14:42,,01:20; 06:12,,13:22,,,,,,04:38,,,,1.0,1.0,2.0,
Eldin,05-05-LE,2,17/07/2019,A,LRx,M,E,IGDB,Rose,12/03/2018,01/05/2019,13/12/2019,GD,00:13,3,3,3,02:05,,02:10,1,1,1,1,03:44,1,4,04:52,2,3,06:07,1,4,3,07:16,07:23,3,No,No,08:07,08:25,No,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,08:41,09:14,2,3,2,4,2,3,2,2,2,2,09:47,10:06,3,10:36,Both,3,1,2,11:05,11:29,1,0,11:50,12:00,1,3,2,1,1,2,1,1,1,No,13:28,13:31,2,1.0,13:51,13:59,3,2,1,1,1,No,15:17,15:52,00:43,,,,,,,,,,,,,,,,1.0
Effie,07-13-LE,2,10/10/2019,A,LRx,F,E,IGDB,Graham,12/03/2018,30/07/2019,03/02/2020,GD,00:18,3,2,3,01:11,,01:16,1,1,1,2,02:35,1,4,03:09,1,4,04:13,7,1,1,06:05,06:38,4,No,No,07:15,07:48,Yes,Yes,No,No,No,Yes,Yes,No,Yes,Yes,08:23,09:20,2,2,2,3,2,2,2,2,2,2,09:54,10:38,3,11:05,Right,3,1,2,12:00,12:33,3,0,13:20,13:53,1,3,2,1,1,1,1,1,1,No,15:01,15:03,3,1.0,15:23,15:41,4,1,1,1,1,No,16:34,17:31,15:19; 16:44,16:49,,,,,,,,03:56,,,,,,1.0,2.0
