Code,DOA,Name,PR Sup,DOB,Sex,Source,DC1,DC2,Status,End Date,Breed,Coat Colour,Litter,Age at Start,Duration,Label
05-14-LE,2019-05-15,Ebbi,Graham,2018-03-12,F,IGDB,2019-06-13,2019-07-31,AD,2019-10-25,LRx,,E1,14.094745271976837,5.355346105669521,Success
05-15-LG,2019-05-15,Gaston,Graham,2018-04-15,M,IGDB,,,GD,2020-02-03,LRxGR,,G1,12.977679213125526,8.673689398139592,Success
05-21-LH,2019-05-30,Hugo,Frances,2018-05-11,M,IGDB,,,W,2019-07-05,LRxGR,,H1,12.616275488203042,1.1827758270190354,Fail
05-22-LE,2019-05-28,Eliza,Catherine,2018-03-12,F,IGDB,2019-06-18,2019-08-12,W,2019-11-12,LRx,,E1,14.521858765067044,5.519620526088832,Fail
07-01-LG,2019-07-02,Goober,Graham,2018-04-15,M,IGDB,2019-07-29,2019-09-17,GD,2020-02-03,LRxGR,,G1,14.554713649150907,7.096654962114211,Success
07-02-LH,2019-07-02,Herbie,Graham,2018-05-11,M,IGDB,2019-07-29,2019-09-17,GD,,LRxGR,,H1,13.700486662970492,,Success
07-03-LE,2019-07-02,Evie,Rose,2018-03-12,F,IGDB,2019-07-29,2019-09-17,GD,2020-02-02,LRx,,E1,15.671779708002218,7.06380007803035,Success
07-04-LZ,2019-07-02,Zac,Rose,2018-04-06,M,Private breeder,2019-07-29,2019-09-18,W,2019-10-25,LR,,Z1,14.850407605905666,3.7783116696441406,Fail
07-11-LZ,2019-07-29,Ziggy,Rose,2018-04-06,M,Private breeder,,,W,2019-08-13,LR,,Z1,15.737489476169943,0.49282326125793136,Fail
07-12-LG,2019-06-16,Gav,Rose,2018-04-15,M,IGDB,2019-08-21,2019-10-14,AD,2020-01-28,LRxGR,,G1,14.029035503809114,7.425203802952833,Success
07-13-LE,2019-07-30,Effie,Graham,2018-03-12,F,IGDB,2019-08-21,2019-10-10,GD,2020-02-03,LRx,,E1,16.591716462350355,6.176718207766073,Success
07-14-LG,2019-07-21,Gretel,Catherine,2018-04-15,F,IGDB,2019-08-21,2019-10-10,AD,2019-11-29,LRxGR,,G1,15.178956446744285,4.303989814985934,Success
07-15-LG,2019-07-29,Gilli,Frances,2018-04-15,F,IGDB,2019-08-21,,W,2019-10-01,LRxGR,,G1,15.441795519415184,2.102712581367174,Fail
08-01-LH,2019-08-21,Harry,Rose,2018-05-11,M,IGDB,2019-09-18,2019-10-30,AD,2019-11-29,LRxGR,,H1,15.343230867163596,3.2854884083862093,Success
08-02-LH,2019-08-21,Harvey,Rose,2018-05-11,M,IGDB,2019-09-18,2019-10-30,AD,2020-01-28,LRxGR,,H1,15.343230867163596,5.2567814534179345,Success
08-03-LH,2019-08-21,Hans,Graham,2018-05-11,M,IGDB,2019-09-23,2019-10-30,AD,2020-02-12,LRxGR,,H1,15.343230867163596,5.749604714675866,Success
08-04-LH,2019-08-21,Harmony,Diana,2018-05-11,F,IGDB,2019-09-18,2019-10-30,AD,2019-11-29,LRxGR,,H1,15.343230867163596,3.2854884083862093,Success
08-11-LJ,2019-08-28,Jira,Frances,2018-07-03,F,IGDB,2019-09-23,2019-11-06,GD,2020-02-03,LR,,J1,13.83190619930594,5.223926569334073,Success
08-12-LH,2019-08-28,Hayley,Frances,2018-05-11,F,IGDB,2019-09-23,2019-11-06,W,2019-12-04,LRxGR,,H1,15.573215055750632,3.219778640218485,Fail
08-13-LJ,2019-08-28,Jojo,Frances,2018-07-03,F,IGDB,2019-09-23,2019-11-14,AD,2019-11-29,LR,,J1,13.83190619930594,3.0555042197991744,Success
09-01-LI,2019-09-04,Irrie,Frances,2018-06-28,F,IGDB,2019-10-02,2019-11-20,GD,2020-07-27,LRxGR,,I1,14.226164808312285,10.743547095422905,Success
09-02-LJ,2019-09-04,Judson,Frances,2018-07-03,M,IGDB,2019-10-02,2019-11-20,GD,2020-06-08,LR,,J1,14.061890387892975,9.133657775313662,Success
09-03-LJ,2019-09-04,Josie,Diana,2018-07-03,F,IGDB,2019-10-02,2019-11-20,GD,2020-08-17,LR,,J1,14.061890387892975,11.433499661184008,Success
09-04-LJ,2019-09-04,Jazzi,"Rose, Diana",2018-07-03,F,IGDB,2019-09-02,2019-11-20,GD,2020-07-27,LR,,J1,14.061890387892975,10.743547095422905,Success
10-01-LF,2019-10-02,Fergus,Graham,2018-03-16,M,IGDB,2019-10-24,,AD,2020-01-28,LR,,F1,18.56300950738208,3.8768763218957267,Success
10-02-LH,2019-10-02,Hollie,Graham,2018-05-11,F,IGDB,2019-10-24,,W,2019-11-26,LRxGR,,H1,16.723135998685805,1.8070186246124151,Fail
10-03-LJ,2019-10-17,July,Graham,2018-07-03,F,IGDB,2019-10-30,2020-01-08,AD,2020-06-08,LR,,J1,15.474650403499044,7.720897759707592,Success
10-04-LJ,2019-10-02,Jane,Graham,2018-07-03,F,IGDB,2019-10-24,2020-01-08,AD,2020-02-14,LR,,J1,14.981827142241114,4.435409351321383,Success
10-11-LJ,2019-10-07,Junior,Rose,2018-07-03,M,IGDB,2019-11-06,2020-01-09,GD,2020-07-27,LR,,J1,15.146101562660425,9.659335920655455,Success
10-12-LJ,2019-10-07,Joy,Rose,2018-07-03,F,IGDB,2019-11-01,2019-12-18,GD,2020-06-08,LR,,J1,15.146101562660425,8.049446600546213,Success
10-13-LK,2019-10-07,Kelvin,Rose,2018-08-02,M,IGDB,2019-11-01,2020-01-09,GD,2020-06-22,LRxGR,,K1,14.160455040144562,8.509414977720281,Success
10-15-LK,2019-10-09,Kirby,Mags,2018-08-02,M,IGDB,2019-11-01,2020-01-08,AD,2020-07-20,LRxGR,,K1,14.226164808312285,9.363641963900696,Success
10-14-LI,2019-10-17,Idris,Mags,2018-06-28,M,IGDB,2019-11-06,2020-01-09,W,2020-02-12,LRxGR,,I1,15.638924823918355,3.8768763218957267,Fail
10-31-LK,2019-10-24,Kacie,Graham,2018-08-02,F,IGDB,2019-11-14,2020-01-09,AD,2020-06-08,LRxGR,,K1,14.718988069570218,7.490913571120557,Success
11-01-LM,2019-11-04,Mac,DSM,2018-08-25,M,IGDB,2019-12-18,,W,2020-01-03,LR,,M1,14.324729460563871,1.9712930450317254,Fail
11-02-IM,2019-11-04,Meeko,DSM,2018-08-25,M,IGDB,2019-12-18,2020-01-16,W,2020-05-29,LR,,M1,14.324729460563871,6.800961005359453,Fail
11-11-IK,2019-11-12,Kain,Mags,2018-08-02,M,IGDB,2019-12-18,2020-01-16,AD,2020-07-15,LRxGR,,K1,15.343230867163596,8.082301484630074,Success
11-12-IM,2019-11-12,Mara,Mags,2018-08-25,F,IGDB,2019-12-18,,W,2020-01-03,LR,,M1,14.58756853323477,1.7084539723608287,Fail
11-21-IK,2019-11-19,Katie,Mags,2018-08-02,F,IGDB,2019-12-12,2020-01-28,AD,2020-06-08,LRxGR,,K1,15.573215055750632,6.636686584940143,Success
11-22-IM,2019-11-19,Meg,Mags,2018-08-25,F,IGDB,2019-12-12,2020-01-30,W,2020-01-31,LR,,M1,14.817552721821803,2.398406538121933,Fail
11-23-IT,2019-11-19,Tosh,Mags,2018-09-25,M,GDBUK,2019-12-12,2020-01-28,W,2020-01-20,GR,,T1,13.799051315222078,2.0370028131994498,Fail
11-24-IK,2019-11-20,Kaiser,Graham,2018-08-02,M,IGDB,2019-12-13,2020-01-28,GD,2020-07-20,LRxGR,,K1,15.606069939834493,7.983736832378488,Success
11-25-IJ,2019-11-20,Jessie,Graham,2018-07-03,F,IGDB,2019-12-13,2020-01-28,GD,2020-07-31,LR,,J1,16.591716462350355,8.34514055730097,Success
11-26-IL,2019-11-19,Lexie,DSM,2018-08-17,F,IGDB,2019-12-12,2020-01-30,AD,2020-07-20,LR,,L1,15.0803917944927,8.01659171646235,Success
11-27-II,2019-11-18,Illana,DSM,2018-06-28,F,IGDB,2019-12-18,2020-01-30,AD,2020-07-15,LRxGR,,I1,16.69028111460194,7.885172180126902,Success
11-28-IZ,2019-11-18,Zander,Rose,2018-10-19,M,Cesecah,2019-12-13,2020-01-28,W,2020-03-10,LR,,Z2,12.977679213125526,3.7126019014764164,Fail
12-01-LK,2019-12-11,Kali,Graham,2018-08-02,F,IGDB,2020-01-09,2020-02-19,GD,2020-06-29,LRxGR,,K1,16.296022505595598,6.60383170085628,Success
12-02-LM,2019-12-09,Minnie,Rose,2018-08-25,F,IGDB,2020-01-09,2020-02-19,GD,2020-07-21,LR,,M1,15.474650403499044,7.39234891886897,Success
12-03-LM,2019-12-09,Milo,Rose,2018-08-25,M,IGDB,2020-01-09,2020-02-19,AD,2020-08-24,LR,,M1,15.474650403499044,8.509414977720281,Success
01-01-LM,2020-01-09,Molly,Graham,2018-08-25,F,IGDB,2020-01-29,,AD,2020-11-02,LR,,M1,16.49315181009877,9.790755456990903,Success
01-02-LM,2020-01-06,Mandy,Rose,2018-08-25,F,IGDB,2020-01-29,,AD,2020-07-20,LR,,M1,16.394587157847184,6.43955728043697,Success
01-03-LN,2020-01-09,Nina,Graham,2018-12-23,F,IGDB,2020-01-31,,GD,2020-09-14,LRxGR,,N1,12.55056572003532,8.180866136881662,Success
01-04-LN,2020-01-09,Niamh,Graham,2018-12-23,F,IGDB,2020-01-29,,GD,2020-10-05,LRxGR,,N1,12.55056572003532,8.870818702642765,Success
01-05-LN,2020-01-06,Noel,Rose,2018-12-23,M,IGDB,2020-01-29,,AD,2020-11-11,LRxGR,,N1,12.452001067783733,10.18501406599725,Success
01-06-LN,2020-01-07,Nala,Diana,2018-12-23,F,IGDB,2020-01-29,,AD,2020-08-21,LRxGR,,N1,12.484855951867594,7.4580586870366945,Success
12-11-LK,2020-01-09,Kyle,Mags,2018-08-02,M,IGDB,2020-02-11,,GD,2020-09-28,LRxGR,,K1,17.248814144027598,8.64083451405573,Success
01-11-LZ,2020-01-21,Zeus,Mags,2018-10-14,M,DFG,2020-02-11,,GD,2020-09-14,LR,,Z3,15.24466621491201,7.786607527875316,Success
01-12-LO,2020-01-21,Odin,Mags,2019-01-12,M,IGDB,2020-02-11,,AD,2020-08-21,LRxGR,,O1,12.287726647364423,6.998090309862626,Success
01-13-LO,2020-01-22,Oj,Diana,2019-01-12,M,IGDB,2020-02-11,,AD,2020-11-02,LRxGR,,O1,12.320581531448285,9.363641963900696,Success
01-14-LO,2020-01-21,Ozark,Graham,2019-01-12,M,IGDB,2020-02-19,,AD,2020-06-29,LRxGR,,O1,12.287726647364423,5.2567814534179345,Success
01-15-LO,2020-01-21,Orbet,Graham,2019-01-12,M,IGDB,2020-02-11,,AD,2020-08-21,LRxGR,,O1,12.287726647364423,6.998090309862626,Success
02-01-LN,2020-02-03,Noelle,Rose,2018-12-23,F,IGDB,,,W,2020-07-16,LRxGR,,N1,13.371937822131871,5.388200989753383,Fail
02-02-LO,2020-02-06,Ocean,Rose,2019-01-12,F,IGDB,,,AD,2021-02-17,LRxGR,,O1,12.813404792706216,12.386291299616008,Success
02-03-LN,2020-02-12,Niff,Rose,2018-12-23,M,IGDB,,,AD,2020-09-30,LRxGR,,N1,13.66763177888663,7.589478223372143,Success
02-04-LP,2020-02-12,Pennie,Graham,2019-01-30,F,IGDB,,,W,2020-06-08,LRx,,P1,12.419146183699871,3.8440214378118647,Fail
02-05-LP,2020-02-19,Patch,Diana,2019-01-30,M,IGDB,,,AD,2020-08-21,LRx,,P1,12.649130372286905,6.045298671430625,Success
02-06-LP,2020-02-20,Prince,Diana,2019-01-30,M,IGDB,,,AD,2020-09-28,LRx,,P1,12.681985256370767,7.260929382533522,Success
03-01-LP,2020-03-09,Peaches,Rose,2019-01-30,F,IGDB,,,AD,2020-11-17,LRx,,P1,13.273373169880285,8.31228567321711,Success
03-02-LP,2020-03-11,Peppa,Graham,2019-01-30,F,IGDB,,,AD,2020-09-10,LRx,,P1,13.339082938048008,6.012443787346763,Success
03-03-LP,2020-03-11,Oonagh,Graham,2019-01-12,F,IGDB,,,AD,2020-09-28,LRxGR,,O1,13.930470851557526,6.60383170085628,Success
03-04-LQ,2020-03-23,Quill,Rose,2019-03-20,M,IGDB,,,GD,2020-10-14,LRxGR,,Q1,12.123452226945112,6.735251237191728,Success
03-05-LQ,2020-03-23,Quinten,Rose,2019-03-20,M,IGDB,,,AD,2020-11-30,LRxGR,,Q1,12.123452226945112,8.279430789133247,Success
03-06-LQ,2020-03-25,Quincy,Graham,2019-03-20,M,IGDB,,,GD,2020-11-25,LRxGR,,Q1,12.189161995112835,8.049446600546213,Success
03-07-LQ,2020-03-25,Quinto,Graham,2019-03-20,M,IGDB,,,GD,2021-02-15,LRxGR,,Q1,12.189161995112835,10.743547095422905,Success
09-21-LZ,2020-09-08,Zaid,Frances,2019-07-22,M,AADI,2020-10-05,,W,2021-03-19,LR,,Z4,13.601922010718907,6.308137744101521,Fail
09-22-LZ,2020-09-08,Zavier,Frances,2019-07-22,M,AADI,2020-10-05,,W,2020-09-16,LR,,Z4,13.601922010718907,0.26283907267089673,Fail
09-23-LT,2020-09-08,Tango,Graham,2019-05-23,F,IGDB,2020-10-05,,AD,2021-04-22,LRxGR,,T2,15.573215055750632,7.425203802952833,Success
09-24-LQ,2020-09-08,Quayla,Rose,2019-03-20,F,IGDB,2020-10-05,,AD,2021-02-03,LRxGR,,Q1,17.675927637117805,4.86252284441159,Success
09-25-LV,2020-09-08,Varley,Rose,2019-06-11,M,IGDB,2020-10-05,,W,2021-04-14,LR,,V1,14.948972258157252,7.1623647302819355,Fail
09-31-LS,2020-09-15,Simon,Graham,2019-04-19,M,IGDB,2020-10-12,,in Training,2021-05-24,LRx,,S1,16.920265303188977,8.246575905049385,nan
09-32-LT,2020-09-15,Teal,Rose,2019-05-23,F,IGDB,2020-10-12,,W,2021-03-29,LRxGR,,T2,15.803199244337666,6.406702396353108,Fail
09-33-LZ,2020-09-15,Zaar,Diana,2019-05-20,M,Private breeder,2020-10-12,,in Training,2021-06-21,LR,,Z5,15.901763896589252,9.166512659397524,nan
09-34-LZ,2020-09-15,Zackie,Frances,2019-07-22,M,AADI,2020-10-12,,in Training,2021-05-12,LR,,Z4,13.83190619930594,7.85231729604304,nan
09-35-LV,2020-09-15,Vale,Frances,2019-06-11,M,IGDB,2020-10-12,,in Training,2021-05-12,LR,,V1,15.178956446744285,7.85231729604304,nan
09-41-LR,2020-09-22,Ramona,Graham,2019-04-19,F,IGDB,,,AD,2021-04-21,LRx,,R1,17.150249491776012,6.932380541694902,Success
09-42-LR,2020-09-22,Rita,Graham,2019-04-19,F,IGDB,,2020-12-08,AD,2021-03-01,LRx,,R1,17.150249491776012,5.2567814534179345,Success
09-43-LZ,2020-09-22,Zorro,Graham,2019-05-20,M,Private breeder,,,AD,2021-03-19,LR,,Z5,16.131748085176287,5.848169366927452,Success
09-44-LT,2020-09-22,Toto,Diana,2019-05-23,F,IGDB,,2020-12-08,AD,2021-04-01,LRx,,T2,16.0331834329247,6.27528286001766,Success
09-45-LZ,2020-09-22,Zylan,Rose,2019-08-03,M,Private breeder,,,AD,2021-04-26,LR,,Z6,13.66763177888663,7.096654962114211,Success
10-41-LZ,2020-10-05,Zita,Alison,2019-04-29,F,GDBUK,2020-10-30,2020-12-17,in Training,2021-05-10,LRxGR,,Z7,17.248814144027598,7.129509846198074,nan
10-42-LT,2020-10-05,Tim,Alison,2019-04-20,M,GDBUK,2020-10-30,2020-12-17,in Training,2021-05-10,LR,,T3,17.544508100782355,7.129509846198074,nan
10-43-LR,2020-10-05,Rebecca,Alison,2019-04-15,F,GDBUK,2020-10-30,2020-12-17,in Training,2021-05-10,LRxGR,,R2,17.708782521201666,7.129509846198074,nan
10-44-LL,2020-10-05,Leigh,Alison,2019-05-16,F,GDBUK,,,in Training,2021-05-07,GS,,L2,16.69028111460194,7.030945193946487,nan
10-45-LE,2020-10-05,Eddie,Alison,2019-03-18,M,GDBUK,2020-10-30,2020-12-17,in Training,2021-05-07,LR,,E2,18.628719275549805,7.030945193946487,nan
11-40-LZ,2020-11-04,Zeplin,Frances,2019-07-13,M,Private breeder,,,W,2021-02-02,GRxPoodle,,Z8,15.770344360253803,2.9569395675475882,Fail
11-41-LZ,2020-11-04,Ziggy,UK PR,2019-04-29,M,GDBUK,,,in Training,2021-05-07,LRxGR,,Z7,18.234460666543463,6.045298671430625,nan
11-42-LE,2020-11-04,Ezra,UK PR,2019-05-04,M,GDBUK,,,in Training,2021-05-10,LRxGR,,E3,18.070186246124152,6.143863323682211,nan
11-43-LB,2020-11-04,Bubbles,UK PR,2018-10-04,F,GDBUK,,,in Training,2021-05-07,LRxGR,,B1,25.035421671902913,6.045298671430625,nan
11-44-LZ,2020-11-10,Zeeno,Diana,2019-07-13,M,Private breeder,2020-12-08,,in Training,2021-07-07,GRxPoodle,,Z8,15.967473664756977,7.85231729604304,nan
11-42-LT,2020-11-10,Thor,Graham,2019-05-23,M,IGDB,2020-12-08,,in Training,2021-05-31,LRxGR,,T2,17.643072753033945,6.636686584940143,nan
11-43-LT,2020-11-10,Tessa,Rose,2019-05-23,F,IGDB,2020-12-08,,in Training,,LRxGR,,T2,17.643072753033945,,nan
11-44-LY,2020-11-10,Yeska,Frances,2019-09-25,F,IGDB,2020-12-08,,in Training,2021-05-12,LRxGR,,Y1,13.536212242551182,6.012443787346763,nan
11-45-LZ,2020-11-10,Zarley,Frances,2019-09-01,M,Private breeder,2020-12-08,,in Training,,LR,,Z9,14.324729460563871,,nan
11-51-LR,2020-11-20,Rainbow,UK PR,2019-06-09,F,GDBUK,2020-12-14,,in Training,2021-07-07,LR,,R3,17.41308856444691,7.523768455204419,nan
11-52-LC,2020-11-20,Clay,UK PR,2019-05-03,M,GDBUK,2020-12-14,,W,2021-04-29,LR,,C1,18.628719275549805,5.2567814534179345,Fail
11-53-LD,2020-11-20,Dora,UK PR,2019-06-23,F,GDBUK,2020-12-14,,in Training,2021-07-07,LR,,D2,16.95312018727284,7.523768455204419,nan
11-54-LP,2020-11-26,Piper,UK PR,2019-04-20,F,GDBUK,2020-12-14,,in Training,2021-07-07,LR,,P2,19.252962073143184,7.326639150701246,nan
11-61-LJ,2020-11-30,John,UK PR,2018-11-26,M,GDBUK,,,in Training,2021-10-25,LRxGR,,J2,24.148339801638638,10.809256863590628,nan
11-62-LS,2020-12-01,Saffron,UK PR,2019-06-06,F,GDBUK,,,in Training,2021-10-25,LRxGR,,S2,17.873056941620977,10.776401979506765,nan
11-63-LC,2020-12-02,Chhiri,UK PR,2019-04-20,F,GDBUK,,,W,2021-03-03,LRxGR,,C2,19.45009137764636,2.9897944516314503,Fail
11-64-LT,2020-12-03,Toni,UK PR,2019-04-20,F,GDBUK,,,in Training,2021-10-25,LR,,T3,19.48294626173022,10.710692211339042,nan
01-21-LZ,2021-01-05,Zyon,Rose,2019-07-13,M,Private breeder,,,in Training,2021-10-25,GRxPoodle,,Z8,17.807347173453255,9.626481036571592,nan
01-22-LT,2021-01-13,Tommy,Graham,2019-05-23,M,IGDB,,,in Training,2021-07-26,LRx,,T2,19.745785334401116,6.373847512269246,nan
01-23-LT,2021-01-13,Teemo,Graham,2019-05-23,M,IGDB,,,in Training,2021-06-21,LRx,,T2,19.745785334401116,5.223926569334073,nan
01-24-LT,2021-01-13,Trinny,Graham,2019-05-23,F,IGDB,,,in Training,2021-07-26,LRx,,T2,19.745785334401116,6.373847512269246,nan
01-25-LW,2021-01-05,Woulfie,Diana,2019-07-01,F,IGDB,,,in Training,2021-07-26,LRx,,W1,18.2016057824596,6.636686584940143,nan
04-11-LV,2021-04-07,Vaughan,Rose,2019-06-11,M,IGDB,2021-04-29,,in Training,2021-08-30,LR,,V1,21.881352799852152,4.763958192160003,nan
04-12-LY,2021-04-07,Yani,Rose,2019-09-25,F,IGDB,2021-04-29,,in Training,2021-08-30,LRxGR,,Y1,18.39873508696277,4.763958192160003,nan
04-13-LY,2021-04-07,Yorkie,Rose,2019-09-26,M,IGDB,2021-04-29,,in Training,2021-08-30,LRxGR,,Y1,18.36588020287891,4.763958192160003,nan
04-14-LV,2021-04-07,Verona,Graham,2019-06-11,F,IGDB,2021-04-29,,in Training,2021-08-30,LR,,V1,21.881352799852152,4.763958192160003,nan
04-15-LV,2021-04-07,Vista,Graham,2019-06-11,F,IGDB,2021-04-29,,in Training,2021-08-30,LR,,V1,21.881352799852152,4.763958192160003,nan
04-16-LH,2021-04-08,Harold,Rose,2020-01-10,M,PRV breeder,2021-04-29,,in Training,2021-08-30,LR,,H2,14.916117374073389,4.7311033080761415,nan
