Timestamp,Dog code,Data Collection Number,Data Collection Date,Assessor,Video Start Time (HH:MM:SS),Familiarisation-Start Time (MM:SS),Familiarisation-Response [Oriented to Handler],Familiarisation-Response [Exploration],Familiarisation-Response [Waiting],Familiarisation-Comments,Call Back-Start Time (MM:SS) ,Call Back-Response,Call Back-Comments,Walking-Start Time (MM:SS),Walking-Distractibility,Walking-Pull on leash,Walking-Pull strength,Walking-Initiative,Walking-Comments,Standing-Start Time (MM:SS) ,Standing-Response,Standing-Comments,Sitting-Start Time (MM:SS) ,Sitting-Response,Sitting-Comments,Lying-Start Time (MM:SS) ,Lying-Response,Lying-Settled,Lying-Finish Time (MM:SS),Lying-Comments,Body check-Start Time (MM:SS),Body check-Table,Body check-Response,Body check-General [Mouths],Body check-General [Licks],Body check-Finish Time (MM:SS) ,Body Check-Comments,Tea Towel-Start Time (MM:SS),Tea Towel-First Response [Indifferent],Tea Towel-First Response [Change from Neutral],Tea Towel-First Response [Turns head],Tea Towel-First Response [Attempts to/Removes towel by moving],Tea Towel-First Response [Attempts to/Removes towel with mouth],Tea Towel-First Response [Plays],Tea Towel-Second Response [Indifferent],Tea Towel-Second Response [Turns head],Tea Towel-Second Response [Change from Neutral],Tea Towel-Second Response [Attempts to/Removes towel by moving],Tea Towel-Second Response [Attempts to/Removes towel with mouth],Tea Towel-Second Response [Plays],Tea Towel-Finish Time (MM:SS),Tea Towel-Comments,Distractions-Start Time (MM:SS),Distractions-First Response [Teddy],Distractions-First Response [Human],Distractions-First Response [Car],Distractions-First Response [Food],Distractions-Second Response [Teddy],Distractions-Second Response [Human],Distractions-Second Response [Car],Distractions-Second Response [Food],Distractions-Pull on leash,Distractions-Pull strength,Distractions-Human,Distractions-Finish Time (MM:SS) ,Distractions-Comments,Kong-Presentation-Start Time (MM:SS) ,Kong-Presentation-Response,Behaviour description,Kong-Interaction-Start Time (MM:SS),Kong-Interaction-Lateralisation,Kong-Interaction-Response to stimulus,Kong-Interaction-Response to handler,Kong-Interaction-Back,Kong-Interaction-Finish Time (MM:SS),Kong-Return-Handler,Kong-Comments,Dog-Start Time (MM:SS),Dog-Response,Dog-Call Back Response,Dog-Finish Time (MM:SS) ,Dog-Comments,Crate-Start Time (MM:SS) ,Crate-Entering,Crate-Behaviours [Settled],Crate-Behaviours [Sniffing/Exploring ],Crate-Behaviours [Actively Seeking Attention],Crate-Behaviours [Digging],Crate-Behaviours [Nudging Crate],Crate-Behaviours [Pawing],Crate-Behaviours [Whining],Crate-Behaviours [Barking],Crate-Self-Modulation,Crate-Stress,Crate-Urinating,Crate-Finish Time (MM:SS),Crate-Comments,Petting-Start Time (MM:SS),Petting-Handler-Stimulus,Petting-Handler-Holding dog,Petting-Confidence-During,Petting-Finish Time (MM:SS),Petting-Responsiveness-After,Petting-Comments,Isolation-Start Time (MM:SS),Isolation-Response [Time oriented],Isolation-Response [Exploration],Isolation-Response [Unsettled/Pacing],Isolation-Response [Whining],Isolation-Response [Barking],Isolation-Urinating,Isolation-Finish Time (MM:SS) ,Isolation-Comments,Reunion-Response,Reunion-Comments,Noise-Start Time (MM:SS),Noise-Time (MM:SS),Noise-Confidence,Noise-Walk Finish Time (MM:SS),Noise-Comments,Jumps,Shakes,Stretches,Whines,Short Barks,Continuous Barks,Growls,Scratches,Grooms,Yawns,Lip Smacking
4/24/2020 16:24:24,05-03-LF,2,2019-07-17,Susan Turtle,,,1 - Never,5 - Constantly,1 - Never,,,1 - on the first command,,,3 - Mostly distracted (5+),4 - constantly,3 - moderate tension,1 - Dog walks out ahead the handler,dog mostly walks ahead of handler,,3 - Good (2 attempts),dog moved as saw treats,,4 - Excellent (1 attempt),,,4 - Excellent (1 attempt),3 - reasonably settled,,,,4 - Willing,3 - Cooperative,No,No,,,,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,,played a lot with the tea towel,,6,5,6,6,6,5,6,6,4 - frequent (6-8),"5 - extreme tension, back legs are stretched and one or more front paws raised off the floor","6 - is very friendly, licks the person’s hands and wags its tail",,very distracted in general,,4 - Very interested,"dog sits, looks briefly away twice",,None,"3 - Interacts with kong continuously, but calmly",2 - Moves slightly away from handler,1 - Not bothered to let it go,,2 - Calmly follows the handler,,,"5 - Very Interested, moves towards dog immediately",NA,,"dog distraction didn't have a collar on, ended up off lead and in with the dog being tested. No recall done.",,1 - without any encouragement,2 - Rarely,3 - Occasionally,3 - Occasionally,1 - Never,1 - Never,1 - Never,3 - Occasionally,1 - Never,2 - Slow self-modulation,2 - Mildly stressed,No,,,,1 - slightly playful,1 - Never,"4 - very excited, moving around;",,4 - mild attention seeking,"dog came out and moved away from handler initially, but then returned and enjoyed being petted",,4 - Mostly,2 - Rarely,2 - Rarely,2 - Rarely,1 - Never,No,,,4 - activated approach,handler didn't interact much iniatially,,,"6 - strong reaction (jumping, running to/pawing at source of sound, vocalising)",,bucket ignored 2nd time,,,,,,,,,,,
4/24/2020 17:16:17,05-05-LE,1,2019-05-29,Susan Turtle,,,2 - Rarely,4 - Regularly,1 - Never,,,NA,dog had naturally come back to the handler,,2 - Somewhat distracted (3-4),2 - rare,2 - mild tension,"3 - Dogs walk occasionally behind the handler, needs encouragement",,,4 - Excellent (1 attempts),,,4 - Excellent (1 attempt),,,4 - Excellent (1 attempt),3 - reasonably settled,,,,4 - Willing,2 - Reluctant,Yes,No,,anxious panting during vet exam,,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,,"doesn't move 2nd time, just turns around and removes it with his mouth",,6,5,5,1,5,4,4,5,3 - sometimes (3-5),4 - strong tension,"7 - gets overly excited, jumps, mouth person",,"didn't go near the food bowl the first time, went around 3 times",,4 - Very interested,"dog sat initially but then walk away, unsure if dog was aware of the stuffed kong, shown again and dog sat and waited for it.",,Both,"3 - Interacts with kong continuously, but calmly",2 - Moves slightly away from handler,"2 - Reluctant, but let it go",,2 - Calmly follows the handler,"dog sat for a short while and then walked away from the handler, dog may not have realised the handler had a stuffed kong, called dog back and showed him the kong.",,"3 - Mildly interested in other dog, does not move",0 - does not leave trainer's side/comes back without being called,,dog moved after dog distraction dog had gone in,,1 - without any encouragement,2 - Rarely,2 - Rarely,1 - Never,1 - Never,1 - Never,1 - Never,1 - Never,1 - Never,2 - Slow self-modulation,2 - Mildly stressed,No,,just stood there,,1 - slightly playful,1 - Never,"3 - slightly excited, tail wagging",,4 - mild attention seeking,gets tea towel off the chair and brings to handler,,4 - Mostly,2 - Rarely,2 - Rarely,1 - Never,1 - Never,No,,jumped up on the wall ,3 - calm approach,,,,5 - moderate reaction,,wanted to go toward the bucket,,,,,,,,,,,
4/25/2020 10:08:11,05-05-LE,2,2019-07-17,Susan Turtle,,,4 - Regularly,3 - Occasionally,2 - Rarely,"urinated soon after going in, may be due to stress or not going before he came down.",,NA,dog was following handler around as handler had clean up after dog had urinated,,2 - Somewhat distracted (3-4),4 - regularly,2 - mild tension,1 - Dog walks out ahead the handler,occasionally dog walked beside handler but mainly ahead,,4 - Excellent (1 attempts),panting,,3 - Good (2 attempts),,,4 - Excellent (1 attempt),3 - reasonably settled,,,,4 - Willing,3 - Cooperative,No,No,,,,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,,,,2,4,3,4,2,3,3,3,3 - sometimes (3-5),3 - moderate tension,5 - approaches the person,,"2nd time, handler used more voice ",,4 - Very interested,got up once from the sit to move closer to the handler,,Both,"3 - Interacts with kong continuously, but calmly",2 - Moves slightly away from handler,"2 - Reluctant, but let it go",,2 - Calmly follows the handler,"hard to see, relying on what is being said",,"3 - Mildly interested in other dog, does not move",0 - does not leave trainer's side/comes back without being called,,,,1 - without any encouragement,2 - Rarely,3 - Occasionally,1 - Never,1 - Never,1 - Never,1 - Never,1 - Never,1 - Never,2 - Slow self-modulation,2 - Mildly stressed,No,,,,1 - slightly playful,1 - Never,"3 - slightly excited, tail wagging",,3 - calmly interacts with the handler,,,4 - Mostly,2 - Rarely,2 - Rarely,1 - Never,1 - Never,No,,,3 - calm approach,,,,4 - minor reaction,,walked over and looked in the bucket,,,,,,,,,,,
4/25/2020 11:19:46,04-04-LZ,1,2019-05-20,SusanTurtle,,,1 - Never,5 - Constantly,1 - Never,calmly explored ,,1 - on the first command,,,2 - Somewhat distracted (3-4),3 - occasionally,2 - mild tension,2 - Dog walks beside /at heel with the handler,,,4 - Excellent (1 attempts),,,4 - Excellent (1 attempt),,,4 - Excellent (1 attempt),2 - slightly unsettled,,"handler stayed crouched down beside dog, dog tail would wag every so often.",,3 - Cooperative,3 - Cooperative,No,No,,,,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,,,,4,4,4,4,3,4,3,4,3 - sometimes (3-5),3 - moderate tension,5 - approaches the person,,,,4 - Very interested,sits ,,NA,2 - Interacts with kong but loses interest,1 - Stays close to handler,1 - Not bothered to let it go,,2 - Calmly follows the handler,can't see if dog uses paws due to grooming table,,"7 - Extremely excited, run after dog instantly and playing around a lot",1 - on the first command,,,,1 - without any encouragement,3 - Occasionally,2 - Rarely,1 - Never,1 - Never,1 - Never,1 - Never,NA,1 - Never,1- Good self-modulation,2 - Mildly stressed,No,,"could hear dog whining, hard to tell which dog",,1 - slightly playful,1 - Never,"3 - slightly excited, tail wagging",,3 - calmly interacts with the handler,,,5 - Constantly,1 - Never,1 - Never,1 - Never,1 - Never,No,,,3 - calm approach,,,,4 - minor reaction,,looks at it.,,,,,,,,,,,
4/26/2020 10:24:14,04-04-LZ,2,2019-07-17,Susan Turtle,,,1 - Never,5 - Constantly,1 - Never,,,1 - on the first command,,,2 - Somewhat distracted (3-4),2 - rare,2 - mild tension,2 - Dog walks beside /at heel with the handler,,,4 - Excellent (1 attempts),,,3 - Good (2 attempts),,,4 - Excellent (1 attempt),4 - very settled,,,,3 - Cooperative,3 - Cooperative,No,No,,"tried to jump up, ended up being lifted ",,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,,,,3,3,4,4,1,1,3,4,3 - sometimes (3-5),3 - moderate tension,"4 - positively looks at person, does not engage with them",,dog was very focus on food bowl on second round,,4 - Very interested,sits calmly with tail wagging,,None,"3 - Interacts with kong continuously, but calmly",2 - Moves slightly away from handler,"2 - Reluctant, but let it go",,2 - Calmly follows the handler,"dog picks kong up after awhile, walks around and returns to be near the handler",,"7 - Extremely excited, run after dog instantly and playing around a lot",NA,,dog had come back to handler naturally,,1 - without any encouragement,4 - Mostly,2 - Rarely,1 - Never,1 - Never,1 - Never,1 - Never,1 - Never,1 - Never,1- Good self-modulation,2 - Mildly stressed,No,,,,1 - slightly playful,1 - Never,"3 - slightly excited, tail wagging",,3 - calmly interacts with the handler,,,5 - Constantly,1 - Never,1 - Never,2 - Rarely,1 - Never,No,,,3 - calm approach,,,,4 - minor reaction,,,,,,,,,,,,,
4/26/2020 11:09:42,04-01-LD,1,2019-05-20,Susan Turtle,,,2 - Rarely,4 - Regularly,1 - Never,,,1 - on the first command,,,2 - Somewhat distracted (3-4),1 - not observed,"1 - no tension, lead relaxed",2 - Dog walks beside /at heel with the handler,,,3 - Good (2 attempts),,,2 - Not great (3-4 attempts),,,4 - Excellent (1 attempt),3 - reasonably settled,,dog went down herself ,,3 - Cooperative,3 - Cooperative,No,No,,,,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,,,,5,3,4,5,5,3,4,4,3 - sometimes (3-5),3 - moderate tension,"4 - positively looks at person, does not engage with them",,,,2 - Mostly interested,sits calmly,,None,"3 - Interacts with kong continuously, but calmly",1 - Stays close to handler,1 - Not bothered to let it go,,2 - Calmly follows the handler,,,"5 - Very Interested, moves towards dog immediately",0 - does not leave trainer's side/comes back without being called,,dog follows handler when they move towards the crate,,3 - needs a lot of encouragement,1 - Never,3 - Occasionally,5 - Constantly,1 - Never,3 - Occasionally,2 - Rarely,3 - Occasionally,3 - Occasionally,3 - Poor self-modulation,3 - Moderately stressed,No,,,,1 - slightly playful,1 - Never,"3 - slightly excited, tail wagging",,2 - explorative,"dog initially walks away from handler when first left out, and then interacts with handler",,4 - Mostly,2 - Rarely,2 - Rarely,2 - Rarely,1 - Never,No,,,3 - calm approach,"calmly interacts with handler, moves away to look at everyone else and comes back again",,,4 - minor reaction,,,,,,,,,,,,,
4/27/2020 11:22:07,05-14-LE,1,2019-06-13,Allyce,,,2 - Rarely,5 - Constantly,2 - Rarely,Does come back to handler every now and then but more co-incidentally. Came back to handler purposely at very end. High scenting. Occasional body shakes - portraying body sensitivity. Panting. Would say Ebbi is stressed/anxious,,1 - on the first command,,,3 - Mostly distracted (5+),4 - regularly,4 - strong tension,5 - Dog refuse to walk at times,"At times Ebbi walks alongside her handler however, for the most part, she is highly excited and pulling to the extent of tension that causes her to pant and wheeze. Loads of body shaking exhibited with the walk - more than the original familiarisation phase. Defecated on her walk (perhaps a full bowel would explain the stress levels and pulling). Pulling less severe and panting toned down - no more wheezing - after defecation. ",,3 - Good (2 attempts),Didnt use platform. Started very well - got bored mid-way and waiting for more handler input,,1 - Poor (5+ attempts),Took many attempts (even with a lure) to complete a sit. Broke sit once too (boredom and looking for handler input/further instruction) - would say she might be quite food distracted. ,,1 - Poor (5+ attempts),1 - very unsettled,,"Would only go down down for a food lure. Then broke down and handler struggled to get her to go back. Broke it a second time, and then maintained the third down. Handler had to be sitting on floor in order to achieve. ",,3 - Cooperative,4 - Willing,No,No,,Bit of continued panting - nothing serious. But tail wagging through most of it. ,,No,Yes,Yes,No,No,No,No,Yes,Yes,No,Yes,No,,First attempt - does walk around handler but wouldnt say this would be an attempt to get it off - more seeking handler input. ,,2,3,3,2,2,3,2,2,2 - rare (1-2),2 - mild tension,"6 - is very friendly, licks the person’s hands and wags its tail",,,,2 - Somewhat interested,Attention on the kong at times but at other times she is looking around the room. Not overly interested and never broke her sit,,Left,"3 - Interacts with kong continuously, but calmly",1 - Stays close to handler,1 - Not bothered to let it go,,2 - Calmly follows the handler,,,"4 - Moderately interested in other  dog, moves towards dog after sometime",0 - does not leave trainer's side/comes back without being called,,,,1 - without any encouragement,2 - Rarely,2 - Rarely,1 - Never,1 - Never,1 - Never,1 - Never,1 - Never,1 - Never,1- Good self-modulation,2 - Mildly stressed,No,,Spent most of the time standing and looking back between assessor and handler. Not settled but not terribly stressed,,1 - slightly playful,1 - Never,"4 - very excited, moving around;",,3 - calmly interacts with the handler,,,5 - Constantly,1 - Never,1 - Never,1 - Never,1 - Never,No,,jumped up against gate once. ,3 - calm approach,,,,4 - minor reaction,,"slight change in head positioning, investigated very briefly thereafter. Quick recovery",,,,,,,,,,,
4/27/2020 11:54:43,05-14-LE,2,2019-07-31,Allyce,,,4 - Regularly,5 - Constantly,1 - Never,High scenting. Does sniff around in exploration but keeps regularly and reasonably orientated to handler - doesn't veer too far off. ,,1 - on the first command,,,1 - Hardly distracted (1-2),1 - not observed,"1 - no tension, lead relaxed",2 - Dog walks beside /at heel with the handler,A little bit of shaking. Handler doesnt create too wide a walking path - keeps a relatively small circle. I think perhaps if the circle was widened the dog might be slightly more distracted. ,,4 - Excellent (1 attempts),Handler touched hind-quarters resulting in a slight break of stand but I havent counted this ,,1 - Poor (5+ attempts),handler asks many times without success. Dog reverses off the platform and a few times after when the handler tries to get a sit. Once sitting Ebbi maintains.  ,,1 - Poor (5+ attempts),1 - very unsettled,,"Very hesitant to assume down position, eventually goes down but breaks shortly after and then refuses to go down again thereafter. Either stubbornness or body sensitivity - handler mentions that she regularly struggles but that she is also quite body sensitive. Assessor suggests that they move on but handler decides to rather keep trying even attempting a new position. Ends with refusal. ",,1 - Refuse,3 - Cooperative,No,No,,Dog vocalisation heard from the crated dog. ,,No,Yes,Yes,No,Yes,No,No,Yes,Yes,No,Yes,No,,Heavy dog vocalisation from the crated dog,,2,3,3,2,1,2,1,2,2 - rare (1-2),2 - mild tension,"6 - is very friendly, licks the person’s hands and wags its tail",,,,2 - Mostly interested,Looks away every now and then but mostly has focused attention. Good behaviour though and no jumping up or broken sit once she is asked to sit. ,,Righ,"3 - Interacts with kong continuously, but calmly",1 - Stays close to handler,1 - Not bothered to let it go,,2 - Calmly follows the handler,,,"5 - Very Interested, moves towards dog immediately",0 - does not leave trainer's side/comes back without being called,,"While Ebbi wasnt called and she followed willingly, handler walked up to Ebbi to gain attention and then Ebbi began following",,1 - without any encouragement,2 - Rarely,3 - Occasionally,1 - Never,1 - Never,1 - Never,1 - Never,1 - Never,1 - Never,1- Good self-modulation,1- Settled,No,,Crated dog vocalisation. Did sit on her own at the end there. Although mostly sniffing / standing - did seem calm. ,,1 - slightly playful,1 - Never,"4 - very excited, moving around;",,3 - calmly interacts with the handler,,,5 - Constantly,1 - Never,1 - Never,1 - Never,1 - Never,No,,Was sniffing the corner a bit but more time orientated and perhaps displacement than exploration. ,1 - Indifferent,,,,3 - Indifferent,,,,,,,,,,,,,
4/27/2020 12:38:51,05-13-LE,1,2019-06-13,Susan Turtle,,,4 - Regularly,2 - Rarely,2 - Rarely,,,1 - on the first command,dog was vey near handler,,3 - Mostly distracted (5+),3 - occasionally,2 - mild tension,"3 - Dogs walk occasionally behind the handler, needs encouragement",,,3 - Good (2 attempts),no platform used,,4 - Excellent (1 attempt),,,4 - Excellent (1 attempt),3 - reasonably settled,,,,4 - Willing,3 - Cooperative,No,No,,,,No,No,No,No,No,No,No,No,No,No,No,No,,not bothered by towel,,5,4,4,5,4,3,3,4,4 - frequent (6-8),4 - strong tension,5 - approaches the person,,,,4 - Very interested,"sits calmly, looks away briefly twice",,Righ,2 - Interacts with kong but loses interest,1 - Stays close to handler,1 - Not bothered to let it go,,1 - Does not follow the handler,,,"4 - Moderately interested in other  dog, moves towards dog after sometime",2 - on the second command or more,,,,2 - needs some encouragement,1 - Never,2 - Rarely,5 - Constantly,1 - Never,1 - Never,1 - Never,3 - Occasionally,4 - Mostly,3 - Poor self-modulation,3 - Moderately stressed,No,,,,1 - slightly playful,1 - Never,"3 - slightly excited, tail wagging",,3 - calmly interacts with the handler,,,4 - Mostly,2 - Rarely,1 - Never,2 - Rarely,3 - Occasionally,No,,,4 - activated approach,,,,5 - moderate reaction,,,,,,,,,,,,,
4/27/2020 14:30:27,07-02-LH,1,2019-07-29,Allyce,,,5 - Constantly,1 - Never,5 - Constantly,Whining just about constantly - even with handler right next to him. ,,NA,Dog right next to handler. Handler just pops on lead - doesnt call,,3 - Mostly distracted (5+),4 - regularly,3 - moderate tension,2 - Dog walks beside /at heel with the handler,"Speed and tension varies alot. From falling behind to pulling ahead ,walking infront pulling to the side (distraction based). I have selected the second option as this was the more regular S&T but this was not indicative of it being regular by any means. ",,3 - Good (2 attempts),Posture slightly low in fore-quarters. Rotated position toward the end,,2 - Not great (3-4 attempts),I dont think Herbie heard the first request. Broke and rotated during latter part of the exercise. Vocalisation heard but I tihnk it is the crated dog.,,1 - Poor (5+ attempts),1 - very unsettled,,"A little overly activated by the test. Kept breaking commands, and rotating, with handler at times having to re-approach completely. When he did maintain the down for a while, he was sniffing and not settled. ",,4 - Willing,1 - Escaping/Not willing,No,No,,Handler remarks on body sensitivity. Vocalises (whining). Handler remarks on half a growl. When handler checked front paws Herbie back away and tried to jump off the table backward then sat down when he was stopped from jumping off. Handler and assessor agree not to continue the body check. ,,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,,,,1,3,2,6,5,2,1,6,3 - sometimes (3-5),4 - strong tension,"6 - is very friendly, licks the person’s hands and wags its tail",,No car remote so car is stationary throughout the test. I tested on the stationary car. ,,"5 - Overly interested, dog jumps at handler",Quite consistently lifting hind-quarters and jumps up against handler at the end,,Both,"3 - Interacts with kong continuously, but calmly",1 - Stays close to handler,1 - Not bothered to let it go,,2 - Calmly follows the handler,,,"3 - Mildly interested in other dog, does not move",0 - does not leave trainer's side/comes back without being called,,,,1 - without any encouragement,1 - Never,4 - Mostly,3 - Occasionally,1 - Never,1 - Never,1 - Never,3 - Occasionally,2 - Rarely,3 - Poor self-modulation,3 - Moderately stressed,No,,,,1 - slightly playful,2 - Sometimes,"3 - slightly excited, tail wagging",,3 - calmly interacts with the handler,,,3 - Occasionally,4 - Mostly,1 - Never,2 - Rarely,1 - Never,No,,,3 - calm approach,,,,3 - Indifferent,,More distracted by the assessor I would say,,,,,,,,,,,
4/27/2020 14:54:13,07-02-LH,2,2019-09-17,Allyce,,,4 - Regularly,2 - Rarely,1 - Never,Barking and whining - but I dont know if that is from the crated dog or from Herbie. Camera has a slight blind spot next to the gate and part of the examination table .,,1 - on the first command,,,2 - Somewhat distracted (3-4),2 - rare,2 - mild tension,2 - Dog walks beside /at heel with the handler,,,4 - Excellent (1 attempts),,,2 - Not great (3-4 attempts),Needed a lure. Once seated did maintain well until the end when he broke and then handler struggled to get the sit again. ,,1 - Poor (5+ attempts),1 - very unsettled,,,,4 - Willing,1 - Escaping/Not willing,No,No,,Immediate back up as soon as handler began checking ears and mouth. When handler checked paws he reversed off the table. They attempted again and he tried to jump off again. Assessor moves on. ,,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,,,,2,3,3,4,1,2,3,5,3 - sometimes (3-5),3 - moderate tension,"6 - is very friendly, licks the person’s hands and wags its tail",,,,"5 - Overly interested, dog jumps at handler",Lifts hindquarters twice and jumps up at handler once,,Both,"3 - Interacts with kong continuously, but calmly",3 - Takes kong and moves away from handler,1 - Not bothered to let it go,,2 - Calmly follows the handler,,,"4 - Moderately interested in other  dog, moves towards dog after sometime",0 - does not leave trainer's side/comes back without being called,,Walked very calmly toward dog. Not a high interest at all.,,1 - without any encouragement,4 - Mostly,1 - Never,1 - Never,1 - Never,1 - Never,1 - Never,1 - Never,1 - Never,1- Good self-modulation,2 - Mildly stressed,No,,Sits almost immediately. Interest in the sounds coming from the dog in the crate (chewing sounds). Panting and swapping attention from handler to crated dog. ,,1 - slightly playful,1 - Never,"3 - slightly excited, tail wagging",,2 - explorative,,,5 - Constantly,1 - Never,2 - Rarely,1 - Never,1 - Never,No,,,3 - calm approach,,,,3 - Indifferent,,,,,,,,,,,,,
4/27/2020 15:56:07,07-03-LE,1,2019-07-29,Allyce,,,3 - Occasionally,5 - Constantly,1 - Never,,,2 - on the second or more,,,1 - Hardly distracted (1-2),1 - not observed,"1 - no tension, lead relaxed",2 - Dog walks beside /at heel with the handler,,,3 - Good (2 attempts),,,1 - Poor (5+ attempts),,,3 - Good (2 attempts),1 - very unsettled,,Handler stays on haunches next to dog. Loads of scenting which led to a break at the end. Assessor decided to move on to body check,,4 - Willing,3 - Cooperative,No,No,,Tail lower - change in neutrality. But stood still for the exam. ,,No,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,,"Both responses were the same. An initial turn of the head, tail low and slow, and then no further attempts to look at or pull the towel off. ",,3,3,2,4,1,2,1,2,2 - rare (1-2),2 - mild tension,5 - approaches the person,,Car not working on first response. Scored on stationary car. Car only reverse on second response. Faulty?,,4 - Very interested,"Lifts hindquarters a handful of times, but modulates nicely and does not jump up. ",,Righ,"3 - Interacts with kong continuously, but calmly",3 - Takes kong and moves away from handler,1 - Not bothered to let it go,,2 - Calmly follows the handler,Only used right paw toward the very end. Otherwise mostly just pushed the kong around on the floor with nose and then carried to the mat. ,,"5 - Very Interested, moves towards dog immediately",1 - on the first command,,Moves toward dog immediately (as soon as she notices it) but not overly interested.,,1 - without any encouragement,1 - Never,4 - Mostly,1 - Never,1 - Never,1 - Never,1 - Never,1 - Never,1 - Never,1- Good self-modulation,2 - Mildly stressed,No,,,,1 - slightly playful,1 - Never,"3 - slightly excited, tail wagging",,3 - calmly interacts with the handler,,,5 - Constantly,1 - Never,1 - Never,2 - Rarely,2 - Rarely,No,,,3 - calm approach,,,,3 - Indifferent,,,,,,,,,,,,,
4/28/2020 9:28:05,05-22-LE,1,2019-06-18,Susan Turtle,,,5 - Constantly,1 - Never,1 - Never,,,NA,dog went into a down naturally beside the handler ,,1 - Hardly distracted (1-2),1 - not observed,"1 - no tension, lead relaxed","3 - Dogs walk occasionally behind the handler, needs encouragement",,,2 - Not great (3-4 attempts),started on the platform and went to doing it on the ground,,3 - Good (2 attempts),,,4 - Excellent (1 attempt),4 - very settled,,settled,,4 - Willing,3 - Cooperative,No,Yes,,,,No,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,No,,,,2,4,3,1,3,4,3,5,3 - sometimes (3-5),2 - mild tension,5 - approaches the person,,,,4 - Very interested,"dog sits and then goes into a down, keeps looking at handler calmly",,Righ,"3 - Interacts with kong continuously, but calmly",1 - Stays close to handler,"2 - Reluctant, but let it go",,2 - Calmly follows the handler,handler moves  with dog for camera but it is too near the table ,,"3 - Mildly interested in other dog, does not move",0 - does not leave trainer's side/comes back without being called,,,,1 - without any encouragement,4 - Mostly,3 - Occasionally,1 - Never,1 - Never,1 - Never,1 - Never,1 - Never,1 - Never,1- Good self-modulation,1- Settled,No,,,,1 - slightly playful,1 - Never,"3 - slightly excited, tail wagging",,3 - calmly interacts with the handler,,,5 - Constantly,1 - Never,1 - Never,1 - Never,1 - Never,No,,,3 - calm approach,,,,4 - minor reaction,,,,,,,,,,,,,
4/28/2020 10:22:26,05-22-LE,2,2019-08-12,Susan Turtle,,,2 - Rarely,4 - Regularly,2 - Rarely,handle moves around toward slightly,,1 - on the first command,,,1 - Hardly distracted (1-2),1 - not observed,"1 - no tension, lead relaxed",2 - Dog walks beside /at heel with the handler,,,4 - Excellent (1 attempts),,,2 - Not great (3-4 attempts),,,4 - Excellent (1 attempt),3 - reasonably settled,,,,4 - Willing,3 - Cooperative,No,No,,Looks like dog doesn't licks or mouths as handle was in between camera and dog ,,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,No,,,,1,4,4,3,4,3,3,3,2 - rare (1-2),2 - mild tension,5 - approaches the person,,,,2 - Somewhat interested,"used ragger, no kong, dog sits and goes into a down eventually",,NA,NA,1 - Stays close to handler,NA,,NA,ragger used instead of kong,,"3 - Mildly interested in other dog, does not move",0 - does not leave trainer's side/comes back without being called,,,,1 - without any encouragement,3 - Occasionally,4 - Mostly,1 - Never,2 - Rarely,1 - Never,1 - Never,1 - Never,1 - Never,1- Good self-modulation,1- Settled,No,,,,1 - slightly playful,1 - Never,2 - indifferent;,,2 - explorative,handler mentions only has dog three days,,3 - Occasionally,3 - Occasionally,1 - Never,1 - Never,1 - Never,No,,,3 - calm approach,,,,4 - minor reaction,,bucket was placed on the ground,,,,,,,,,,,
